elapsed_s,LRZ_NEVER_COUNT,LRZ_BUSY_CYCLES,LRZ_STARVE_CYCLES_RAS
0.001098,0,0,1284287
0.002540,0,0,764326
0.003950,0,0,751306
0.005358,0,0,749670
0.006764,0,0,748505
0.008168,0,0,748507
0.009572,0,0,760528
0.011016,0,0,757711
0.012423,0,0,748065
0.013952,0,0,808809
0.015336,0,0,737726
0.016753,0,0,767639
0.018134,0,0,724213
0.019478,0,0,716854
0.020820,0,0,714707
0.022231,0,0,751218
0.023572,0,0,713862
0.024912,0,0,714419
0.026252,0,0,714297
0.027592,0,0,713711
0.028932,0,0,714339
0.030316,0,0,731834
0.031639,0,0,704801
0.032970,0,0,709291
0.034294,0,0,703991
0.035613,0,0,703191
0.036933,0,0,702453
0.038302,0,0,731716
0.039626,0,0,705296
0.040949,0,0,705908
0.042275,0,0,705540
0.043607,0,0,709890
0.044932,0,0,705368
0.046294,0,0,713757
0.047580,0,0,684514
0.048865,0,0,684360
0.050149,0,0,684345
0.051433,0,0,684262
0.052717,0,0,683819
0.054060,0,0,526964
0.055406,0,0,470475
0.056750,0,0,469931
0.058147,0,0,671215
0.059511,0,0,1099239
0.060874,0,0,1098400
0.062316,0,0,1134648
0.063676,0,0,1073145
0.065024,0,0,1087665
0.066412,0,0,1131060
0.067845,0,0,1155842
0.069206,0,0,1084680
0.070552,0,0,1089543
0.071899,0,0,1082493
0.073241,0,0,1078303
0.074623,0,0,1110175
0.076018,0,0,1130103
0.077357,0,0,1074765
0.078706,0,0,1121099
0.080222,0,0,1361925
0.081929,0,0,1272632
0.083405,0,0,1120633
0.084793,0,0,1119810
0.086194,0,0,1124784
0.087579,0,0,1115375
0.088960,0,0,1111607
0.090338,0,0,1268660
0.091717,0,0,1467713
0.093213,12694,12572,2188189
0.096221,18061,18087,3109157
0.097617,0,0,1803149
0.099094,0,0,1672588
0.100474,0,0,1708840
0.101890,0,0,1677370
0.103271,0,0,1673110
0.104651,0,0,1670738
0.106073,0,0,1715291
0.107450,0,0,1669745
0.108834,0,0,1675576
0.111136,0,0,2789316
0.112511,0,0,1664857
0.113950,0,0,1744742
0.115328,0,0,1666450
0.116702,0,0,1664520
0.118077,0,0,1665322
0.119474,0,0,1690214
0.120848,0,0,1760155
0.122302,0,0,1666836
0.123678,0,0,1665097
0.125052,0,0,1663109
0.126429,0,0,1672753
0.127809,0,0,1670142
0.129188,0,0,1669632
0.130579,17,0,1684892
0.131958,0,0,1669909
0.133336,0,0,1668730
0.134714,0,0,1668440
0.136223,0,0,1855727
0.137765,0,0,1974509
0.139271,0,0,1694018
0.140667,0,0,1682779
0.142176,0,0,1859321
0.143721,0,0,1869550
0.145263,0,0,1866963
0.146681,0,0,1692152
0.148197,0,0,2105928
0.149924,0,0,1827685
0.151325,0,0,1690868
0.152707,0,0,1671588
0.154089,0,0,1674792
0.155470,0,0,1671397
0.156850,0,0,1669293
0.158415,0,0,2114499
0.159993,0,0,1702179
0.161396,0,0,1688237
0.162778,0,0,1677799
0.164290,0,0,1856982
0.165836,0,0,1872452
0.167380,0,0,1870239
0.168924,0,0,1869793
0.170471,0,0,1873314
0.172027,0,0,1884392
0.173570,0,0,1928025
0.175163,0,0,1869071
0.176706,0,0,1869708
0.178253,0,0,1873929
0.179799,0,0,1870905
0.181342,0,0,1869550
0.182900,0,0,1886506
0.184445,0,0,1870663
0.185991,0,0,1873083
0.187535,0,0,1869688
0.189079,0,0,1868971
0.190627,0,0,1875249
0.192172,0,0,1870342
0.193728,0,0,1891399
0.195277,0,0,1868528
0.196819,0,0,1866281
0.198363,0,0,1871214
0.199906,0,0,1868579
0.201447,0,0,1866451
0.202946,0,0,1791688
0.204470,0,0,1869063
0.206057,0,0,1922646
0.207601,0,0,1868993
0.209142,0,0,1865756
0.210685,0,0,1869005
0.212228,0,0,1868148
0.213769,0,0,1931312
0.215378,0,0,1884141
0.216920,0,0,1866191
0.218464,0,0,1872312
0.220008,0,0,1867563
0.221549,0,0,1925850
0.223140,0,0,1867996
0.224682,0,0,1866929
0.226240,0,0,1887518
0.227784,0,0,1868052
0.229324,0,0,1866979
0.230868,0,0,1869792
0.232411,0,0,1867106
0.233955,0,0,1871986
0.235499,0,0,1868630
0.237052,0,0,1880593
0.238639,0,0,1923549
0.240183,0,0,1867486
0.241724,0,0,1872944
0.243271,0,0,1867658
0.244812,0,0,1865475
0.246356,0,0,1872404
0.247912,0,0,1883599
0.249454,0,0,1866836
0.250946,0,0,1782297
0.252461,0,0,1857871
0.254047,0,0,1922646
0.255590,0,0,1866906
0.257131,0,0,1865403
0.258686,0,0,1884743
