elapsed_s,CP_NEVER_COUNT,CP_ALWAYS_COUNT,CP_BUSY_GFX_CORE_IDLE,CP_BUSY_CYCLES,CP_NUM_PREEMPTIONS,CP_PREEMPTION_REACTION_DELAY,CP_PREEMPTION_SWITCH_OUT_TIME,CP_PREEMPTION_SWITCH_IN_TIME,CP_DEAD_DRAWS_IN_BIN_RENDER,CP_PREDICATED_DRAWS_KILLED,CP_MODE_SWITCH,CP_ZPASS_DONE,CP_CONTEXT_DONE,CP_CACHE_FLUSH
0.114402,0,447636,2369,2368,0,0,0,0,0,0,0,0,0,0
0.115807,0,475151,2477,2476,0,0,0,0,0,0,0,0,0,0
0.117239,0,1419911,251938,855003,2,2138,81532,55581,0,0,0,0,178,6
0.118529,0,556469,2603,2602,0,0,0,0,0,0,0,0,0,0
0.120026,0,432802,2339,2338,0,0,0,0,0,0,0,0,0,0
0.121492,0,444089,2357,2356,0,0,0,0,0,0,0,0,0,0
0.122849,0,528979,2446,2445,0,0,0,0,0,0,0,0,0,0
0.124373,0,522230,67148,72240,1,1206,38439,33058,0,0,0,0,5,0
0.125722,0,1280513,184848,774408,1,916,42489,22476,0,0,0,0,173,6
0.127233,0,515105,2332,2331,0,0,0,0,0,0,0,0,0,0
0.128681,0,458987,2338,2337,0,0,0,0,0,0,0,0,0,0
0.130176,0,560764,2347,2346,0,0,0,0,0,0,0,0,0,0
0.131786,0,614976,2337,2336,0,0,0,0,0,0,0,0,0,0
0.133421,0,532591,2395,2394,0,0,0,0,0,0,0,0,0,0
0.135201,0,1295158,133285,688096,1,1179,38173,32308,0,0,0,0,145,3
0.136676,0,909222,142661,186677,1,1397,38480,29319,0,0,0,0,51,5
0.138127,0,618756,2367,2366,0,0,0,0,0,0,0,0,0,0
0.139928,0,493751,2614,2613,0,0,0,0,0,0,0,0,0,0
0.141571,0,454556,2401,2400,0,0,0,0,0,0,0,0,0,0
0.143075,0,1321914,133487,687971,1,1182,38779,28933,0,0,0,0,145,3
0.144535,0,775812,143382,186241,1,1242,38737,29474,0,0,0,0,51,5
0.145987,0,627203,2340,2339,0,0,0,0,0,0,0,0,0,0
0.147587,0,458627,2339,2338,0,0,0,0,0,0,0,0,0,0
0.149083,0,692390,2336,2335,0,0,0,0,0,0,0,0,0,0
0.150741,0,502090,2341,2340,0,0,0,0,0,0,0,0,0,0
0.152431,0,1496640,248750,847512,2,2049,81154,50090,0,0,0,0,178,6
0.153895,0,568188,2346,2345,0,0,0,0,0,0,0,0,0,0
0.155435,0,462807,2339,2338,0,0,0,0,0,0,0,0,0,0
0.157062,0,457457,2336,2335,0,0,0,0,0,0,0,0,0,0
0.158571,0,507186,2382,2381,0,0,0,0,0,0,0,0,0,0
0.160087,0,1511139,250662,842894,2,2108,81253,55352,0,0,0,0,178,6
0.161430,0,451384,2423,2422,0,0,0,0,0,0,0,0,0,0
0.162941,0,471704,2341,2340,0,0,0,0,0,0,0,0,0,0
0.164445,0,1123806,2337,2336,0,0,0,0,0,0,0,0,0,0
0.166577,0,742774,2379,2378,0,0,0,0,0,0,0,0,0,0
0.168463,0,1438177,257139,877481,2,2070,80382,54960,0,0,0,0,202,8
0.169939,0,581047,2532,2531,0,0,0,0,0,0,0,0,0,0
0.171497,0,492704,2337,2336,0,0,0,0,0,0,0,0,0,0
0.173385,0,548384,2352,2351,0,0,0,0,0,0,0,0,0,0
0.175033,0,531186,2338,2337,0,0,0,0,0,0,0,0,0,0
0.176517,0,1133474,190546,706186,1,57027,53842,33589,0,0,0,0,165,2
0.177789,0,651008,97874,204071,1,859,41919,28520,0,0,0,0,37,6
0.179249,0,539555,2334,2333,0,0,0,0,0,0,0,0,0,0
0.180644,0,483427,2328,2327,0,0,0,0,0,0,0,0,0,0
0.182143,0,504188,2449,2448,0,0,0,0,0,0,0,0,0,0
0.183655,0,542019,75119,117122,0,68983,40584,0,0,0,0,0,33,3
0.185070,0,1221103,199692,770814,2,875,51237,56566,0,0,0,0,170,5
0.186529,0,460392,2334,2333,0,0,0,0,0,0,0,0,0,0
0.187978,0,466473,2351,2350,0,0,0,0,0,0,0,0,0,0
0.189974,0,519445,2335,2334,0,0,0,0,0,0,0,0,0,0
0.191471,0,558916,2442,2441,0,0,0,0,0,0,0,0,0,0
0.193206,0,1406464,153425,731605,1,19281,49991,32341,0,0,0,0,170,5
0.194613,0,468673,2730,2729,0,0,0,0,0,0,0,0,0,0
0.196112,0,472227,2339,2338,0,0,0,0,0,0,0,0,0,0
0.197610,0,1016718,2410,2409,0,0,0,0,0,0,0,0,0,0
0.199596,0,483748,2646,2645,0,0,0,0,0,0,0,0,0,0
0.201407,0,1593394,218954,792769,2,19238,79748,55089,0,0,0,0,170,5
0.202779,0,479482,2585,2584,0,0,0,0,0,0,0,0,0,0
0.204406,0,480314,2331,2330,0,0,0,0,0,0,0,0,0,0
0.205910,0,628430,2588,2587,0,0,0,0,0,0,0,0,0,0
0.207731,0,693873,2340,2339,0,0,0,0,0,0,0,0,0,0
0.209473,0,1234590,52537,602965,0,0,0,0,0,0,0,0,145,3
0.210847,0,771875,109746,129700,1,1222,50316,32654,0,0,0,0,25,2
0.212313,0,616006,2451,2450,0,0,0,0,0,0,0,0,0,0
0.213883,0,613501,2455,2454,0,0,0,0,0,0,0,0,0,0
0.215476,0,694856,2325,2324,0,0,0,0,0,0,0,0,0,0
0.217120,0,463235,25345,35964,0,0,0,0,0,0,0,0,25,2
0.218503,0,1241196,132407,703754,1,1225,50864,32202,0,0,0,0,145,3
0.219953,0,458293,2346,2345,0,0,0,0,0,0,0,0,0,0
0.221473,0,482610,2341,2340,0,0,0,0,0,0,0,0,0,0
0.223049,0,489195,2345,2344,0,0,0,0,0,0,0,0,0,0
0.224783,0,545797,2329,2328,0,0,0,0,0,0,0,0,0,0
0.226504,0,1368439,158701,732835,1,1226,50267,32695,0,0,0,0,170,5
0.227952,0,461998,2344,2343,0,0,0,0,0,0,0,0,0,0
0.229409,0,472772,2339,2338,0,0,0,0,0,0,0,0,0,0
0.230884,0,510599,2345,2344,0,0,0,0,0,0,0,0,0,0
0.232511,0,545503,2442,2441,0,0,0,0,0,0,0,0,0,0
0.234228,0,1660460,220418,795477,2,2052,80583,54627,0,0,0,0,170,5
