elapsed_s,CP_PM4_DATA,CP_PM4_HEADERS,CP_VBIF_READ_BEATS,CP_VBIF_WRITE_BEATS,CP_SQE_INSTR_COUNTER,CP_CLUSTER_FE_US_FULL,CP_CLUSTER_FE_S_FULL,CP_CLUSTER_SP_VS_FULL,CP_CLUSTER_VPC_US_FULL,CP_CLUSTER_VPC_VS_FULL,CP_CLUSTER_GRAS_FULL,CP_CLUSTER_SP_PS_FULL,CP_CLUSTER_VPC_PS_FULL,CP_CLUSTER_PS_FULL
0.001095,0,0,34,1,269,0,0,0,0,0,0,0,0,0
0.002640,0,0,34,1,271,0,0,0,0,0,0,0,0,0
0.004150,0,0,34,1,271,0,0,0,0,0,0,0,0,0
0.005657,0,0,34,1,267,0,0,0,0,0,0,0,0,0
0.007162,0,0,34,1,263,0,0,0,0,0,0,0,0,0
0.008727,0,0,34,1,265,0,0,0,0,0,0,0,0,0
0.010223,0,0,34,1,255,0,0,0,0,0,0,0,0,0
0.011698,0,0,34,1,259,0,0,0,0,0,0,0,0,0
0.013252,0,0,36,1,248,0,0,0,0,0,0,0,0,0
0.014679,0,0,36,1,232,0,0,0,0,0,0,0,0,0
0.016123,0,0,36,1,225,0,0,0,0,0,0,0,0,0
0.017524,0,0,36,1,295,0,0,0,0,0,0,0,0,0
0.018888,0,0,36,1,225,0,0,0,0,0,0,0,0,0
0.020276,0,0,36,1,243,0,0,0,0,0,0,0,0,0
0.021659,0,0,36,1,279,0,0,0,0,0,0,0,0,0
0.023093,0,0,34,1,249,0,0,0,0,0,0,0,0,0
0.024560,0,0,34,1,259,0,0,0,0,0,0,0,0,0
0.025926,0,0,34,1,263,0,0,0,0,0,0,0,0,0
0.027294,0,0,34,1,249,0,0,0,0,0,0,0,0,0
0.028771,0,0,34,1,269,0,0,0,0,0,0,0,0,0
0.030145,0,0,34,1,265,0,0,0,0,0,0,0,0,0
0.031515,0,0,34,1,271,0,0,0,0,0,0,0,0,0
0.033008,0,0,36,1,249,0,0,0,0,0,0,0,0,0
0.034301,0,0,36,1,233,0,0,0,0,0,0,0,0,0
0.035595,0,0,36,1,243,0,0,0,0,0,0,0,0,0
0.037059,0,0,36,1,236,0,0,0,0,0,0,0,0,0
0.038420,0,0,36,1,239,0,0,0,0,0,0,0,0,0
0.039785,0,0,36,1,242,0,0,0,0,0,0,0,0,0
0.041216,0,0,36,1,253,0,0,0,0,0,0,0,0,0
0.042639,0,0,36,1,245,0,0,0,0,0,0,0,0,0
0.044036,0,0,34,1,235,0,0,0,0,0,0,0,0,0
0.045434,0,0,36,1,234,0,0,0,0,0,0,0,0,0
0.046870,0,0,34,1,323,0,0,0,0,0,0,0,0,0
0.048229,0,0,34,1,217,0,0,0,0,0,0,0,0,0
0.049641,0,0,36,1,221,0,0,0,0,0,0,0,0,0
0.051050,0,0,36,1,225,0,0,0,0,0,0,0,0,0
0.052448,0,0,36,1,221,0,0,0,0,0,0,0,0,0
0.053870,0,0,36,1,225,0,0,0,0,0,0,0,0,0
0.055265,0,0,36,1,231,0,0,0,0,0,0,0,0,0
0.056730,27,33,336,23,2313,0,0,0,0,0,0,0,0,0
0.058671,0,0,36,1,225,0,0,0,0,0,0,0,0,0
0.060124,0,0,36,1,225,0,0,0,0,0,0,0,0,0
0.061569,0,0,36,1,225,0,0,0,0,0,0,0,0,0
0.063009,0,0,36,1,225,0,0,0,0,0,0,0,0,0
0.064512,0,0,36,1,225,0,0,0,0,0,0,0,0,0
0.065955,0,0,36,1,221,0,0,0,0,0,0,0,0,0
0.067395,175,184,707,12,124909,0,0,0,0,0,0,0,0,0
0.068710,176,208,176,0,892064,0,0,0,0,0,0,0,0,0
0.070009,162,192,160,0,841398,0,0,0,0,0,0,0,0,0
0.071266,162,201,168,0,829754,0,0,0,0,0,0,0,0,0
0.073137,250,288,240,0,1243794,0,0,0,0,0,0,0,0,0
0.074452,168,200,176,0,863763,0,0,0,0,0,0,0,0,0
0.075750,182,217,176,0,900402,0,0,0,0,0,0,0,0,0
0.077110,170,200,168,0,857117,0,0,0,0,0,0,0,0,0
0.078404,169,201,176,0,856162,0,0,0,0,0,0,0,0,0
0.079698,168,200,75,0,950069,0,0,0,0,0,0,0,0,0
0.081165,60,76,77,13,346342,0,0,0,0,0,0,0,0,0
0.082610,0,0,36,1,255,0,0,0,0,0,0,0,0,0
0.084155,0,0,34,1,247,0,0,0,0,0,0,0,0,0
0.085933,0,0,34,1,285,0,0,0,0,0,0,0,0,0
0.087376,0,0,36,1,255,0,0,0,0,0,0,0,0,0
0.088868,0,0,36,1,327,0,0,0,0,0,0,0,0,0
0.090313,0,0,36,1,255,0,0,0,0,0,0,0,0,0
0.091755,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.093339,0,0,36,1,255,0,0,0,0,0,0,0,0,0
0.094776,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.096317,0,0,36,1,253,0,0,0,0,0,0,0,0,0
0.097752,0,0,36,1,253,0,0,0,0,0,0,0,0,0
0.099190,0,0,36,1,255,0,0,0,0,0,0,0,0,0
0.103004,0,0,36,1,249,0,0,0,0,0,0,0,0,0
0.104585,0,0,36,1,255,0,0,0,0,0,0,0,0,0
