elapsed_s,TP_DIVERGENT_QUADS_RECEIVED,TP_PRT_NON_RESIDENT_EVENTS,TP_OUTPUT_PIXELS_POINT,TP_OUTPUT_PIXELS_BILINEAR,TP_OUTPUT_PIXELS_MIP,TP_OUTPUT_PIXELS_ANISO,TP_OUTPUT_PIXELS_ZERO_LOD,TP_FLAG_CACHE_REQUESTS,TP_FLAG_CACHE_MISSES,TP_L1_5_L2_REQUESTS,TP_2D_OUTPUT_PIXELS,TP_2D_OUTPUT_PIXELS_POINT
0.001194,0,0,0,0,0,0,0,0,0,0,0,0
0.002835,0,0,0,0,0,0,0,0,0,0,0,0
0.004442,0,0,0,0,0,0,0,0,0,0,0,0
0.006265,0,0,0,0,0,0,0,0,0,0,0,0
0.007879,0,0,0,0,0,0,0,0,0,0,0,0
0.009508,0,0,0,0,0,0,0,0,0,0,0,0
0.011113,0,0,0,0,0,0,0,0,0,0,0,0
0.012831,0,0,0,0,0,0,0,0,0,0,0,0
0.014482,0,0,0,0,0,0,0,0,0,0,0,0
0.016072,0,0,0,0,0,0,0,0,0,0,0,0
0.017646,0,0,0,0,0,0,0,0,0,0,0,0
0.019219,0,0,0,0,0,0,0,0,0,0,0,0
0.020840,0,0,0,0,0,0,0,0,0,0,0,0
0.022494,0,0,0,0,0,0,0,0,0,0,0,0
0.024075,0,0,0,0,0,0,0,0,0,0,0,0
0.025645,0,0,0,0,0,0,0,0,0,0,0,0
0.027211,0,0,0,0,0,0,0,0,0,0,0,0
0.028821,0,0,0,0,0,0,0,0,0,0,0,0
0.030538,0,0,0,0,0,0,0,0,0,0,0,0
0.032176,0,0,0,0,0,0,0,0,0,0,0,0
0.033812,0,0,0,0,0,0,0,0,0,0,0,0
0.035405,0,0,0,0,0,0,0,0,0,0,0,0
0.036970,0,0,0,0,0,0,0,0,0,0,0,0
0.038551,0,0,0,0,0,0,0,0,0,0,0,0
0.040113,0,0,0,0,0,0,0,0,0,0,0,0
0.041722,0,0,0,0,0,0,0,0,0,0,0,0
0.043325,0,0,0,0,0,0,0,0,0,0,0,0
