region_index,width,start_idx,end_idx_exclusive,start_s,end_s,samples
1,128,42,1435,0.062135,2.23042,1393
2,256,1466,1470,2.278811,2.285523,4
3,512,1473,1534,2.291467,2.387985,61
4,1024,1538,1634,2.395923,2.554479,96
5,2048,1635,1653,2.55753,2.585767,18
