group,counter,label,total_all_widths,total_width_first,total_width_last,scaling_ratio_last_over_first,corr_total_vs_width,slope_total_vs_width,total_w128,total_w256,total_w512,total_w1024,total_w2048
SP,SP_FS_STAGE_FULL_ALU_INSTRUCTIONS,flat_or_saturated,24698880.0,24698880.0,0.0,0.0,-0.47660312381939807,-6743.225806451617,24698880.0,0.0,0.0,0.0,0.0
RAS,RAS_STARVE_CYCLES_TSE,flat_or_saturated,22451268.0,19677636.0,270369.0,0.013739912660240284,-0.4784583627720283,-5214.756993447584,19677636.0,64383.0,941958.0,1496922.0,270369.0
PC,PC_S_TESS_STARVE_CYCLES_PC,flat_or_saturated,21706281.0,18959208.0,267054.0,0.014085714972903932,-0.47878251661913324,-5023.1721585181485,18959208.0,64140.0,945447.0,1470432.0,267054.0
CP,CP_BUSY_CYCLES,flat_or_saturated,20789535.0,18066257.0,138161.0,0.007647461231178102,-0.5005406912807103,-5006.507476478499,18066257.0,8314.0,1842178.0,734625.0,138161.0
SP,SP_TTU_GPR_WR_CYCLES,flat_or_saturated,18336668.0,18336668.0,0.0,0.0,-0.4766031238193982,-5006.23076276882,18336668.0,0.0,0.0,0.0,0.0
SP,SP_EWAVE_CONTEXTS,flat_or_saturated,18175174.0,18175174.0,0.0,0.0,-0.47660312381939823,-4962.140078965057,18175174.0,0.0,0.0,0.0,0.0
SP,SP_EXECUTABLE_WAVES,flat_or_saturated,18175174.0,18175174.0,0.0,0.0,-0.47660312381939823,-4962.140078965057,18175174.0,0.0,0.0,0.0,0.0
SP,SP_GPR_READ_BANK,flat_or_saturated,15369600.0,15369600.0,0.0,0.0,-0.4766031238193982,-4196.169354838711,15369600.0,0.0,0.0,0.0,0.0
SP,SP_FS_STAGE_CFLOW_INSTRUCTIONS,flat_or_saturated,13161472.0,13161472.0,0.0,0.0,-0.47660312381939823,-3593.311827956991,13161472.0,0.0,0.0,0.0,0.0
SP,SP_GPR_WRITE_BANK,flat_or_saturated,10543677.0,10543677.0,0.0,0.0,-0.4766031238193982,-2878.6080519153247,10543677.0,0.0,0.0,0.0,0.0
UCHE,UCHE_VBIF_LATENCY_CYCLES,flat_or_saturated,10358067.0,10358067.0,0.0,0.0,-0.47660312381939807,-2827.9332787298404,10358067.0,0.0,0.0,0.0,0.0
SP,SP_BUSY_CYCLES,flat_or_saturated,9768465.0,9768465.0,0.0,0.0,-0.4766031238193982,-2666.9616305443574,9768465.0,0.0,0.0,0.0,0.0
SP,SP_WAVE_CONTEXT_CYCLES,flat_or_saturated,9768465.0,9768465.0,0.0,0.0,-0.4766031238193982,-2666.9616305443574,9768465.0,0.0,0.0,0.0,0.0
SP,SP_FS_STAGE_DURATION_CYCLES,flat_or_saturated,9728634.0,9728634.0,0.0,0.0,-0.4766031238193982,-2656.087071572582,9728634.0,0.0,0.0,0.0,0.0
SP,SP_EWAVE_CONTEXT_CYCLES,flat_or_saturated,9642727.0,9642727.0,0.0,0.0,-0.4766031238193982,-2632.6329595094107,9642727.0,0.0,0.0,0.0,0.0
