elapsed_s,RBBM_NEVER_COUNT,RBBM_US_ALWAYS_COUNT,RBBM_US_ALWAYS_ON,RBBM_US_STATUS_MASKED
0.292337,0,431290,3693,2482
0.293886,0,437244,3745,2473
0.295486,0,432051,3699,2478
0.297037,0,431185,3691,2471
0.298604,0,442067,3788,2477
0.300156,0,432696,3704,2471
0.301706,0,435915,3732,2479
0.303307,0,443875,3803,2461
0.304858,0,430405,3687,2476
0.306412,0,431572,3693,2472
0.307964,0,441269,3780,2479
0.309527,0,431567,3695,2475
0.311121,0,431061,3692,2469
0.312673,0,430042,3683,2616
0.314225,0,432973,3708,2464
0.315778,0,432048,3700,2467
0.317328,0,430461,3686,2469
0.318923,0,433815,3715,2481
0.320489,0,430755,3689,2469
0.322042,0,426227,3649,2473
0.323584,0,426657,3652,2469
0.325123,0,425073,3638,2472
0.326535,0,440718,3776,2505
0.328098,0,438792,3757,2465
0.329645,0,441061,3778,2471
0.331262,0,429820,3681,2474
0.332810,0,431107,3691,2471
0.334362,0,432640,3705,2470
0.335913,0,430520,3688,2480
0.337461,0,430705,3687,2473
0.339012,0,431293,3693,2478
0.340563,0,440424,3772,2471
0.342127,0,429669,3678,2465
0.344081,0,416262,3562,2480
0.345489,0,410656,3512,2463
0.346877,0,412953,3534,2513
0.348339,0,437343,3751,2463
0.349745,0,527062,4524,2480
0.351288,0,410840,3514,2482
0.352678,0,401710,3435,2479
0.354100,0,456687,3915,2478
0.356628,0,416288,3561,2469
0.358117,0,451707,3871,2489
0.359530,0,551416,4743,2578
0.361069,0,434240,3717,2474
0.362544,0,569137,4875,2494
0.364266,0,486569,4202,2472
0.365832,0,445641,3814,2474
0.367285,0,469613,4027,2500
0.368788,0,510360,4396,2497
0.370321,0,462553,3966,2500
0.371831,0,443602,3790,2521
0.373740,0,622133,5338,2475
0.375351,0,431061,3713,2523
0.376808,0,433831,3712,2554
0.378277,0,434223,3730,2475
0.379779,0,445667,3809,2644
0.381265,0,435150,3700,2593
0.382748,0,426542,3685,2580
0.384182,0,421782,3610,2475
0.385636,0,419706,3581,2622
0.387079,0,420114,3589,2547
0.388483,0,443968,3818,2470
0.389927,0,451424,3864,2510
0.391340,0,419518,3597,2625
0.392718,0,415816,3546,2639
0.394086,0,410206,3516,2524
0.415074,0,402135,3426,2501
0.416463,0,374836,3202,2474
0.417793,0,498336,4277,2469
0.419228,0,379992,3244,2471
0.420553,0,377825,3227,2479
0.421879,0,498128,4276,2471
0.423355,0,423107,3629,2584
0.424735,0,413272,3536,2476
0.426299,0,494441,4244,2466
0.427762,0,403448,3450,2472
0.429143,0,423086,3621,2477
0.430523,0,432567,3706,2472
0.432051,0,429924,3680,2473
0.433611,0,579444,4986,2492
0.435180,0,428139,3665,2481
0.436582,0,405738,3470,2478
0.437987,0,431439,3695,2467
0.439419,0,419124,3586,2477
0.440807,0,418728,3582,2608
0.442196,0,419568,3590,2480
0.443713,0,432343,3702,2478
0.445263,0,431449,3693,2593
0.446860,0,433564,3712,2480
0.448427,0,429460,3677,2463
0.450046,0,525496,4516,2477
0.451546,0,420760,3602,2477
0.453011,0,410379,3510,2465
0.454404,0,449119,3849,2484
0.455836,0,402817,3446,2474
0.457223,0,420750,3600,2469
0.458624,0,416497,3563,2463
0.460011,0,389213,3326,2466
0.461551,0,429720,3678,2483
0.463145,0,442194,3789,2471
0.464699,0,430046,3682,2468
0.466253,0,431318,3693,2477
0.467805,0,441435,3781,2474
0.469370,0,441619,3782,2572
0.470965,0,432776,3705,2482
0.472518,0,433416,3713,2479
0.474073,0,431309,3692,2477
0.475624,0,431662,3696,2474
0.477175,0,431869,3697,2476
0.478771,0,433705,3715,2481
0.480338,0,431776,3697,2471
0.481887,0,448607,3844,2478
0.483445,0,429662,3678,2475
0.484997,0,430355,3685,2626
0.486551,0,484445,4158,2477
0.488151,0,430241,3683,2486
0.489701,0,435263,3728,2566
0.491270,0,442074,3788,2466
0.492820,0,429688,3679,2469
0.494373,0,478719,4106,2477
0.495969,0,430714,3689,2530
0.497519,0,429821,3680,2469
0.499071,0,431657,3697,2609
0.500623,0,441079,3778,2468
0.502190,0,443469,3798,2481
0.503745,0,433651,3714,2477
0.505296,0,432425,3702,2469
0.506848,0,431664,3696,2477
0.508400,0,430889,3689,2473
0.509950,0,448094,3840,2531
