group,chunk,counter_start_index,counter_end_index,active_counters,csv_path,benchmark_log,benchmark_exit_status
CP,1,0,14,14,/data/local/tmp/jerry_work/perfcounter_sweeps_widths/width_128/sweep_20260624_172208/01_CP/CP_chunk001.csv,/data/local/tmp/jerry_work/perfcounter_sweeps_widths/width_128/sweep_20260624_172208/01_CP/CP_chunk001_benchmark.log,0
CP,2,14,28,14,/data/local/tmp/jerry_work/perfcounter_sweeps_widths/width_128/sweep_20260624_172208/01_CP/CP_chunk002.csv,/data/local/tmp/jerry_work/perfcounter_sweeps_widths/width_128/sweep_20260624_172208/01_CP/CP_chunk002_benchmark.log,0
CP,3,28,42,14,/data/local/tmp/jerry_work/perfcounter_sweeps_widths/width_128/sweep_20260624_172208/01_CP/CP_chunk003.csv,/data/local/tmp/jerry_work/perfcounter_sweeps_widths/width_128/sweep_20260624_172208/01_CP/CP_chunk003_benchmark.log,0
CP,4,42,56,14,/data/local/tmp/jerry_work/perfcounter_sweeps_widths/width_128/sweep_20260624_172208/01_CP/CP_chunk004.csv,/data/local/tmp/jerry_work/perfcounter_sweeps_widths/width_128/sweep_20260624_172208/01_CP/CP_chunk004_benchmark.log,0
CP,5,56,70,14,/data/local/tmp/jerry_work/perfcounter_sweeps_widths/width_128/sweep_20260624_172208/01_CP/CP_chunk005.csv,/data/local/tmp/jerry_work/perfcounter_sweeps_widths/width_128/sweep_20260624_172208/01_CP/CP_chunk005_benchmark.log,0
CP,6,70,84,14,/data/local/tmp/jerry_work/perfcounter_sweeps_widths/width_128/sweep_20260624_172208/01_CP/CP_chunk006.csv,/data/local/tmp/jerry_work/perfcounter_sweeps_widths/width_128/sweep_20260624_172208/01_CP/CP_chunk006_benchmark.log,0
CP,7,84,91,7,/data/local/tmp/jerry_work/perfcounter_sweeps_widths/width_128/sweep_20260624_172208/01_CP/CP_chunk007.csv,/data/local/tmp/jerry_work/perfcounter_sweeps_widths/width_128/sweep_20260624_172208/01_CP/CP_chunk007_benchmark.log,0
RBBM,1,0,4,4,/data/local/tmp/jerry_work/perfcounter_sweeps_widths/width_128/sweep_20260624_172208/02_RBBM/RBBM_chunk001.csv,/data/local/tmp/jerry_work/perfcounter_sweeps_widths/width_128/sweep_20260624_172208/02_RBBM/RBBM_chunk001_benchmark.log,0
RBBM,2,4,8,4,/data/local/tmp/jerry_work/perfcounter_sweeps_widths/width_128/sweep_20260624_172208/02_RBBM/RBBM_chunk002.csv,/data/local/tmp/jerry_work/perfcounter_sweeps_widths/width_128/sweep_20260624_172208/02_RBBM/RBBM_chunk002_benchmark.log,0
RBBM,3,8,12,4,/data/local/tmp/jerry_work/perfcounter_sweeps_widths/width_128/sweep_20260624_172208/02_RBBM/RBBM_chunk003.csv,/data/local/tmp/jerry_work/perfcounter_sweeps_widths/width_128/sweep_20260624_172208/02_RBBM/RBBM_chunk003_benchmark.log,0
RBBM,4,12,16,4,/data/local/tmp/jerry_work/perfcounter_sweeps_widths/width_128/sweep_20260624_172208/02_RBBM/RBBM_chunk004.csv,/data/local/tmp/jerry_work/perfcounter_sweeps_widths/width_128/sweep_20260624_172208/02_RBBM/RBBM_chunk004_benchmark.log,0
RBBM,5,16,17,1,/data/local/tmp/jerry_work/perfcounter_sweeps_widths/width_128/sweep_20260624_172208/02_RBBM/RBBM_chunk005.csv,/data/local/tmp/jerry_work/perfcounter_sweeps_widths/width_128/sweep_20260624_172208/02_RBBM/RBBM_chunk005_benchmark.log,0
PC,1,0,8,8,/data/local/tmp/jerry_work/perfcounter_sweeps_widths/width_128/sweep_20260624_172208/03_PC/PC_chunk001.csv,/data/local/tmp/jerry_work/perfcounter_sweeps_widths/width_128/sweep_20260624_172208/03_PC/PC_chunk001_benchmark.log,0
PC,2,8,16,8,/data/local/tmp/jerry_work/perfcounter_sweeps_widths/width_128/sweep_20260624_172208/03_PC/PC_chunk002.csv,/data/local/tmp/jerry_work/perfcounter_sweeps_widths/width_128/sweep_20260624_172208/03_PC/PC_chunk002_benchmark.log,0
PC,3,16,24,8,/data/local/tmp/jerry_work/perfcounter_sweeps_widths/width_128/sweep_20260624_172208/03_PC/PC_chunk003.csv,/data/local/tmp/jerry_work/perfcounter_sweeps_widths/width_128/sweep_20260624_172208/03_PC/PC_chunk003_benchmark.log,0
PC,4,24,32,8,/data/local/tmp/jerry_work/perfcounter_sweeps_widths/width_128/sweep_20260624_172208/03_PC/PC_chunk004.csv,/data/local/tmp/jerry_work/perfcounter_sweeps_widths/width_128/sweep_20260624_172208/03_PC/PC_chunk004_benchmark.log,0
PC,5,32,40,8,/data/local/tmp/jerry_work/perfcounter_sweeps_widths/width_128/sweep_20260624_172208/03_PC/PC_chunk005.csv,/data/local/tmp/jerry_work/perfcounter_sweeps_widths/width_128/sweep_20260624_172208/03_PC/PC_chunk005_benchmark.log,0
PC,6,40,48,8,/data/local/tmp/jerry_work/perfcounter_sweeps_widths/width_128/sweep_20260624_172208/03_PC/PC_chunk006.csv,/data/local/tmp/jerry_work/perfcounter_sweeps_widths/width_128/sweep_20260624_172208/03_PC/PC_chunk006_benchmark.log,0
PC,7,48,56,8,/data/local/tmp/jerry_work/perfcounter_sweeps_widths/width_128/sweep_20260624_172208/03_PC/PC_chunk007.csv,/data/local/tmp/jerry_work/perfcounter_sweeps_widths/width_128/sweep_20260624_172208/03_PC/PC_chunk007_benchmark.log,0
PC,8,56,64,8,/data/local/tmp/jerry_work/perfcounter_sweeps_widths/width_128/sweep_20260624_172208/03_PC/PC_chunk008.csv,/data/local/tmp/jerry_work/perfcounter_sweeps_widths/width_128/sweep_20260624_172208/03_PC/PC_chunk008_benchmark.log,0
PC,9,64,72,8,/data/local/tmp/jerry_work/perfcounter_sweeps_widths/width_128/sweep_20260624_172208/03_PC/PC_chunk009.csv,/data/local/tmp/jerry_work/perfcounter_sweeps_widths/width_128/sweep_20260624_172208/03_PC/PC_chunk009_benchmark.log,0
PC,10,72,80,8,/data/local/tmp/jerry_work/perfcounter_sweeps_widths/width_128/sweep_20260624_172208/03_PC/PC_chunk010.csv,/data/local/tmp/jerry_work/perfcounter_sweeps_widths/width_128/sweep_20260624_172208/03_PC/PC_chunk010_benchmark.log,0
PC,11,80,87,7,/data/local/tmp/jerry_work/perfcounter_sweeps_widths/width_128/sweep_20260624_172208/03_PC/PC_chunk011.csv,/data/local/tmp/jerry_work/perfcounter_sweeps_widths/width_128/sweep_20260624_172208/03_PC/PC_chunk011_benchmark.log,0
VFD,1,0,8,8,/data/local/tmp/jerry_work/perfcounter_sweeps_widths/width_128/sweep_20260624_172208/04_VFD/VFD_chunk001.csv,/data/local/tmp/jerry_work/perfcounter_sweeps_widths/width_128/sweep_20260624_172208/04_VFD/VFD_chunk001_benchmark.log,0
VFD,2,8,16,8,/data/local/tmp/jerry_work/perfcounter_sweeps_widths/width_128/sweep_20260624_172208/04_VFD/VFD_chunk002.csv,/data/local/tmp/jerry_work/perfcounter_sweeps_widths/width_128/sweep_20260624_172208/04_VFD/VFD_chunk002_benchmark.log,0
