elapsed_s,HLSQ_FS_SP_CCTX_NUM,HLSQ_BV_SP_CCTX_NUM,HLSQ_VS_SP_SCTX_NUM,HLSQ_FS_SP_SCTX_NUM,HLSQ_BV_SP_SCTX_NUM
0.001634,0,0,0,0,0
0.003125,0,0,0,0,0
0.004518,0,0,0,0,0
0.005990,0,0,0,0,0
0.007416,0,0,0,0,0
0.008838,0,0,0,0,0
0.010326,0,0,0,0,0
0.011750,0,0,0,0,0
0.013248,0,0,0,0,0
0.014813,0,0,0,0,0
0.016305,0,0,0,0,0
0.017745,0,0,0,0,0
0.019152,0,0,0,0,0
0.020553,0,0,0,0,0
0.021955,0,0,0,0,0
0.023386,0,0,0,0,0
0.024805,0,0,0,0,0
0.026367,0,0,0,0,0
0.027798,0,0,0,0,0
0.029247,0,0,0,0,0
0.030682,0,0,0,0,0
0.032106,0,0,0,0,0
0.033530,0,0,0,0,0
0.034953,0,0,0,0,0
0.036401,0,0,0,0,0
0.037818,0,0,0,0,0
0.039216,0,0,0,0,0
0.040613,0,0,0,0,0
0.042021,0,0,0,0,0
0.043421,0,0,0,0,0
0.044818,0,0,0,0,0
0.046205,0,0,0,0,0
0.047605,0,0,0,0,0
0.049055,0,0,0,0,0
0.050445,0,0,0,0,0
0.051846,0,0,0,0,0
0.053256,0,0,0,0,0
0.054665,0,0,0,0,0
0.056011,0,0,0,0,0
0.057356,0,0,0,0,0
0.058700,0,0,0,0,0
0.060047,0,0,0,0,0
0.061392,0,0,0,0,0
0.062702,0,0,0,0,0
0.064020,0,0,0,0,0
0.065331,0,0,0,0,0
0.066641,0,0,0,0,0
0.067952,0,0,0,0,0
0.069262,0,0,0,0,0
0.070586,0,0,0,0,0
0.071972,0,0,0,0,0
0.073365,0,0,0,0,0
0.074798,0,0,0,0,0
0.076207,0,0,0,0,0
0.077626,0,0,0,0,0
0.079038,0,0,0,0,0
0.080412,0,0,0,0,0
0.081766,0,0,0,0,0
0.083108,0,0,0,0,0
0.084447,0,0,0,0,0
0.086390,0,0,0,0,0
0.087793,0,0,0,0,0
0.089188,0,0,0,0,0
0.090585,0,0,0,0,0
0.091975,0,0,0,0,0
0.093505,0,0,0,0,0
0.094942,0,0,0,0,0
0.096361,0,0,0,0,0
0.098127,0,0,0,0,0
0.099374,0,0,0,0,0
0.100618,0,0,0,0,0
0.102600,0,0,0,0,0
0.103846,0,0,0,0,0
0.105365,0,0,0,0,0
0.106612,0,0,0,0,0
0.107869,0,0,0,0,0
0.109200,0,0,0,0,0
