elapsed_s,HLSQ_STPROC_WAVE_CONTEXTS_LPAC,HLSQ_STPROC_WAVE_CONTEXT_CYCLES_LPAC,HLSQ_SPTROC_STCHE_WARMUP_INC_VS,HLSQ_SPTROC_STCHE_WARMUP_INC_FS,HLSQ_SPTROC_STCHE_WARMUP_INC_BV,HLSQ_SPTROC_STCHE_WARMUP_INC_LPAC
0.001113,0,0,0,0,0,0
0.002647,0,0,0,0,0,0
0.004105,0,0,0,0,0,0
0.005541,0,0,0,0,0,0
0.006974,0,0,0,0,0,0
0.008409,0,0,0,0,0,0
0.009852,0,0,0,0,0,0
0.011284,0,0,0,0,0,0
0.012717,0,0,0,0,0,0
0.014153,0,0,0,0,0,0
0.015588,0,0,0,0,0,0
0.017056,0,0,0,0,0,0
0.018582,0,0,0,0,0,0
0.020072,0,0,0,0,0,0
0.021581,0,0,0,0,0,0
0.023108,0,0,0,0,0,0
0.024537,0,0,0,0,0,0
0.025949,0,0,0,0,0,0
0.027364,0,0,0,0,0,0
0.028777,0,0,0,0,0,0
0.030201,0,0,0,0,0,0
0.031612,0,0,0,0,0,0
0.033022,0,0,0,0,0,0
0.034543,0,0,0,0,0,0
0.035936,0,0,0,0,0,0
0.037361,0,0,0,0,0,0
0.038808,0,0,0,0,0,0
0.040207,0,0,0,0,0,0
0.041600,0,0,0,0,0,0
0.042995,0,0,0,0,0,0
0.044390,0,0,0,0,0,0
0.045783,0,0,0,0,0,0
0.047178,0,0,0,0,0,0
0.048573,0,0,0,0,0,0
0.050012,0,0,0,0,0,0
0.051489,0,0,0,0,0,0
0.052863,0,0,0,0,0,0
0.054218,0,0,0,0,0,0
0.055576,0,0,0,0,0,0
0.056931,0,0,0,0,0,0
0.058285,0,0,0,0,0,0
0.059639,0,0,0,0,0,0
0.060993,0,0,0,0,0,0
0.062350,0,0,0,0,0,0
0.063666,0,0,0,0,0,0
0.064977,0,0,0,0,0,0
0.066305,0,0,0,0,0,0
0.067689,0,0,0,0,0,0
0.069056,0,0,0,0,0,0
0.070546,0,0,0,0,0,0
0.072075,0,0,0,0,0,0
0.073487,0,0,0,0,0,0
0.074853,0,0,0,0,0,0
0.076208,0,0,0,0,0,0
0.077566,0,0,0,0,0,0
0.079007,0,0,0,0,0,0
0.080419,0,0,0,0,0,0
0.082029,0,0,0,0,0,0
0.083482,0,0,0,0,0,0
0.084944,0,0,0,0,0,0
0.086380,0,0,0,0,0,0
0.087816,0,0,0,0,0,0
0.089253,0,0,0,0,0,0
0.090691,0,0,0,0,0,0
0.092127,0,0,0,0,0,0
0.093739,0,0,0,0,0,0
0.096009,0,0,0,0,0,0
0.097261,0,0,0,0,0,0
0.099526,0,0,0,0,0,0
0.100812,0,0,0,0,0,0
0.102197,0,0,0,0,0,0
0.103453,0,0,0,0,0,0
