elapsed_s,RB_STARVE_CYCLES_CCU,RB_STARVE_CYCLES_Z_PLANE,RB_STARVE_CYCLES_BARY_PLANE,RB_Z_WORKLOAD,RB_HLSQ_ACTIVE,RB_Z_READ,RB_Z_WRITE,RB_C_READ
0.001101,0,0,0,0,0,0,0,0
0.002650,0,0,0,0,0,0,0,0
0.004155,0,0,0,0,0,0,0,0
0.005612,0,0,0,0,0,0,0,0
0.007093,0,0,0,0,0,0,0,0
0.008550,0,0,0,0,0,0,0,0
0.009980,0,0,0,0,0,0,0,0
0.011398,0,0,0,0,0,0,0,0
0.012829,0,0,0,0,0,0,0,0
0.014255,0,0,0,0,0,0,0,0
0.015682,0,0,0,0,0,0,0,0
0.017107,0,0,0,0,0,0,0,0
0.018573,0,0,0,0,0,0,0,0
0.019965,0,0,0,0,0,0,0,0
0.021381,0,0,0,0,0,0,0,0
0.022796,0,0,0,0,0,0,0,0
0.024205,0,0,0,0,0,0,0,0
0.025614,0,0,0,0,0,0,0,0
0.027015,0,0,0,0,0,0,0,0
0.028493,0,0,0,0,0,0,0,0
0.030036,0,0,0,0,0,0,0,0
0.031458,0,0,0,0,0,0,0,0
0.032779,0,0,0,0,0,0,0,0
0.034100,0,0,0,0,0,0,0,0
0.035447,0,0,0,0,0,0,0,0
0.036796,0,0,0,0,0,0,0,0
0.038123,0,0,0,0,0,0,0,0
0.039446,0,0,0,0,0,0,0,0
0.040769,0,0,0,0,0,0,0,0
0.042100,0,0,0,0,0,0,0,0
0.043446,0,0,0,0,0,0,0,0
0.044852,0,0,0,0,0,0,0,0
0.046256,0,0,0,0,0,0,0,0
0.047663,0,0,0,0,0,0,0,0
0.049259,0,0,0,0,0,0,0,0
0.050900,0,0,0,0,0,0,0,0
0.052872,0,0,0,0,0,0,0,0
0.054409,0,0,0,0,0,0,0,0
0.055910,0,0,0,0,0,0,0,0
0.057320,0,132,0,0,132,0,0,0
0.059067,0,0,0,0,0,0,0,0
0.060475,0,0,0,0,0,0,0,0
0.061879,0,0,0,0,0,0,0,0
0.063291,0,0,0,0,0,0,0,0
0.064696,0,0,0,0,0,0,0,0
0.066099,0,0,0,0,0,0,0,0
0.067501,0,0,0,0,0,0,0,0
