elapsed_s,PC_S_STALL_CYCLES_TESS,PC_S_STALL_CYCLES_VFD_ONLY,PC_S_STALL_CYCLES_VPC_ONLY,PC_S_VPC_PRIMITIVES,PC_S_VERTEX_HITS,PC_S_IA_VERTICES,PC_S_IA_PRIMITIVES,PC_S_HS_INVOCATIONS
0.004521,0,0,0,0,0,0,0,0
0.006299,0,0,0,0,0,0,0,0
0.009821,0,0,0,0,0,0,0,0
0.011353,0,0,0,0,0,0,0,0
0.012935,0,0,0,0,0,0,0,0
0.016454,0,0,0,0,0,0,0,0
0.020536,0,0,0,0,0,0,0,0
0.022125,0,0,0,0,0,0,0,0
0.028868,0,0,0,0,0,0,0,0
0.031328,0,0,0,0,0,0,0,0
0.041404,0,0,0,0,0,0,0,0
0.052279,0,0,0,0,0,0,0,0
0.054541,0,0,0,0,0,0,0,0
0.056607,0,0,0,0,0,0,0,0
0.058079,0,0,0,0,0,0,0,0
0.065598,0,0,0,0,0,0,0,0
0.068862,0,0,0,0,0,0,0,0
0.072517,0,0,0,0,0,0,0,0
0.075698,0,0,0,0,0,0,0,0
0.083792,0,0,0,0,0,0,0,0
0.085310,0,0,0,0,0,0,0,0
0.086766,0,0,0,0,0,0,0,0
0.094577,0,0,0,0,0,0,0,0
0.096035,0,0,0,0,0,0,0,0
0.101684,0,0,0,0,0,0,0,0
0.109239,0,0,0,0,0,0,0,0
0.120495,0,0,0,0,0,0,0,0
0.129483,0,0,0,0,0,0,0,0
0.133372,0,0,0,0,0,0,0,0
0.135153,0,15,0,0,0,0,0,0
0.138035,0,81,0,0,0,0,0,0
0.139417,0,0,0,0,0,0,0,0
0.152457,0,0,0,0,0,0,0,0
0.154201,0,0,0,0,0,0,0,0
0.156018,0,0,0,0,0,0,0,0
0.158019,0,0,0,0,0,0,0,0
0.159548,0,0,0,0,0,0,0,0
0.162305,0,0,0,0,0,0,0,0
0.163690,0,0,0,0,0,0,0,0
0.165074,0,0,0,0,0,0,0,0
0.166415,0,0,0,0,0,0,0,0
0.167776,0,0,0,0,0,0,0,0
0.169115,0,0,0,0,0,0,0,0
0.170455,0,0,0,0,0,0,0,0
0.171794,0,0,0,0,0,0,0,0
0.173136,0,0,0,0,0,0,0,0
0.174519,0,0,0,0,0,0,0,0
0.177127,0,0,0,0,0,0,0,0
0.178643,0,0,0,0,0,0,0,0
0.180030,0,0,0,0,0,0,0,0
0.181445,0,0,0,0,0,0,0,0
0.182829,0,0,0,0,0,0,0,0
0.185199,0,0,0,0,0,0,0,0
0.186612,0,0,0,0,0,0,0,0
0.187998,0,0,0,0,0,0,0,0
0.189384,0,0,0,0,0,0,0,0
0.191634,0,0,0,0,0,0,0,0
0.193094,0,0,0,0,0,0,0,0
0.194541,0,0,0,0,0,0,0,0
0.195927,0,0,0,0,0,0,0,0
0.197345,0,0,0,0,0,0,0,0
0.198804,0,0,0,0,0,0,0,0
0.200194,0,0,0,0,0,0,0,0
0.201580,0,0,0,0,0,0,0,0
0.202964,0,0,0,0,0,0,0,0
0.204348,0,0,0,0,0,0,0,0
0.205733,0,0,0,0,0,0,0,0
0.207120,0,0,0,0,0,0,0,0
0.208536,0,0,0,0,0,0,0,0
0.209919,0,0,0,0,0,0,0,0
