elapsed_s,VFD_ATTR_INFO_FIFO_FULL,VFD_DECODED_ATTRIBUTE_BYTES,VFD_NUM_ATTRIBUTES,VFD_UPPER_SHADER_FIBERS,VFD_LOWER_SHADER_FIBERS,VFD_MODE_0_FIBERS,VFD_MODE_1_FIBERS,VFD_MODE_2_FIBERS
0.001091,0,0,0,0,0,0,0,0
0.002589,0,0,0,0,0,0,0,0
0.003979,0,0,0,0,0,0,0,0
0.005346,0,0,0,0,0,0,0,0
0.006703,0,0,0,0,0,0,0,0
0.008092,0,0,0,0,0,0,0,0
0.009446,0,0,0,0,0,0,0,0
0.010829,0,0,0,0,0,0,0,0
0.012166,0,0,0,0,0,0,0,0
0.013502,0,0,0,0,0,0,0,0
0.014836,0,0,0,0,0,0,0,0
0.016109,0,0,0,0,0,0,0,0
0.017487,0,0,0,0,0,0,0,0
0.018807,0,0,0,0,0,0,0,0
0.020080,0,0,0,0,0,0,0,0
0.021353,0,0,0,0,0,0,0,0
0.022650,0,0,0,0,0,0,0,0
0.024009,0,0,0,0,0,0,0,0
0.025366,0,0,0,0,0,0,0,0
0.026723,0,0,0,0,0,0,0,0
0.028094,0,0,0,0,0,0,0,0
0.029459,0,0,0,0,0,0,0,0
0.030944,0,0,0,0,0,0,0,0
0.032370,0,0,0,0,0,0,0,0
0.033776,0,0,0,0,0,0,0,0
0.035278,0,0,0,0,0,0,0,0
0.037151,0,0,0,0,0,0,0,0
0.038635,0,0,0,0,0,0,0,0
0.040056,0,0,0,0,0,0,0,0
0.041475,0,0,0,0,0,0,0,0
0.042885,0,0,0,0,0,0,0,0
0.044290,0,0,0,0,0,0,0,0
0.045860,0,0,0,0,0,0,0,0
0.047123,0,0,0,0,0,0,0,0
0.048531,0,0,0,0,0,0,0,0
0.049988,0,0,0,0,0,0,0,0
0.051453,0,0,0,0,0,0,0,0
0.052866,0,0,0,0,0,0,0,0
0.054271,0,0,0,0,0,0,0,0
0.055677,0,0,0,0,0,0,0,0
0.057228,0,0,0,0,0,0,0,0
0.058630,0,0,0,0,0,0,0,0
0.060049,0,0,0,0,0,0,0,0
0.061455,0,0,0,0,0,0,0,0
0.062922,0,0,0,0,0,0,0,0
