
[selected] 6 counters, interval 0.005 s
       SP         gid=0x0a selector=1    SP_BUSY_CYCLES                               (A8XX_PERF_SP_BUSY_CYCLES)
       SP         gid=0x0a selector=2    SP_ALU_WORKING_CYCLES                        (A8XX_PERF_SP_ALU_WORKING_CYCLES)
       SP         gid=0x0a selector=5    SP_STALL_CYCLES_UCHE                         (A8XX_PERF_SP_STALL_CYCLES_UCHE)
       HLSQ       gid=0x04 selector=6    HLSQ_STALL_CYCLES_UCHE                       (A8XX_PERF_HLSQ_STALL_CYCLES_UCHE)
       UCHE       gid=0x08 selector=1    UCHE_BUSY_CYCLES                             (A8XX_PERF_UCHE_BUSY_CYCLES)
       UCHE       gid=0x08 selector=52   UCHE_RAM_READ_REQ                            (A8XX_PERF_UCHE_RAM_READ_REQ)
[GET] SP_BUSY_CYCLES                               group=0xa selector=1 reg_low=0x29c reg_high=0x29d
[GET] SP_ALU_WORKING_CYCLES                        group=0xa selector=2 reg_low=0x29a reg_high=0x29b
[GET] SP_STALL_CYCLES_UCHE                         group=0xa selector=5 reg_low=0x298 reg_high=0x299
[GET] HLSQ_STALL_CYCLES_UCHE                       group=0x4 selector=6 reg_low=0x1fe reg_high=0x1ff
[GET] UCHE_BUSY_CYCLES                             group=0x8 selector=1 reg_low=0x254 reg_high=0x255
[GET] UCHE_RAM_READ_REQ                            group=0x8 selector=52 reg_low=0x252 reg_high=0x253

[stream] Press Ctrl+C to stop. Values are deltas since previous sample.
[csv] logging elapsed_s and counter deltas to /data/local/tmp/adreno_perf_stream_last.csv
elapsed_s,SP_BUSY_CYCLES,SP_ALU_WORKING_CYCLES,SP_STALL_CYCLES_UCHE,HLSQ_STALL_CYCLES_UCHE,UCHE_BUSY_CYCLES,UCHE_RAM_READ_REQ
0.531063,68954205,42832225,0,0,2272569,281292
0.536281,68732837,42702951,0,0,2268212,280602
0.541520,69040935,42896225,0,0,2286302,281160
0.546740,68979716,42852264,0,0,2274154,280604
0.552336,73669410,45768235,0,0,2434932,300638
0.557660,70263300,43647285,0,0,2319933,286010
0.562899,69132847,42959654,0,0,2286501,282126
0.568130,68965889,42842756,0,0,2280224,280752
0.573382,69256666,43003138,0,0,2293619,282288
0.578623,69100123,42910182,0,0,2286776,281608
0.583852,69001330,42861622,0,0,2285594,281446
0.589082,68982915,42840707,0,0,2281709,280494
0.594309,68940008,42813430,0,0,2277973,280918
0.599539,68909995,42801311,0,0,2271965,281088
0.604758,68796274,42735630,0,0,2259369,280034
0.610380,74013512,45973860,0,0,2437783,301682
0.615613,69071868,42914292,0,0,2276491,282090
0.620843,69050966,42895615,0,0,2283435,281260
0.626064,68845799,42780917,0,0,2269014,280172
0.631283,68855536,42769525,0,0,2272552,280554
0.636506,68868243,42781461,0,0,2281277,280614
0.642108,73894845,45900557,0,0,2439616,301232
0.647333,68915791,42806283,0,0,2279190,280604
0.652551,68809243,42740966,0,0,2274021,280594
0.657765,68767540,42724380,0,0,2272779,280118
0.663000,68983118,42893231,0,0,2273928,281678
0.668221,68895632,42768231,0,0,2270568,280152
0.673497,68884983,42797028,0,0,2290450,283576
0.678787,70452436,43764001,0,0,2307044,284716
0.684017,68981172,42848646,0,0,2285494,280632
0.689122,67322753,41818350,0,0,2224225,274708
0.694781,74618048,46345744,0,0,2464817,303882
0.700033,69252367,43015496,0,0,2291133,282204
0.705273,69104419,42921467,0,0,2282813,281724
0.711888,87259224,54199713,0,0,2902409,355478
0.717191,69930810,43436756,0,0,2316104,285162
0.722482,69777228,43340415,0,0,2308561,284472
