elapsed_s,PC_S_TESS_SETUP_ACTIVE,PC_S_TESS_PID_ACTIVE,PC_S_TESS_PRIM_GEN_ACTIVE,PC_S_TESS_FACTOR_TRANS,PC_S_TESS_PC_UV_TRANS,PC_S_TESS_PC_UV_PATCHES,PC_S_MESH_VS_WAVES
0.243352,0,0,0,0,0,0,0
0.244916,0,0,0,0,0,0,0
0.247037,0,0,0,0,0,0,0
0.248611,0,0,0,0,0,0,0
0.250219,0,0,0,0,0,0,0
0.251783,0,0,0,0,0,0,0
0.253225,0,0,0,0,0,0,0
0.254772,0,0,0,0,0,0,0
0.256337,0,0,0,0,0,0,0
0.257948,0,0,0,0,0,0,0
0.259530,0,0,0,0,0,0,0
0.261096,0,0,0,0,0,0,0
0.262747,0,0,0,0,0,0,0
0.264156,0,0,0,0,0,0,0
0.265737,0,0,0,0,0,0,0
0.267304,0,0,0,0,0,0,0
0.268870,0,0,0,0,0,0,0
0.270321,0,0,0,0,0,0,0
0.271849,0,0,0,0,0,0,0
0.273441,0,0,0,0,0,0,0
0.275048,0,0,0,0,0,0,0
0.276645,0,0,0,0,0,0,0
0.278208,0,0,0,0,0,0,0
0.279772,0,0,0,0,0,0,0
0.281353,0,0,0,0,0,0,0
0.282962,0,0,0,0,0,0,0
0.284527,0,0,0,0,0,0,0
0.286094,0,0,0,0,0,0,0
0.287625,0,0,0,0,0,0,0
0.289189,0,0,0,0,0,0,0
0.290760,0,0,0,0,0,0,0
0.292338,0,0,0,0,0,0,0
0.293905,0,0,0,0,0,0,0
0.295470,0,0,0,0,0,0,0
0.297034,0,0,0,0,0,0,0
0.298605,0,0,0,0,0,0,0
0.300170,0,0,0,0,0,0,0
0.301739,0,0,0,0,0,0,0
0.303319,0,0,0,0,0,0,0
0.304883,0,0,0,0,0,0,0
0.306364,0,0,0,0,0,0,0
0.307902,0,0,0,0,0,0,0
0.309469,0,0,0,0,0,0,0
0.311036,0,0,0,0,0,0,0
0.312600,0,0,0,0,0,0,0
0.314056,0,0,0,0,0,0,0
0.315593,0,0,0,0,0,0,0
0.317158,0,0,0,0,0,0,0
0.318727,0,0,0,0,0,0,0
0.320292,0,0,0,0,0,0,0
0.321902,0,0,0,0,0,0,0
0.323470,0,0,0,0,0,0,0
0.325048,0,0,0,0,0,0,0
0.326618,0,0,0,0,0,0,0
0.328316,0,0,0,0,0,0,0
0.329928,0,0,0,0,0,0,0
0.331496,0,0,0,0,0,0,0
0.333062,0,0,0,0,0,0,0
0.334629,0,0,0,0,0,0,0
0.336198,0,0,0,0,0,0,0
0.337632,0,0,0,0,0,0,0
0.339168,0,0,0,0,0,0,0
0.340733,0,0,0,0,0,0,0
0.342298,0,0,0,0,0,0,0
0.343864,0,0,0,0,0,0,0
0.345430,0,0,0,0,0,0,0
0.347054,0,0,0,0,0,0,0
0.348617,0,0,0,0,0,0,0
0.350182,0,0,0,0,0,0,0
0.351748,0,0,0,0,0,0,0
0.353316,0,0,0,0,0,0,0
0.354881,0,0,0,0,0,0,0
0.356444,0,0,0,0,0,0,0
0.358024,0,0,0,0,0,0,0
0.359588,0,0,0,0,0,0,0
0.361152,0,0,0,0,0,0,0
0.362723,0,0,0,0,0,0,0
0.364286,0,0,0,0,0,0,0
0.365851,0,0,0,0,0,0,0
0.367418,0,0,0,0,0,0,0
0.368995,0,0,0,0,0,0,0
0.370482,0,0,0,0,0,0,0
0.372016,0,0,0,0,0,0,0
0.373583,0,0,0,0,0,0,0
0.375149,0,0,0,0,0,0,0
0.376713,0,0,0,0,0,0,0
0.378323,0,0,0,0,0,0,0
0.379903,0,0,0,0,0,0,0
0.381469,0,0,0,0,0,0,0
0.383035,0,0,0,0,0,0,0
0.384599,0,0,0,0,0,0,0
0.386207,0,0,0,0,0,0,0
0.387773,0,0,0,0,0,0,0
0.389340,0,0,0,0,0,0,0
0.390918,0,0,0,0,0,0,0
0.392482,0,0,0,0,0,0,0
0.394093,0,0,0,0,0,0,0
0.395661,0,0,0,0,0,0,0
0.397225,0,0,0,0,0,0,0
0.398833,0,0,0,0,0,0,0
0.400282,0,0,0,0,0,0,0
0.401757,0,0,0,0,0,0,0
0.403294,0,0,0,0,0,0,0
0.404860,0,0,0,0,0,0,0
0.406427,0,0,0,0,0,0,0
0.407993,0,0,0,0,0,0,0
0.409562,0,0,0,0,0,0,0
0.411174,0,0,0,0,0,0,0
0.412630,0,0,0,0,0,0,0
0.414169,0,0,0,0,0,0,0
0.415737,0,0,0,0,0,0,0
0.417305,0,0,0,0,0,0,0
0.418870,0,0,0,0,0,0,0
0.420437,0,0,0,0,0,0,0
0.422006,0,0,0,0,0,0,0
0.423587,0,0,0,0,0,0,0
0.425153,0,0,0,0,0,0,0
0.426727,0,0,0,0,0,0,0
0.428293,0,0,0,0,0,0,0
0.429862,0,0,0,0,0,0,0
0.431420,0,0,0,0,0,0,0
0.432977,0,0,0,0,0,0,0
0.434525,0,0,0,0,0,0,0
0.435937,0,0,0,0,0,0,0
0.437343,0,0,0,0,0,0,0
0.438746,0,0,0,0,0,0,0
0.440148,0,0,0,0,0,0,0
0.441551,0,0,0,0,0,0,0
0.442994,0,0,0,0,0,0,0
0.444523,0,0,0,0,0,0,0
0.446104,0,0,0,0,0,0,0
0.447670,0,0,0,0,0,0,0
0.449235,0,0,0,0,0,0,0
0.450824,0,0,0,0,0,0,0
0.452389,0,0,0,0,0,0,0
0.453957,0,0,0,0,0,0,0
0.455523,0,0,0,0,0,0,0
0.457101,0,0,0,0,0,0,0
0.458709,0,0,0,0,0,0,0
0.460273,0,0,0,0,0,0,0
0.461840,0,0,0,0,0,0,0
0.463406,0,0,0,0,0,0,0
0.464971,0,0,0,0,0,0,0
0.466629,0,0,0,0,0,0,0
0.468206,0,0,0,0,0,0,0
0.469775,0,0,0,0,0,0,0
0.471341,0,0,0,0,0,0,0
0.472904,0,0,0,0,0,0,0
0.474546,0,0,0,0,0,0,0
0.476112,0,0,0,0,0,0,0
0.477679,0,0,0,0,0,0,0
0.479259,0,0,0,0,0,0,0
0.480824,0,0,0,0,0,0,0
0.482434,0,0,0,0,0,0,0
0.484000,0,0,0,0,0,0,0
0.485567,0,0,0,0,0,0,0
0.487013,0,0,0,0,0,0,0
0.488552,0,0,0,0,0,0,0
0.490175,0,0,0,0,0,0,0
0.491741,0,0,0,0,0,0,0
0.493309,0,0,0,0,0,0,0
0.494889,0,0,0,0,0,0,0
0.496341,0,0,0,0,0,0,0
0.497793,0,0,0,0,0,0,0
0.499327,0,0,0,0,0,0,0
0.500906,0,0,0,0,0,0,0
0.502525,0,0,0,0,0,0,0
0.504091,0,0,0,0,0,0,0
0.505659,0,0,0,0,0,0,0
0.507226,0,0,0,0,0,0,0
0.508791,0,0,0,0,0,0,0
0.510356,0,0,0,0,0,0,0
0.511937,0,0,0,0,0,0,0
0.513505,0,0,0,0,0,0,0
0.515114,0,0,0,0,0,0,0
0.516634,0,0,0,0,0,0,0
0.518462,0,0,0,0,0,0,0
0.519880,0,0,0,0,0,0,0
0.521363,0,0,0,0,0,0,0
0.522816,0,0,0,0,0,0,0
0.524214,0,0,0,0,0,0,0
0.525611,0,0,0,0,0,0,0
0.527135,0,0,0,0,0,0,0
0.528691,0,0,0,0,0,0,0
0.530127,0,0,0,0,0,0,0
0.531663,0,0,0,0,0,0,0
0.533241,0,0,0,0,0,0,0
0.534836,0,0,0,0,0,0,0
0.536264,0,0,0,0,0,0,0
0.537696,0,0,0,0,0,0,0
0.539116,0,0,0,0,0,0,0
0.540519,0,0,0,0,0,0,0
0.541923,0,0,0,0,0,0,0
0.543335,0,0,0,0,0,0,0
0.544737,0,0,0,0,0,0,0
0.546268,0,0,0,0,0,0,0
0.547834,0,0,0,0,0,0,0
0.549436,0,0,0,0,0,0,0
0.551001,0,0,0,0,0,0,0
0.552565,0,0,0,0,0,0,0
0.554187,0,0,0,0,0,0,0
0.555753,0,0,0,0,0,0,0
0.557320,0,0,0,0,0,0,0
0.558887,0,0,0,0,0,0,0
0.560450,0,0,0,0,0,0,0
0.562017,0,0,0,0,0,0,0
0.563583,0,0,0,0,0,0,0
0.565160,0,0,0,0,0,0,0
0.566730,0,0,0,0,0,0,0
0.568294,0,0,0,0,0,0,0
0.569905,0,0,0,0,0,0,0
0.571471,0,0,0,0,0,0,0
0.573034,0,0,0,0,0,0,0
0.574603,0,0,0,0,0,0,0
0.576181,0,0,0,0,0,0,0
0.577748,0,0,0,0,0,0,0
0.579313,0,0,0,0,0,0,0
0.580876,0,0,0,0,0,0,0
0.582442,0,0,0,0,0,0,0
0.584008,0,0,0,0,0,0,0
0.585575,0,0,0,0,0,0,0
0.587199,0,0,0,0,0,0,0
0.588764,0,0,0,0,0,0,0
0.590330,0,0,0,0,0,0,0
0.591909,0,0,0,0,0,0,0
0.593390,0,0,0,0,0,0,0
0.594806,0,0,0,0,0,0,0
0.596211,0,0,0,0,0,0,0
0.597627,0,0,0,0,0,0,0
0.599030,0,0,0,0,0,0,0
0.600436,0,0,0,0,0,0,0
0.602016,0,0,0,0,0,0,0
0.603582,0,0,0,0,0,0,0
0.605146,0,0,0,0,0,0,0
0.607128,0,0,0,0,0,0,0
0.608705,0,0,0,0,0,0,0
0.610272,0,0,0,0,0,0,0
0.611837,0,0,0,0,0,0,0
0.613404,0,0,0,0,0,0,0
0.614971,0,0,0,0,0,0,0
0.616535,0,0,0,0,0,0,0
0.618158,0,0,0,0,0,0,0
0.620203,0,0,0,0,0,0,0
0.621628,0,0,0,0,0,0,0
0.623037,0,0,0,0,0,0,0
0.624435,0,0,0,0,0,0,0
0.625835,0,0,0,0,0,0,0
0.627240,0,0,0,0,0,0,0
0.628642,0,0,0,0,0,0,0
0.630252,0,0,0,0,0,0,0
0.631821,0,0,0,0,0,0,0
0.633389,0,0,0,0,0,0,0
0.635001,0,0,0,0,0,0,0
0.636567,0,0,0,0,0,0,0
0.638133,0,0,0,0,0,0,0
0.639699,0,0,0,0,0,0,0
0.641347,0,0,0,0,0,0,0
0.642976,0,0,0,0,0,0,0
0.644542,0,0,0,0,0,0,0
0.646112,0,0,0,0,0,0,0
0.647680,0,0,0,0,0,0,0
0.649245,0,0,0,0,0,0,0
0.650733,0,0,0,0,0,0,0
0.652153,0,0,0,0,0,0,0
0.653690,0,0,0,0,0,0,0
0.655257,0,0,0,0,0,0,0
0.656821,0,0,0,0,0,0,0
0.658387,0,0,0,0,0,0,0
0.659953,0,0,0,0,0,0,0
0.661520,0,0,0,0,0,0,0
0.663098,0,0,0,0,0,0,0
0.664662,0,0,0,0,0,0,0
0.666272,0,0,0,0,0,0,0
0.667838,0,0,0,0,0,0,0
0.669405,0,0,0,0,0,0,0
0.670968,0,0,0,0,0,0,0
0.672532,0,0,0,0,0,0,0
0.674112,0,0,0,0,0,0,0
0.675677,0,0,0,0,0,0,0
0.677241,0,0,0,0,0,0,0
0.678830,0,0,0,0,0,0,0
0.680393,0,0,0,0,0,0,0
0.682025,0,0,0,0,0,0,0
0.683607,0,0,0,0,0,0,0
0.685198,0,0,0,0,0,0,0
0.686768,0,0,0,0,0,0,0
0.688332,0,0,0,0,0,0,0
0.689898,0,0,0,0,0,0,0
0.691464,0,0,0,0,0,0,0
0.693027,0,0,0,0,0,0,0
0.694597,0,0,0,0,0,0,0
0.696173,0,0,0,0,0,0,0
0.697783,0,0,0,0,0,0,0
0.701585,0,0,0,0,0,0,0
0.703763,0,0,0,0,0,0,0
0.705168,0,0,0,0,0,0,0
0.706629,0,0,0,0,0,0,0
0.708030,0,0,0,0,0,0,0
0.709428,0,0,0,0,0,0,0
0.710826,0,0,0,0,0,0,0
0.712242,0,0,0,0,0,0,0
0.713678,0,0,0,0,0,0,0
0.715076,0,0,0,0,0,0,0
0.716472,0,0,0,0,0,0,0
0.717887,0,0,0,0,0,0,0
0.719289,0,0,0,0,0,0,0
0.720689,0,0,0,0,0,0,0
0.722092,0,0,0,0,0,0,0
0.723492,0,0,0,0,0,0,0
0.724892,0,0,0,0,0,0,0
0.726295,0,0,0,0,0,0,0
0.727696,0,0,0,0,0,0,0
0.729115,0,0,0,0,0,0,0
0.730520,0,0,0,0,0,0,0
0.731922,0,0,0,0,0,0,0
0.733354,0,0,0,0,0,0,0
0.734758,0,0,0,0,0,0,0
0.736161,0,0,0,0,0,0,0
0.737567,0,0,0,0,0,0,0
0.739098,0,0,0,0,0,0,0
0.740677,0,0,0,0,0,0,0
0.742244,0,0,0,0,0,0,0
0.743812,0,0,0,0,0,0,0
0.745382,0,0,0,0,0,0,0
0.746980,0,0,0,0,0,0,0
0.748535,0,0,0,0,0,0,0
0.749974,0,0,0,0,0,0,0
0.751520,0,0,0,0,0,0,0
0.753086,0,0,0,0,0,0,0
0.754653,0,0,0,0,0,0,0
0.756219,0,0,0,0,0,0,0
0.757788,0,0,0,0,0,0,0
0.759356,0,0,0,0,0,0,0
