elapsed_s,TSE_SETUP_FDP3_2_WORKING_CYCLE_L3,TSE_SETUP_FDP3_3_WORKING_CYCLE_L3,TSE_SETUP_FDP3_4_WORKING_CYCLE_L3,TSE_SETUP_FDP3_5_WORKING_CYCLE_L3
0.353893,0,0,0,0
0.355494,0,0,0,0
0.357041,0,0,0,0
0.358592,0,0,0,0
0.360140,0,0,0,0
0.361687,0,0,0,0
0.363239,0,0,0,0
0.364664,0,0,0,0
0.366203,0,0,0,0
0.367752,0,0,0,0
0.369298,0,0,0,0
0.370970,0,0,0,0
0.372495,0,0,0,0
0.374197,0,0,0,0
0.375662,0,0,0,0
0.377190,0,0,0,0
0.378741,0,0,0,0
0.380291,0,0,0,0
0.381816,0,0,0,0
0.383221,0,0,0,0
0.384623,0,0,0,0
0.386015,0,0,0,0
0.387457,0,0,0,0
0.388845,0,0,0,0
0.390822,0,0,0,0
0.392807,0,0,0,0
0.394399,0,0,0,0
0.395789,0,0,0,0
0.397168,0,0,0,0
0.398566,0,0,0,0
0.399947,0,0,0,0
0.401327,0,0,0,0
0.402744,0,0,0,0
0.404631,0,0,0,0
0.406402,0,0,0,0
0.407792,0,0,0,0
0.409184,0,0,0,0
0.410568,0,0,0,0
0.411952,0,0,0,0
0.413333,0,0,0,0
0.414717,0,0,0,0
0.416232,0,0,0,0
0.417781,0,0,0,0
0.419351,0,0,0,0
0.420901,0,0,0,0
0.422453,0,0,0,0
0.424004,0,0,0,0
0.425553,0,0,0,0
0.427108,0,0,0,0
0.428657,0,0,0,0
0.430223,0,0,0,0
0.431773,0,0,0,0
0.433320,0,0,0,0
0.434915,0,0,0,0
0.436457,0,0,0,0
0.438031,0,0,0,0
0.439610,0,0,0,0
0.441172,0,0,0,0
0.442722,0,0,0,0
0.444273,0,0,0,0
0.445822,0,0,0,0
0.447427,0,0,0,0
0.448975,0,0,0,0
0.450570,0,0,0,0
0.452134,0,0,0,0
0.453683,0,0,0,0
0.455318,0,0,0,0
0.456837,0,0,0,0
0.458388,0,0,0,0
0.459939,0,0,0,0
0.461486,0,0,0,0
0.463100,0,0,0,0
0.464640,0,0,0,0
0.466066,0,0,0,0
0.467592,0,0,0,0
