elapsed_s,HLSQ_BV_SP_CTX_ALIVE_CYCLE,HLSQ_STPROC_WAVE_NUM_FS,HLSQ_STPROC_WAVE_NUM_VS,HLSQ_STPROC_WAVE_NUM_BV,HLSQ_STPROC_WAVE_NUM_LPAC,HLSQ_VS_SP_CCTX_NUM
0.069887,0,0,0,0,0,0
0.071240,0,0,0,0,0,0
0.072593,0,0,0,0,0,0
0.073989,0,0,0,0,0,0
0.075407,0,0,0,0,0,0
0.076813,0,0,0,0,0,0
0.078211,0,0,0,0,0,0
0.079606,0,0,0,0,0,0
0.081000,0,0,0,0,0,0
0.082405,0,0,0,0,0,0
0.083839,0,0,0,0,0,0
0.085236,0,0,0,0,0,0
0.086647,0,0,0,0,0,0
0.088045,0,0,0,0,0,0
0.089442,0,0,0,0,0,0
0.091220,0,0,0,0,0,0
0.092617,0,0,0,0,0,0
0.094016,0,0,0,0,0,0
0.095422,0,0,0,0,0,0
0.096815,0,0,0,0,0,0
0.099545,0,0,0,0,0,0
0.100937,0,0,0,0,0,0
0.105038,0,0,0,0,0,0
0.107208,0,0,0,0,0,0
0.108571,0,0,0,0,0,0
0.110071,0,0,0,0,0,0
0.111504,0,0,0,0,0,0
0.112861,0,0,0,0,0,0
0.114213,0,0,0,0,0,0
0.115564,0,0,0,0,0,0
0.116912,0,0,0,0,0,0
0.118459,0,0,0,0,0,0
0.120172,0,0,0,0,0,0
0.121664,0,0,0,0,0,0
0.123109,0,0,0,0,0,0
0.124507,0,0,0,0,0,0
0.125897,0,0,0,0,0,0
0.127326,0,0,0,0,0,0
0.128726,0,0,0,0,0,0
0.130127,0,0,0,0,0,0
0.131518,0,0,0,0,0,0
0.132928,0,0,0,0,0,0
0.134318,0,0,0,0,0,0
0.135709,0,0,0,0,0,0
0.137099,0,0,0,0,0,0
0.138489,0,0,0,0,0,0
0.140017,0,0,0,0,0,0
0.141569,0,0,0,0,0,0
0.143271,0,0,0,0,0,0
0.144722,0,0,0,0,0,0
0.146120,0,0,0,0,0,0
0.147640,0,0,0,0,0,0
0.149191,0,0,0,0,0,0
