elapsed_s,LRZ_NEVER_COUNT,LRZ_BUSY_CYCLES,LRZ_STARVE_CYCLES_RAS
0.001093,0,0,1299517
0.002557,0,0,777429
0.003967,0,0,751619
0.005375,0,0,750070
0.006782,0,0,749062
0.008188,0,0,749059
0.009593,0,0,748576
0.011010,0,0,754882
0.012417,0,0,749401
0.013821,0,0,748631
0.015293,0,0,777104
0.016705,0,0,765704
0.018081,0,0,721857
0.019472,0,0,739809
0.020820,0,0,717323
0.022225,0,0,818815
0.023702,0,0,716677
0.025037,0,0,711026
0.026371,0,0,734529
0.027810,0,0,743628
0.029147,0,0,713794
0.030517,0,0,734845
0.031874,0,0,712173
0.033204,0,0,708874
0.034526,0,0,720491
0.035899,0,0,720747
0.037235,0,0,707119
0.038559,0,0,703973
0.039881,0,0,705908
0.041205,0,0,704543
0.042528,0,0,695645
0.043882,0,0,737671
0.045222,0,0,709019
0.046549,0,0,705349
0.047862,0,0,686833
0.049146,0,0,684033
0.050428,0,0,693118
0.051747,0,0,692606
0.053029,0,0,683495
0.054317,0,0,701964
0.055650,0,0,997719
0.056901,0,0,1008066
0.058152,0,0,1007999
0.059453,0,0,1049399
0.060707,0,0,1010492
0.062017,0,0,1059484
0.063348,0,0,1068961
0.064632,0,0,1075358
0.065970,0,0,1079116
0.067315,0,0,1083323
0.068654,0,0,1077610
0.069990,0,0,1074844
0.071329,0,0,878089
0.072697,0,0,737220
0.074080,0,0,730924
0.075540,0,0,906754
0.077150,0,0,725719
0.078520,0,0,809816
0.080103,0,0,769858
0.081550,0,0,764234
0.082964,0,0,753195
0.084379,0,0,752852
0.085808,0,0,761549
0.087726,1034,917,1840556
0.089224,42901,42891,1448802
0.090458,42899,42954,1438997
0.091688,42856,42888,1447850
0.092922,42934,42971,1445963
0.094233,44689,44714,1534900
0.096339,72884,72876,2468654
0.097574,42913,42989,1446358
0.098812,44874,44792,1449463
0.100050,43428,43407,1450867
0.101289,39864,39787,1561065
0.102616,0,0,1729013
0.104025,0,0,1705445
0.105433,0,0,1705985
0.106842,0,0,1706009
0.108250,0,0,1705971
0.109659,0,0,1574359
0.110975,0,0,1730042
0.112390,0,0,1713946
0.113810,0,0,1721193
0.115226,0,0,1717674
0.116645,0,0,1717027
0.118063,0,0,1581710
0.119368,0,0,1715825
0.120786,0,0,1716790
0.122203,0,0,1661728
0.123624,0,0,1781744
0.125005,0,0,1665480
0.126463,0,0,1641086
0.127881,0,0,1807632
0.129438,0,0,1871158
0.130981,0,0,1965961
0.132602,0,0,1861270
0.134138,0,0,1859050
0.135844,0,0,2045025
0.137231,0,0,1673670
0.138621,0,0,1690582
0.140007,4,0,1674867
0.141389,0,0,1673337
0.142773,0,0,1724492
0.144194,0,0,1671811
0.145718,0,0,1876478
0.147265,0,0,1873343
0.148811,0,0,1871424
0.150356,0,0,1877225
0.151907,0,0,1873328
0.153453,0,0,1871484
0.155002,0,0,1876567
0.156562,0,0,1887452
0.158106,0,0,1869522
0.159695,0,0,1926408
0.161242,0,0,1872719
0.162790,0,0,1875118
0.164336,0,0,1872359
0.165881,0,0,1870563
0.167312,0,0,1700855
0.168828,0,0,1861882
0.170363,0,0,2068921
0.171953,0,0,1696776
0.173341,0,0,1676035
0.174854,0,0,1862054
0.176400,0,0,1871683
0.177959,0,0,1887615
0.179506,0,0,1874322
0.181051,0,0,1871751
0.182600,0,0,1875226
0.184146,0,0,1871940
0.185691,0,0,1870052
0.187238,0,0,1875198
0.188797,0,0,1887538
0.190342,0,0,1875259
0.192003,0,0,2075968
0.193605,0,0,1870782
0.195152,0,0,1874813
0.196699,0,0,1872528
0.198244,0,0,1875917
0.199807,0,0,1887736
0.201351,0,0,1870348
0.202898,0,0,1874896
