elapsed_s,PC_US_STARVE_CYCLES_DI,PC_US_VIS_STREAMS_LOADED,PC_US_INSTANCES,PC_US_DEAD_PRIM,PC_US_SLICE_LIVE_PRIM,PC_US_3D_DRAWCALLS,PC_US_2D_DRAWCALLS,PC_US_NON_DRAWCALL_GLOBAL_EVENTS
0.001097,0,0,0,0,0,0,0,0
0.002754,0,0,0,0,0,0,0,0
0.004306,0,0,0,0,0,0,0,0
0.005955,0,0,0,0,0,0,0,0
0.007510,0,0,0,0,0,0,0,0
0.009084,0,0,0,0,0,0,0,0
0.012876,0,0,0,0,0,0,0,0
0.014580,0,0,0,0,0,0,0,0
0.016131,0,0,0,0,0,0,0,0
0.017620,0,0,0,0,0,0,0,0
0.019177,0,0,0,0,0,0,0,0
0.020655,0,0,0,0,0,0,0,0
0.022156,0,0,0,0,0,0,0,0
0.023692,0,0,0,0,0,0,0,0
0.025225,0,0,0,0,0,0,0,0
0.026758,0,0,0,0,0,0,0,0
0.028293,0,0,0,0,0,0,0,0
0.029874,0,0,0,0,0,0,0,0
0.031292,0,0,0,0,0,0,0,0
0.032640,0,0,0,0,0,0,0,0
0.033978,0,0,0,0,0,0,0,0
0.035383,0,0,0,0,0,0,0,0
0.036947,0,0,0,0,0,0,0,0
0.038361,0,0,0,0,0,0,0,0
0.039776,0,0,0,0,0,0,0,0
0.041203,0,0,0,0,0,0,0,0
0.042609,0,0,0,0,0,0,0,0
0.044021,0,0,0,0,0,0,0,0
0.045578,0,0,0,0,0,0,0,0
0.046975,0,0,0,0,0,0,0,0
0.048355,0,0,0,0,0,0,0,0
0.049722,0,0,0,0,0,0,0,0
0.051343,0,0,0,0,0,0,0,0
0.052729,0,0,0,0,0,0,0,0
0.054169,0,0,0,0,0,0,0,8
0.055746,0,0,0,0,0,0,0,0
0.057116,0,0,0,0,0,0,0,0
0.058484,0,0,0,0,0,0,0,0
0.059847,0,0,0,0,0,0,0,0
0.061267,0,0,0,0,0,0,0,0
0.062697,0,0,0,0,0,0,0,0
0.064070,0,0,0,0,0,0,0,12
0.065651,0,0,0,0,0,0,0,36
0.067014,0,0,0,0,0,0,0,0
0.068431,0,0,0,0,0,0,0,0
0.069814,0,0,0,0,0,0,0,0
0.071262,0,0,0,0,0,0,0,0
0.072677,0,0,0,0,0,0,0,0
0.074103,0,0,0,0,0,0,0,0
0.075511,0,0,0,0,0,0,0,0
0.076973,0,0,0,0,0,0,0,0
0.078380,0,0,0,0,0,0,0,0
0.079780,0,0,0,0,0,0,0,0
0.081182,0,0,0,0,0,0,0,0
0.086015,0,0,0,0,0,0,0,0
0.087459,0,0,0,0,0,0,0,0
0.088830,0,0,0,0,0,0,0,0
0.090249,0,0,0,0,0,0,0,0
0.091647,0,0,0,0,0,0,0,0
0.093090,0,0,0,0,0,0,0,0
0.094496,0,0,0,0,0,0,0,0
0.095961,0,0,0,0,0,0,0,0
0.097362,0,0,0,0,0,0,0,0
0.098774,0,0,0,0,0,0,0,0
0.100185,0,0,0,0,0,0,0,0
0.101627,0,0,0,0,0,0,0,0
0.103036,0,0,0,0,0,0,0,0
0.104767,0,0,0,0,0,0,0,0
0.106169,0,0,0,0,0,0,0,0
0.107571,0,0,0,0,0,0,0,0
0.109148,0,0,0,0,0,0,0,0
0.110593,0,0,0,0,0,0,0,0
0.112130,0,0,0,0,0,0,0,0
0.113693,0,0,0,0,0,0,0,0
