elapsed_s,PC_NEVER_COUNT,PC_US_BUSY_CYCLES,PC_US_WORKING_CYCLES,PC_US_UCHE_OUTSTANDING_TRANS,PC_US_PASS1_TF_STALL_CYCLES,PC_US_STARVE_CYCLES_FOR_INDEX,PC_US_STARVE_CYCLES_FOR_TF,PC_US_STARVE_CYCLES_FOR_VIZ_STREAM
0.001105,0,0,0,0,0,0,0,0
0.002686,0,0,0,0,0,0,0,0
0.004322,0,0,0,0,0,0,0,0
0.005870,0,0,0,0,0,0,0,0
0.007416,0,0,0,0,0,0,0,0
0.008961,0,0,0,0,0,0,0,0
0.010564,0,0,0,0,0,0,0,0
0.012195,0,0,0,0,0,0,0,0
0.013716,0,0,0,0,0,0,0,0
0.015237,0,0,0,0,0,0,0,0
0.016757,0,0,0,0,0,0,0,0
0.018396,0,0,0,0,0,0,0,0
0.019916,0,0,0,0,0,0,0,0
0.021472,0,0,0,0,0,0,0,0
0.023058,0,0,0,0,0,0,0,0
0.024639,0,0,0,0,0,0,0,0
0.026287,0,0,0,0,0,0,0,0
0.027772,0,0,0,0,0,0,0,0
0.029395,0,0,0,0,0,0,0,0
0.030818,0,0,0,0,0,0,0,0
0.032231,0,0,0,0,0,0,0,0
0.033618,0,0,0,0,0,0,0,0
0.034958,0,0,0,0,0,0,0,0
0.036478,0,0,0,0,0,0,0,0
0.037853,0,0,0,0,0,0,0,0
0.039228,0,0,0,0,0,0,0,0
0.040598,0,0,0,0,0,0,0,0
0.041965,0,0,0,0,0,0,0,0
0.043372,0,0,0,0,0,0,0,0
0.044746,0,0,0,0,0,0,0,0
0.046165,0,0,0,0,0,0,0,0
0.047603,0,0,0,0,0,0,0,0
0.049005,0,0,0,0,0,0,0,0
0.050382,0,0,0,0,0,0,0,0
0.051751,0,0,0,0,0,0,0,0
0.053117,0,0,0,0,0,0,0,0
0.054616,0,262,365,0,0,0,0,0
0.055980,0,100,130,0,0,0,0,0
0.057355,0,0,0,0,0,0,0,0
0.058724,0,0,0,0,0,0,0,0
0.060134,0,0,0,0,0,0,0,0
0.061502,0,0,0,0,0,0,0,0
