elapsed_s,PC_US_STALL_CYCLES_UCHE0,PC_US_STALL_CYCLES_UCHE1,PC_US_UCHE_0_TRANS,PC_US_UCHE_1_TRANS,PC_US_BV_STALLED_BY_ATTR,PC_US_BV_STARVED_BY_RARB,PC_US_VPC_PRIM_COUNT_STALLS_BR,PC_US_VPC_PRIM_COUNT_STALLS_BV
0.214118,0,0,0,0,0,0,0,0
0.215495,0,0,0,0,0,0,0,0
0.216874,0,0,0,0,0,0,0,0
0.218251,0,0,0,0,0,0,0,0
0.219627,0,0,0,0,0,0,0,0
0.221025,0,0,0,0,0,0,0,0
0.222386,0,0,0,0,0,0,0,0
0.223747,0,0,0,0,0,0,0,0
0.225113,0,0,0,0,0,0,0,0
0.226470,0,0,0,0,0,0,0,0
0.227870,0,0,0,0,0,0,0,0
0.229402,0,0,0,0,0,0,0,0
0.230844,0,0,0,0,0,0,0,0
0.232311,0,0,0,0,0,0,0,0
0.233721,0,0,0,0,0,0,0,0
0.235134,0,0,0,0,0,0,0,0
0.236592,0,0,0,0,0,0,0,0
0.238313,0,0,0,0,0,0,0,0
0.239850,0,0,0,0,0,0,0,0
0.241260,0,0,0,0,0,0,0,0
0.242667,0,0,0,0,0,0,0,0
0.244153,0,0,0,0,0,0,0,0
0.245559,0,0,0,0,0,0,0,0
0.246968,0,0,0,0,0,0,0,0
0.248388,0,0,0,0,0,0,0,0
0.249748,0,0,0,0,0,0,0,0
0.251150,0,0,0,0,0,0,0,0
0.252570,0,0,0,0,0,0,0,0
0.254065,0,0,0,0,0,0,0,0
0.255475,0,0,0,0,0,0,0,0
0.256919,0,0,0,0,0,0,0,0
0.258327,0,0,0,0,0,0,0,0
0.259744,0,0,0,0,0,0,0,0
0.261581,0,0,0,0,0,0,0,0
0.262992,0,0,0,0,0,0,0,0
0.264394,0,0,0,0,0,0,0,0
0.265796,0,0,0,0,0,0,0,0
0.267199,0,0,0,0,0,0,0,0
0.268647,0,0,0,0,0,0,0,0
0.272884,0,0,0,0,0,0,0,0
0.274292,0,0,0,0,0,0,0,0
0.275694,0,0,0,0,0,0,0,0
0.277308,0,0,0,0,0,0,0,0
0.278738,0,0,0,0,0,0,0,0
0.280137,0,0,0,0,0,0,0,0
0.281508,0,0,0,0,0,0,0,0
0.282871,0,0,0,0,0,0,0,0
0.284252,0,0,0,0,0,0,0,0
0.285657,0,0,0,0,0,0,0,0
0.287058,0,0,0,0,0,0,0,0
0.288585,0,0,0,0,0,0,0,0
0.290104,0,0,0,0,0,0,0,0
0.291531,0,0,0,0,0,0,0,0
0.292987,0,0,0,0,0,0,0,0
0.294395,0,0,0,0,0,0,0,0
0.295803,0,0,0,0,0,0,0,0
0.297212,0,0,0,0,0,0,0,0
0.298618,0,0,0,0,0,0,0,0
0.300196,0,0,0,0,0,0,0,0
0.301780,0,0,0,0,0,0,0,0
0.303352,0,0,0,0,0,0,0,0
0.304926,0,0,0,0,0,0,0,0
0.306498,0,0,0,0,0,0,0,0
0.308111,0,0,0,0,0,0,0,0
0.309683,0,0,0,0,0,0,0,0
0.311257,0,0,0,0,0,0,0,0
0.312910,0,0,0,0,0,0,0,0
0.314546,0,0,0,0,0,0,0,0
0.316160,0,0,0,0,0,0,0,0
0.317610,0,0,0,0,0,0,0,0
0.319157,0,0,0,0,0,0,0,0
0.320729,0,0,0,0,0,0,0,0
0.322307,0,0,0,0,0,0,0,0
0.323933,0,0,0,0,0,0,0,0
0.325509,0,0,0,0,0,0,0,0
0.327083,0,0,0,0,0,0,0,0
0.328655,0,0,0,0,0,0,0,0
0.330209,0,0,0,0,0,0,0,0
0.331751,0,0,0,0,0,0,0,0
0.333326,0,0,0,0,0,0,0,0
0.334912,0,0,0,0,0,0,0,0
0.336481,0,0,0,0,0,0,0,0
0.338114,0,0,0,0,0,0,0,0
0.339677,0,0,0,0,0,0,0,0
0.341163,0,0,0,0,0,0,0,0
0.342705,0,0,0,0,0,0,0,0
0.344277,0,0,0,0,0,0,0,0
0.345862,0,0,0,0,0,0,0,0
0.347436,0,0,0,0,0,0,0,0
0.349011,0,0,0,0,0,0,0,0
0.350585,0,0,0,0,0,0,0,0
0.352156,0,0,0,0,0,0,0,0
0.353729,0,0,0,0,0,0,0,0
0.355302,0,0,0,0,0,0,0,0
0.356891,0,0,0,0,0,0,0,0
0.358465,0,0,0,0,0,0,0,0
0.360035,0,0,0,0,0,0,0,0
0.361503,0,0,0,0,0,0,0,0
0.363072,0,0,0,0,0,0,0,0
0.364646,0,0,0,0,0,0,0,0
0.366111,0,0,0,0,0,0,0,0
0.367536,0,0,0,0,0,0,0,0
0.368906,0,0,0,0,0,0,0,0
0.370328,0,0,0,0,0,0,0,0
0.371716,0,0,0,0,0,0,0,0
0.373117,0,0,0,0,0,0,0,0
0.374451,0,0,0,0,0,0,0,0
0.375785,0,0,0,0,0,0,0,0
0.377115,0,0,0,0,0,0,0,0
0.378458,0,0,0,0,0,0,0,0
0.379825,0,0,0,0,0,0,0,0
0.381261,0,0,0,0,0,0,0,0
0.382638,0,0,0,0,0,0,0,0
0.384014,0,0,0,0,0,0,0,0
0.385391,0,0,0,0,0,0,0,0
0.386768,0,0,0,0,0,0,0,0
0.388157,0,0,0,0,0,0,0,0
0.389561,0,0,0,0,0,0,0,0
0.390923,0,0,0,0,0,0,0,0
0.392285,0,0,0,0,0,0,0,0
0.393650,0,0,0,0,0,0,0,0
0.395019,0,0,0,0,0,0,0,0
0.396407,0,0,0,0,0,0,0,0
0.397844,0,0,0,0,0,0,0,0
0.399405,0,0,0,0,0,0,0,0
0.400985,0,0,0,0,0,0,0,0
0.402534,0,0,0,0,0,0,0,0
0.404003,0,0,0,0,0,0,0,0
0.405409,0,0,0,0,0,0,0,0
0.406823,0,0,0,0,0,0,0,0
0.408235,0,0,0,0,0,0,0,0
0.409652,0,0,0,0,0,0,0,0
0.410946,0,0,0,0,0,0,0,0
0.412350,0,0,0,0,0,0,0,0
0.413756,0,0,0,0,0,0,0,0
0.415160,0,0,0,0,0,0,0,0
0.416563,0,0,0,0,0,0,0,0
0.418057,0,0,0,0,0,0,0,0
0.419463,0,0,0,0,0,0,0,0
0.420941,0,0,0,0,0,0,0,0
0.422382,0,0,0,0,0,0,0,0
0.423819,0,0,0,0,0,0,0,0
0.425228,0,0,0,0,0,0,0,0
0.426635,0,0,0,0,0,0,0,0
0.428092,0,0,0,0,0,0,0,0
0.429499,0,0,0,0,0,0,0,0
0.430906,0,0,0,0,0,0,0,0
0.432310,0,0,0,0,0,0,0,0
0.433720,0,0,0,0,0,0,0,0
0.435195,0,0,0,0,0,0,0,0
0.436638,0,0,0,0,0,0,0,0
0.438054,0,0,0,0,0,0,0,0
0.439456,0,0,0,0,0,0,0,0
0.440965,0,0,0,0,0,0,0,0
0.442426,0,0,0,0,0,0,0,0
0.443877,0,0,0,0,0,0,0,0
0.445311,0,0,0,0,0,0,0,0
0.446712,0,0,0,0,0,0,0,0
0.448157,0,0,0,0,0,0,0,0
0.449649,0,0,0,0,0,0,0,0
0.451050,0,0,0,0,0,0,0,0
0.452452,0,0,0,0,0,0,0,0
0.453864,0,0,0,0,0,0,0,0
0.455265,0,0,0,0,0,0,0,0
0.456667,0,0,0,0,0,0,0,0
0.458102,0,0,0,0,0,0,0,0
0.459504,0,0,0,0,0,0,0,0
0.460956,0,0,0,0,0,0,0,0
0.462584,0,0,0,0,0,0,0,0
0.464128,0,0,0,0,0,0,0,0
0.465699,0,0,0,0,0,0,0,0
0.467270,0,0,0,0,0,0,0,0
0.468915,0,0,0,0,0,0,0,0
0.470549,0,0,0,0,0,0,0,0
0.472118,0,0,0,0,0,0,0,0
0.473690,0,0,0,0,0,0,0,0
0.475273,0,0,0,0,0,0,0,0
0.476847,0,0,0,0,0,0,0,0
0.478419,0,0,0,0,0,0,0,0
0.479988,0,0,0,0,0,0,0,0
0.481562,0,0,0,0,0,0,0,0
0.483135,0,0,0,0,0,0,0,0
0.484705,0,0,0,0,0,0,0,0
0.486196,0,0,0,0,0,0,0,0
0.487739,0,0,0,0,0,0,0,0
0.489350,0,0,0,0,0,0,0,0
0.490923,0,0,0,0,0,0,0,0
0.492535,0,0,0,0,0,0,0,0
0.494110,0,0,0,0,0,0,0,0
0.495680,0,0,0,0,0,0,0,0
0.497266,0,0,0,0,0,0,0,0
0.498838,0,0,0,0,0,0,0,0
0.500450,0,0,0,0,0,0,0,0
0.501892,0,0,0,0,0,0,0,0
0.503433,0,0,0,0,0,0,0,0
0.505006,0,0,0,0,0,0,0,0
0.506577,0,0,0,0,0,0,0,0
0.508201,0,0,0,0,0,0,0,0
0.512905,0,0,0,0,0,0,0,0
0.516387,0,0,0,0,0,0,0,0
0.517756,0,0,0,0,0,0,0,0
0.519111,0,0,0,0,0,0,0,0
0.520444,0,0,0,0,0,0,0,0
0.521778,0,0,0,0,0,0,0,0
0.523111,0,0,0,0,0,0,0,0
0.524457,0,0,0,0,0,0,0,0
0.526006,0,0,0,0,0,0,0,0
0.527577,0,0,0,0,0,0,0,0
0.529149,0,0,0,0,0,0,0,0
0.530607,0,0,0,0,0,0,0,0
0.532062,0,0,0,0,0,0,0,0
0.533473,0,0,0,0,0,0,0,0
0.534974,0,0,0,0,0,0,0,0
0.536388,0,0,0,0,0,0,0,0
0.537790,0,0,0,0,0,0,0,0
0.539190,0,0,0,0,0,0,0,0
0.540638,0,0,0,0,0,0,0,0
0.542071,0,0,0,0,0,0,0,0
0.543477,0,0,0,0,0,0,0,0
0.544889,0,0,0,0,0,0,0,0
0.546297,0,0,0,0,0,0,0,0
0.547698,0,0,0,0,0,0,0,0
0.549128,0,0,0,0,0,0,0,0
0.550501,0,0,0,0,0,0,0,0
0.551880,0,0,0,0,0,0,0,0
0.553254,0,0,0,0,0,0,0,0
0.554627,0,0,0,0,0,0,0,0
0.556034,0,0,0,0,0,0,0,0
0.557464,0,0,0,0,0,0,0,0
0.558890,0,0,0,0,0,0,0,0
0.560316,0,0,0,0,0,0,0,0
0.561742,0,0,0,0,0,0,0,0
0.563063,0,0,0,0,0,0,0,0
0.564503,0,0,0,0,0,0,0,0
0.565982,0,0,0,0,0,0,0,0
0.567385,0,0,0,0,0,0,0,0
0.568788,0,0,0,0,0,0,0,0
0.570167,0,0,0,0,0,0,0,0
0.571573,0,0,0,0,0,0,0,0
0.573118,0,0,0,0,0,0,0,0
0.575277,0,0,0,0,0,0,0,0
0.576897,0,0,0,0,0,0,0,0
0.578332,0,0,0,0,0,0,0,0
0.579798,0,0,0,0,0,0,0,0
0.581944,0,0,0,0,0,0,0,0
0.583384,0,0,0,0,0,0,0,0
0.584789,0,0,0,0,0,0,0,0
0.586332,0,0,0,0,0,0,0,0
0.587740,0,0,0,0,0,0,0,0
0.589156,0,0,0,0,0,0,0,0
0.590550,0,0,0,0,0,0,0,0
0.592017,0,0,0,0,0,0,0,0
0.593400,0,0,0,0,0,0,0,0
0.594826,0,0,0,0,0,0,0,0
0.596274,0,0,0,0,0,0,0,0
0.597669,0,0,0,0,0,0,0,0
0.599077,0,0,0,0,0,0,0,0
0.600484,0,0,0,0,0,0,0,0
0.601891,0,0,0,0,0,0,0,0
0.603444,0,0,0,0,0,0,0,0
0.605043,0,0,0,0,0,0,0,0
0.608691,0,0,0,0,0,0,0,0
0.610268,0,0,0,0,0,0,0,0
0.611670,0,0,0,0,0,0,0,0
0.613137,0,0,0,0,0,0,0,0
0.614884,0,0,0,0,0,0,0,0
0.616313,0,0,0,0,0,0,0,0
0.617711,0,0,0,0,0,0,0,0
0.619127,0,0,0,0,0,0,0,0
0.620567,0,0,0,0,0,0,0,0
0.622076,0,0,0,0,0,0,0,0
0.623477,0,0,0,0,0,0,0,0
0.624913,0,0,0,0,0,0,0,0
0.626317,0,0,0,0,0,0,0,0
0.627716,0,0,0,0,0,0,0,0
0.629165,0,0,0,0,0,0,0,0
0.630566,0,0,0,0,0,0,0,0
0.631967,0,0,0,0,0,0,0,0
0.633370,0,0,0,0,0,0,0,0
0.634776,0,0,0,0,0,0,0,0
0.636396,0,0,0,0,0,0,0,0
0.637966,0,0,0,0,0,0,0,0
0.639551,0,0,0,0,0,0,0,0
0.641124,0,0,0,0,0,0,0,0
0.642695,0,0,0,0,0,0,0,0
0.644312,0,0,0,0,0,0,0,0
0.645882,0,0,0,0,0,0,0,0
0.647463,0,0,0,0,0,0,0,0
0.649011,0,0,0,0,0,0,0,0
0.650451,0,0,0,0,0,0,0,0
0.651907,0,0,0,0,0,0,0,0
0.653319,0,0,0,0,0,0,0,0
0.654728,0,0,0,0,0,0,0,0
0.656137,0,0,0,0,0,0,0,0
0.657757,0,0,0,0,0,0,0,0
0.659329,0,0,0,0,0,0,0,0
0.660918,0,0,0,0,0,0,0,0
0.662488,0,0,0,0,0,0,0,0
0.664059,0,0,0,0,0,0,0,0
0.665635,0,0,0,0,0,0,0,0
0.667209,0,0,0,0,0,0,0,0
0.668783,0,0,0,0,0,0,0,0
0.670223,0,0,0,0,0,0,0,0
0.671646,0,0,0,0,0,0,0,0
0.673188,0,0,0,0,0,0,0,0
0.674762,0,0,0,0,0,0,0,0
0.676376,0,0,0,0,0,0,0,0
0.677950,0,0,0,0,0,0,0,0
0.679524,0,0,0,0,0,0,0,0
0.681098,0,0,0,0,0,0,0,0
0.682684,0,0,0,0,0,0,0,0
0.684298,0,0,0,0,0,0,0,0
0.685871,0,0,0,0,0,0,0,0
0.687444,0,0,0,0,0,0,0,0
0.689021,0,0,0,0,0,0,0,0
0.690586,0,0,0,0,0,0,0,0
0.692190,0,0,0,0,0,0,0,0
0.693643,0,0,0,0,0,0,0,0
0.695185,0,0,0,0,0,0,0,0
0.696756,0,0,0,0,0,0,0,0
0.698334,0,0,0,0,0,0,0,0
0.699945,0,0,0,0,0,0,0,0
0.701520,0,0,0,0,0,0,0,0
0.703092,0,0,0,0,0,0,0,0
0.704550,0,0,0,0,0,0,0,0
0.706182,0,0,0,0,0,0,0,0
0.707750,0,0,0,0,0,0,0,0
0.709550,0,0,0,0,0,0,0,0
0.710979,0,0,0,0,0,0,0,0
0.712384,0,0,0,0,0,0,0,0
0.713788,0,0,0,0,0,0,0,0
0.715198,0,0,0,0,0,0,0,0
0.716650,0,0,0,0,0,0,0,0
0.718042,0,0,0,0,0,0,0,0
0.719422,0,0,0,0,0,0,0,0
0.720801,0,0,0,0,0,0,0,0
0.722177,0,0,0,0,0,0,0,0
0.723550,0,0,0,0,0,0,0,0
0.724973,0,0,0,0,0,0,0,0
0.726362,0,0,0,0,0,0,0,0
0.727721,0,0,0,0,0,0,0,0
0.729079,0,0,0,0,0,0,0,0
0.730437,0,0,0,0,0,0,0,0
0.731823,0,0,0,0,0,0,0,0
0.733249,0,0,0,0,0,0,0,0
0.734674,0,0,0,0,0,0,0,0
0.735993,0,0,0,0,0,0,0,0
0.737427,0,0,0,0,0,0,0,0
0.738852,0,0,0,0,0,0,0,0
0.740298,0,0,0,0,0,0,0,0
0.741746,0,0,0,0,0,0,0,0
0.743157,0,0,0,0,0,0,0,0
0.744570,0,0,0,0,0,0,0,0
0.745992,0,0,0,0,0,0,0,0
0.747397,0,0,0,0,0,0,0,0
0.748887,0,0,0,0,0,0,0,0
0.750291,0,0,0,0,0,0,0,0
0.751794,0,0,0,0,0,0,0,0
0.753247,0,0,0,0,0,0,0,0
0.754669,0,0,0,0,0,0,0,0
0.756121,0,0,0,0,0,0,0,0
0.757528,0,0,0,0,0,0,0,0
0.758944,0,0,0,0,0,0,0,0
0.760364,0,0,0,0,0,0,0,0
0.762337,0,0,0,0,0,0,0,0
0.764555,0,0,0,0,0,0,0,0
0.766017,0,0,0,0,0,0,0,0
0.767420,0,0,0,0,0,0,0,0
0.768877,0,0,0,0,0,0,0,0
0.770290,0,0,0,0,0,0,0,0
0.771726,0,0,0,0,0,0,0,0
0.773236,0,0,0,0,0,0,0,0
0.774644,0,0,0,0,0,0,0,0
0.776050,0,0,0,0,0,0,0,0
0.777456,0,0,0,0,0,0,0,0
0.778862,0,0,0,0,0,0,0,0
0.780266,0,0,0,0,0,0,0,0
0.781684,0,0,0,0,0,0,0,0
0.783082,0,0,0,0,0,0,0,0
0.785331,0,0,0,0,0,0,0,0
0.786783,0,0,0,0,0,0,0,0
0.788182,0,0,0,0,0,0,0,0
0.789585,0,0,0,0,0,0,0,0
0.790987,0,0,0,0,0,0,0,0
0.792397,0,0,0,0,0,0,0,0
0.793798,0,0,0,0,0,0,0,0
0.795199,0,0,0,0,0,0,0,0
0.796642,0,0,0,0,0,0,0,0
0.798080,0,0,0,0,0,0,0,0
0.799507,0,0,0,0,0,0,0,0
0.800915,0,0,0,0,0,0,0,0
0.802316,0,0,0,0,0,0,0,0
0.803725,0,0,0,0,0,0,0,0
0.805164,0,0,0,0,0,0,0,0
0.806569,0,0,0,0,0,0,0,0
0.807976,0,0,0,0,0,0,0,0
0.809386,0,0,0,0,0,0,0,0
0.810786,0,0,0,0,0,0,0,0
0.812186,0,0,0,0,0,0,0,0
0.813584,0,0,0,0,0,0,0,0
0.814993,0,0,0,0,0,0,0,0
0.816418,0,0,0,0,0,0,0,0
0.818294,0,0,0,0,0,0,0,0
0.819878,0,0,0,0,0,0,0,0
0.821285,0,0,0,0,0,0,0,0
0.822696,0,0,0,0,0,0,0,0
0.824100,0,0,0,0,0,0,0,0
0.825512,0,0,0,0,0,0,0,0
0.826914,0,0,0,0,0,0,0,0
0.828348,0,0,0,0,0,0,0,0
0.829749,0,0,0,0,0,0,0,0
0.831162,0,0,0,0,0,0,0,0
0.832717,0,0,0,0,0,0,0,0
0.834376,0,0,0,0,0,0,0,0
0.836003,0,0,0,0,0,0,0,0
0.837579,0,0,0,0,0,0,0,0
0.839144,0,0,0,0,0,0,0,0
0.840707,0,0,0,0,0,0,0,0
0.842133,0,0,0,0,0,0,0,0
0.843667,0,0,0,0,0,0,0,0
0.845151,0,0,0,0,0,0,0,0
0.846702,0,0,0,0,0,0,0,0
0.848327,0,0,0,0,0,0,0,0
0.849833,0,0,0,0,0,0,0,0
0.851246,0,0,0,0,0,0,0,0
0.852693,0,0,0,0,0,0,0,0
0.854116,0,0,0,0,0,0,0,0
0.855731,0,0,0,0,0,0,0,0
0.857157,0,0,0,0,0,0,0,0
0.858567,0,0,0,0,0,0,0,0
0.860011,0,0,0,0,0,0,0,0
0.861423,0,0,0,0,0,0,0,0
0.862824,0,0,0,0,0,0,0,0
0.864225,0,0,0,0,0,0,0,0
0.865628,0,0,0,0,0,0,0,0
0.867164,0,0,0,0,0,0,0,0
0.868624,0,0,0,0,0,0,0,0
0.870171,0,0,0,0,0,0,0,0
0.871741,0,0,0,0,0,0,0,0
0.873317,0,0,0,0,0,0,0,0
0.874891,0,0,0,0,0,0,0,0
0.876504,0,0,0,0,0,0,0,0
0.878165,0,0,0,0,0,0,0,0
0.879749,0,0,0,0,0,0,0,0
0.881322,0,0,0,0,0,0,0,0
0.882895,0,0,0,0,0,0,0,0
0.884509,0,0,0,0,0,0,0,0
0.886044,0,0,0,0,0,0,0,0
0.887586,0,0,0,0,0,0,0,0
0.889161,0,0,0,0,0,0,0,0
0.890747,0,0,0,0,0,0,0,0
0.892360,0,0,0,0,0,0,0,0
0.893933,0,0,0,0,0,0,0,0
0.895507,0,0,0,0,0,0,0,0
0.897083,0,0,0,0,0,0,0,0
0.898648,0,0,0,0,0,0,0,0
0.900253,0,0,0,0,0,0,0,0
0.901705,0,0,0,0,0,0,0,0
0.903247,0,0,0,0,0,0,0,0
0.904873,0,0,0,0,0,0,0,0
0.906443,0,0,0,0,0,0,0,0
0.908055,0,0,0,0,0,0,0,0
0.909628,0,0,0,0,0,0,0,0
0.911201,0,0,0,0,0,0,0,0
0.912782,0,0,0,0,0,0,0,0
0.914395,0,0,0,0,0,0,0,0
0.916006,0,0,0,0,0,0,0,0
0.917580,0,0,0,0,0,0,0,0
0.919151,0,0,0,0,0,0,0,0
0.920721,0,0,0,0,0,0,0,0
0.922296,0,0,0,0,0,0,0,0
0.923922,0,0,0,0,0,0,0,0
0.925496,0,0,0,0,0,0,0,0
0.927068,0,0,0,0,0,0,0,0
0.928636,0,0,0,0,0,0,0,0
0.930211,0,0,0,0,0,0,0,0
0.931824,0,0,0,0,0,0,0,0
0.933397,0,0,0,0,0,0,0,0
0.934984,0,0,0,0,0,0,0,0
0.936555,0,0,0,0,0,0,0,0
0.938130,0,0,0,0,0,0,0,0
0.939699,0,0,0,0,0,0,0,0
0.941317,0,0,0,0,0,0,0,0
0.942889,0,0,0,0,0,0,0,0
0.944458,0,0,0,0,0,0,0,0
0.945978,0,0,0,0,0,0,0,0
0.947520,0,0,0,0,0,0,0,0
0.949133,0,0,0,0,0,0,0,0
0.950577,0,0,0,0,0,0,0,0
0.951988,0,0,0,0,0,0,0,0
0.953399,0,0,0,0,0,0,0,0
0.954807,0,0,0,0,0,0,0,0
0.956271,0,0,0,0,0,0,0,0
0.957680,0,0,0,0,0,0,0,0
0.959214,0,0,0,0,0,0,0,0
0.960784,0,0,0,0,0,0,0,0
0.962399,0,0,0,0,0,0,0,0
0.964011,0,0,0,0,0,0,0,0
0.965584,0,0,0,0,0,0,0,0
0.967169,0,0,0,0,0,0,0,0
0.968738,0,0,0,0,0,0,0,0
0.970314,0,0,0,0,0,0,0,0
0.972264,0,0,0,0,0,0,0,0
0.973835,0,0,0,0,0,0,0,0
0.975407,0,0,0,0,0,0,0,0
0.976979,0,0,0,0,0,0,0,0
