elapsed_s,TP_2D_OUTPUT_PIXELS_BILINEAR,TP_2D_FILTER_WORKLOAD_16BIT,TP_2D_FILTER_WORKLOAD_32BIT,TP_TPA2TPC_TRANS,TP_L1_MISSES_ASTC_1TILE,TP_L1_MISSES_ASTC_2TILE,TP_L1_MISSES_ASTC_4TILE,TP_L1_5_COMPRESS_REQS,TP_L1_5_L2_COMPRESS_MISS,TP_L1_BANK_CONFLICT,TP_L1_5_MISS_LATENCY_CYCLES,TP_L1_5_MISS_LATENCY_TRANS
0.001149,0,0,0,0,0,0,0,0,0,0,0,0
0.002859,0,0,0,0,0,0,0,0,0,0,0,0
0.004518,0,0,0,0,0,0,0,0,0,0,0,0
0.006185,0,0,0,0,0,0,0,0,0,0,0,0
0.007789,0,0,0,0,0,0,0,0,0,0,0,0
0.009498,0,0,0,0,0,0,0,0,0,0,0,0
0.011132,0,0,0,0,0,0,0,0,0,0,0,0
0.012818,0,0,0,0,0,0,0,0,0,0,0,0
0.016585,0,0,0,0,0,0,0,0,0,0,0,0
0.019221,0,0,0,0,0,0,0,0,0,0,0,0
0.020853,0,0,0,0,0,0,0,0,0,0,0,0
0.022317,0,0,0,0,0,0,0,0,0,0,0,0
0.023828,0,0,0,0,0,0,0,0,0,0,0,0
0.025290,0,0,0,0,0,0,0,0,0,0,0,0
0.026751,0,0,0,0,0,0,0,0,0,0,0,0
0.028211,0,0,0,0,0,0,0,0,0,0,0,0
0.029668,0,0,0,0,0,0,0,0,0,0,0,0
0.031187,0,0,0,0,0,0,0,0,0,0,0,0
0.032698,0,0,0,0,0,0,0,0,0,0,0,0
0.034210,0,0,0,0,0,0,0,0,0,0,0,0
0.035724,0,0,0,0,0,0,0,0,0,0,0,0
0.037247,0,0,0,0,0,0,0,0,0,0,0,0
0.038690,0,0,0,0,0,0,0,0,0,0,0,0
0.040132,0,0,0,0,0,0,0,0,0,0,0,0
0.041580,0,0,0,0,0,0,0,0,0,0,0,0
0.043024,0,0,0,0,0,0,0,0,0,0,0,0
0.044468,0,0,0,0,0,0,0,0,0,0,0,0
0.045816,0,0,0,0,0,0,0,0,0,0,0,0
0.047260,0,0,0,0,0,0,0,0,0,0,0,0
0.048730,0,0,0,0,0,0,0,0,0,0,0,0
0.050301,0,0,0,0,0,0,0,0,0,0,0,0
0.051828,0,0,0,0,0,0,0,0,0,0,0,0
0.053236,0,0,0,0,0,0,0,0,0,0,0,0
0.054669,0,0,0,0,0,0,0,0,0,0,0,0
0.056075,0,0,0,0,0,0,0,0,0,0,0,0
0.057539,0,0,0,0,0,0,0,0,0,0,0,0
0.058989,0,0,0,0,0,0,0,0,0,0,0,0
0.060445,0,0,0,0,0,0,0,0,0,0,0,0
0.061835,0,0,0,0,0,0,0,0,0,0,0,0
0.063302,0,0,0,0,0,0,0,0,0,0,0,0
