elapsed_s,RAS_SAMPLE_MASK_GEN_LANE_3_WORKING_CC_L2,RAS_SAMPLE_MASK_GEN_LANE_4_WORKING_CC_L2,RAS_SAMPLE_MASK_GEN_LANE_5_WORKING_CC_L2,RAS_SAMPLE_MASK_GEN_LANE_6_WORKING_CC_L2
0.346802,0,0,0,0
0.348207,0,0,0,0
0.349567,0,0,0,0
0.350931,0,0,0,0
0.352315,0,0,0,0
0.353737,0,0,0,0
0.355108,0,0,0,0
0.356573,0,0,0,0
0.357984,0,0,0,0
0.359371,0,0,0,0
0.360768,0,0,0,0
0.362171,0,0,0,0
0.363617,0,0,0,0
0.365217,0,0,0,0
0.366607,0,0,0,0
0.367988,0,0,0,0
0.369367,0,0,0,0
0.370751,0,0,0,0
0.372175,0,0,0,0
0.373612,0,0,0,0
0.375019,0,0,0,0
0.376281,0,0,0,0
0.377667,0,0,0,0
0.379051,0,0,0,0
0.380452,0,0,0,0
0.381837,0,0,0,0
0.383220,0,0,0,0
0.385601,0,0,0,0
0.386982,0,0,0,0
0.388413,0,0,0,0
0.389834,0,0,0,0
0.391213,0,0,0,0
0.393873,0,0,0,0
0.395263,0,0,0,0
0.400451,0,0,0,0
0.401845,0,0,0,0
0.403357,0,0,0,0
0.404738,0,0,0,0
0.406138,0,0,0,0
0.407516,0,0,0,0
0.408898,0,0,0,0
0.410284,0,0,0,0
0.411668,0,0,0,0
0.413053,0,0,0,0
0.414435,0,0,0,0
0.415949,0,0,0,0
0.417435,0,0,0,0
0.418832,0,0,0,0
0.422665,0,0,0,0
0.424072,0,0,0,0
0.426035,0,0,0,0
0.427538,0,0,0,0
0.429155,0,0,0,0
0.430767,0,0,0,0
0.432833,0,0,0,0
0.434696,0,0,0,0
0.436225,0,0,0,0
0.437669,0,0,0,0
0.439057,0,0,0,0
0.440396,0,0,0,0
0.441766,0,0,0,0
0.443082,0,0,0,0
0.444392,0,0,0,0
0.445706,0,0,0,0
0.447018,0,0,0,0
0.448340,0,0,0,0
0.449652,0,0,0,0
0.450964,0,0,0,0
0.452295,0,0,0,0
0.453700,0,0,0,0
0.455217,0,0,0,0
0.456769,0,0,0,0
0.458310,0,0,0,0
0.459740,0,0,0,0
0.461129,0,0,0,0
0.462518,0,0,0,0
0.463905,0,0,0,0
0.465348,0,0,0,0
0.466733,0,0,0,0
0.468161,0,0,0,0
0.469677,0,0,0,0
0.471239,0,0,0,0
0.472792,0,0,0,0
0.474342,0,0,0,0
0.475891,0,0,0,0
0.477495,0,0,0,0
0.479044,0,0,0,0
0.480596,0,0,0,0
0.482158,0,0,0,0
0.483707,0,0,0,0
0.485302,0,0,0,0
0.486851,0,0,0,0
0.488403,0,0,0,0
