elapsed_s,TSE_FE_OUTPUT_VISIBLE_PRIM,TSE_FE_CINVOCATION,TSE_FE_CPRIMITIVES,TSE_FE_CLIP_PLANES
0.001106,0,0,0,0
0.002557,0,0,0,0
0.004007,0,0,0,0
0.005471,0,0,0,0
0.006885,0,0,0,0
0.008299,0,0,0,0
0.009736,0,0,0,0
0.011151,0,0,0,0
0.012630,0,0,0,0
0.014025,0,0,0,0
0.015417,0,0,0,0
0.017016,0,0,0,0
0.018435,0,0,0,0
0.019803,0,0,0,0
0.021190,0,0,0,0
0.022540,0,0,0,0
0.023894,0,0,0,0
0.025248,0,0,0,0
0.026596,0,0,0,0
0.027944,0,0,0,0
0.029329,0,0,0,0
0.030630,0,0,0,0
0.031922,0,0,0,0
0.033190,0,0,0,0
0.034447,0,0,0,0
0.035812,0,0,0,0
0.037143,0,0,0,0
0.038399,0,0,0,0
0.039764,0,0,0,0
0.041121,0,0,0,0
0.042461,0,0,0,0
0.043805,0,0,0,0
0.046009,0,0,0,0
0.047424,0,0,0,0
0.048813,0,0,0,0
0.050214,0,0,0,0
0.051622,0,0,0,0
0.053181,0,0,0,0
0.054579,0,0,0,0
0.055970,0,0,0,0
0.057361,0,0,0,0
0.058745,0,0,0,0
0.060186,0,0,0,0
0.061628,0,0,0,0
0.063020,0,0,0,0
0.064405,0,0,0,0
0.065788,0,0,0,0
0.067170,0,0,0,0
0.070341,0,0,0,0
0.071849,0,0,0,0
0.073065,0,0,0,0
0.074304,0,0,0,0
0.075543,0,0,0,0
0.076911,0,0,0,0
0.078153,0,0,0,0
0.079354,0,0,0,0
0.080599,0,0,0,0
0.081795,0,0,0,0
0.082989,0,0,0,0
0.084186,0,0,0,0
0.085460,0,0,0,0
0.087112,0,0,0,0
0.088518,0,0,0,0
0.089905,0,0,0,0
0.091291,0,0,0,0
0.092723,0,0,0,0
0.094108,0,0,0,0
0.095723,0,0,0,0
0.097636,0,0,0,0
0.099021,0,0,0,0
0.101552,0,0,0,0
0.103032,0,0,0,0
0.104857,0,0,0,0
0.107921,0,0,0,0
0.109330,0,0,0,0
0.110676,0,0,0,0
0.111993,0,0,0,0
0.113308,0,0,0,0
0.114627,0,0,0,0
0.115937,0,0,0,0
0.117263,0,0,0,0
0.118645,0,0,0,0
0.120146,0,0,0,0
0.121567,0,0,0,0
0.122945,0,0,0,0
0.124363,0,0,0,0
0.125864,0,0,0,0
0.127242,0,0,0,0
0.128632,0,0,0,0
0.130018,0,0,0,0
0.131414,0,0,0,0
0.132836,0,0,0,0
0.134222,0,0,0,0
0.135609,0,0,0,0
0.136998,0,0,0,0
0.138384,0,0,0,0
0.139770,0,0,0,0
0.141287,0,0,0,0
0.142850,0,0,0,0
0.144403,0,0,0,0
0.145954,0,0,0,0
0.147504,0,0,0,0
0.148968,0,0,0,0
0.150479,0,0,0,0
0.152090,0,0,0,0
0.153657,0,0,0,0
0.155207,0,0,0,0
0.156801,0,0,0,0
0.158353,0,0,0,0
0.159905,0,0,0,0
0.161456,0,0,0,0
0.163006,0,0,0,0
0.164492,0,0,0,0
0.166014,0,0,0,0
0.167564,0,0,0,0
0.169065,0,0,0,0
0.170585,0,0,0,0
0.172136,0,0,0,0
0.173732,0,0,0,0
0.175296,0,0,0,0
0.176847,0,0,0,0
0.178398,0,0,0,0
0.179950,0,0,0,0
0.181502,0,0,0,0
0.183052,0,0,0,0
0.184499,0,0,0,0
0.186060,0,0,0,0
0.187609,0,0,0,0
0.189165,0,0,0,0
0.190715,0,0,0,0
0.192267,0,0,0,0
0.193818,0,0,0,0
0.195367,0,0,0,0
0.196976,0,0,0,0
0.198528,0,0,0,0
0.200081,0,0,0,0
0.201632,0,0,0,0
0.203181,0,0,0,0
0.204775,0,0,0,0
0.206327,0,0,0,0
0.207980,0,0,0,0
0.209595,0,0,0,0
0.211145,0,0,0,0
0.212737,0,0,0,0
0.214285,0,0,0,0
0.215834,0,0,0,0
0.217429,0,0,0,0
0.219050,0,0,0,0
0.220542,0,0,0,0
0.221945,0,0,0,0
0.223334,0,0,0,0
0.224723,0,0,0,0
0.226111,0,0,0,0
0.227497,0,0,0,0
0.229247,0,0,0,0
0.230801,0,0,0,0
0.232354,0,0,0,0
0.233906,0,0,0,0
0.235455,0,0,0,0
0.237050,0,0,0,0
0.238601,0,0,0,0
0.240169,0,0,0,0
0.241719,0,0,0,0
0.243268,0,0,0,0
0.244862,0,0,0,0
0.246415,0,0,0,0
0.247968,0,0,0,0
0.249519,0,0,0,0
0.251082,0,0,0,0
0.252679,0,0,0,0
0.254221,0,0,0,0
0.255761,0,0,0,0
0.257311,0,0,0,0
0.258829,0,0,0,0
0.260427,0,0,0,0
0.261992,0,0,0,0
0.263542,0,0,0,0
0.265154,0,0,0,0
0.266704,0,0,0,0
0.268257,0,0,0,0
0.269808,0,0,0,0
0.271358,0,0,0,0
0.272923,0,0,0,0
0.274475,0,0,0,0
0.276029,0,0,0,0
0.277625,0,0,0,0
0.279175,0,0,0,0
0.280728,0,0,0,0
0.282280,0,0,0,0
0.283719,0,0,0,0
0.285266,0,0,0,0
0.286816,0,0,0,0
0.288369,0,0,0,0
0.289920,0,0,0,0
0.291470,0,0,0,0
0.293064,0,0,0,0
0.294629,0,0,0,0
0.296182,0,0,0,0
0.297734,0,0,0,0
0.299283,0,0,0,0
0.300711,0,0,0,0
0.302232,0,0,0,0
0.303783,0,0,0,0
0.305351,0,0,0,0
0.306902,0,0,0,0
0.308498,0,0,0,0
0.310050,0,0,0,0
0.311599,0,0,0,0
0.313154,0,0,0,0
0.314703,0,0,0,0
0.316269,0,0,0,0
0.317820,0,0,0,0
0.319370,0,0,0,0
0.320921,0,0,0,0
0.322473,0,0,0,0
0.324025,0,0,0,0
0.325620,0,0,0,0
0.327185,0,0,0,0
0.328738,0,0,0,0
0.330289,0,0,0,0
0.331839,0,0,0,0
0.333437,0,0,0,0
0.334986,0,0,0,0
0.336540,0,0,0,0
0.338105,0,0,0,0
0.339655,0,0,0,0
0.341212,0,0,0,0
0.342762,0,0,0,0
0.344315,0,0,0,0
0.345867,0,0,0,0
0.347417,0,0,0,0
0.348894,0,0,0,0
0.350416,0,0,0,0
0.351970,0,0,0,0
0.353522,0,0,0,0
0.355070,0,0,0,0
0.356666,0,0,0,0
0.358209,0,0,0,0
0.359763,0,0,0,0
0.361358,0,0,0,0
0.362898,0,0,0,0
0.364407,0,0,0,0
0.365926,0,0,0,0
0.367475,0,0,0,0
0.369023,0,0,0,0
0.370587,0,0,0,0
0.372137,0,0,0,0
0.373730,0,0,0,0
0.375278,0,0,0,0
0.376826,0,0,0,0
0.378376,0,0,0,0
0.379927,0,0,0,0
0.381530,0,0,0,0
0.383079,0,0,0,0
0.384630,0,0,0,0
0.386180,0,0,0,0
0.387727,0,0,0,0
0.389281,0,0,0,0
0.390829,0,0,0,0
0.392392,0,0,0,0
0.393942,0,0,0,0
0.395491,0,0,0,0
0.397084,0,0,0,0
0.398635,0,0,0,0
0.400186,0,0,0,0
0.401736,0,0,0,0
0.403296,0,0,0,0
0.404889,0,0,0,0
0.406439,0,0,0,0
0.407990,0,0,0,0
0.409541,0,0,0,0
0.411089,0,0,0,0
0.412683,0,0,0,0
0.414245,0,0,0,0
0.415793,0,0,0,0
0.417345,0,0,0,0
0.418891,0,0,0,0
0.420364,0,0,0,0
0.421889,0,0,0,0
0.423437,0,0,0,0
0.425000,0,0,0,0
0.426549,0,0,0,0
0.428101,0,0,0,0
0.429696,0,0,0,0
0.431244,0,0,0,0
0.432793,0,0,0,0
0.434343,0,0,0,0
0.435907,0,0,0,0
0.437457,0,0,0,0
0.439006,0,0,0,0
0.440558,0,0,0,0
0.442108,0,0,0,0
0.443656,0,0,0,0
0.445211,0,0,0,0
0.446773,0,0,0,0
0.448324,0,0,0,0
0.449872,0,0,0,0
0.451431,0,0,0,0
0.453160,0,0,0,0
0.454564,0,0,0,0
0.455956,0,0,0,0
0.457349,0,0,0,0
0.458731,0,0,0,0
0.460111,0,0,0,0
0.461619,0,0,0,0
0.463159,0,0,0,0
0.464579,0,0,0,0
0.466097,0,0,0,0
0.467660,0,0,0,0
0.469214,0,0,0,0
0.470763,0,0,0,0
0.472314,0,0,0,0
0.473863,0,0,0,0
0.475411,0,0,0,0
0.477002,0,0,0,0
0.478567,0,0,0,0
0.480118,0,0,0,0
0.481667,0,0,0,0
0.483214,0,0,0,0
0.484807,0,0,0,0
0.486357,0,0,0,0
0.487907,0,0,0,0
0.489472,0,0,0,0
0.491020,0,0,0,0
0.492614,0,0,0,0
0.494164,0,0,0,0
0.495725,0,0,0,0
0.497220,0,0,0,0
0.498618,0,0,0,0
0.500146,0,0,0,0
0.501741,0,0,0,0
