elapsed_s,TSE_FE_BR_STALLS_DUETO_BV_CLIP,TSE_FE_BR_STALLS_DUETO_BV_POLY,TSE_FE_BV_STALLS_DUETO_BR_CLIP,TSE_FE_BV_STALLS_DUETO_BR_POLY
0.349262,0,0,0,0
0.350689,0,0,0,0
0.352203,0,0,0,0
0.353757,0,0,0,0
0.355368,0,0,0,0
0.356919,0,0,0,0
0.358476,0,0,0,0
0.360028,0,0,0,0
0.361581,0,0,0,0
0.363132,0,0,0,0
0.364682,0,0,0,0
0.366291,0,0,0,0
0.367843,0,0,0,0
0.369395,0,0,0,0
0.370946,0,0,0,0
0.372496,0,0,0,0
0.374091,0,0,0,0
0.375643,0,0,0,0
0.377209,0,0,0,0
0.378760,0,0,0,0
0.380310,0,0,0,0
0.381907,0,0,0,0
0.383459,0,0,0,0
0.385009,0,0,0,0
0.386565,0,0,0,0
0.388129,0,0,0,0
0.389725,0,0,0,0
0.391277,0,0,0,0
0.392827,0,0,0,0
0.394340,0,0,0,0
0.395860,0,0,0,0
0.397412,0,0,0,0
0.399021,0,0,0,0
0.400570,0,0,0,0
0.402121,0,0,0,0
0.403671,0,0,0,0
0.405222,0,0,0,0
0.406817,0,0,0,0
0.408365,0,0,0,0
0.409929,0,0,0,0
0.411478,0,0,0,0
0.413026,0,0,0,0
0.414582,0,0,0,0
0.416130,0,0,0,0
0.417681,0,0,0,0
0.419232,0,0,0,0
0.420794,0,0,0,0
0.422405,0,0,0,0
0.423955,0,0,0,0
0.425507,0,0,0,0
0.427056,0,0,0,0
0.428604,0,0,0,0
0.430197,0,0,0,0
0.431761,0,0,0,0
0.433312,0,0,0,0
0.434862,0,0,0,0
0.436411,0,0,0,0
0.438007,0,0,0,0
0.439557,0,0,0,0
0.441105,0,0,0,0
0.442749,0,0,0,0
0.444155,0,0,0,0
0.445588,0,0,0,0
0.446976,0,0,0,0
0.448361,0,0,0,0
0.449748,0,0,0,0
0.451322,0,0,0,0
0.452891,0,0,0,0
0.454446,0,0,0,0
0.455995,0,0,0,0
0.457547,0,0,0,0
0.459096,0,0,0,0
0.460646,0,0,0,0
0.462239,0,0,0,0
0.463804,0,0,0,0
0.465356,0,0,0,0
0.466906,0,0,0,0
0.468454,0,0,0,0
0.469998,0,0,0,0
0.471530,0,0,0,0
0.473080,0,0,0,0
0.474686,0,0,0,0
0.476236,0,0,0,0
0.477833,0,0,0,0
0.479384,0,0,0,0
0.480934,0,0,0,0
0.482488,0,0,0,0
0.484038,0,0,0,0
0.485648,0,0,0,0
0.487200,0,0,0,0
0.488749,0,0,0,0
0.490301,0,0,0,0
0.491852,0,0,0,0
0.493405,0,0,0,0
0.495001,0,0,0,0
0.496565,0,0,0,0
0.498116,0,0,0,0
0.499657,0,0,0,0
0.501262,0,0,0,0
0.502800,0,0,0,0
0.504222,0,0,0,0
0.505614,0,0,0,0
0.507012,0,0,0,0
0.508399,0,0,0,0
0.509823,0,0,0,0
0.511392,0,0,0,0
0.512943,0,0,0,0
0.514497,0,0,0,0
0.516046,0,0,0,0
0.517657,0,0,0,0
0.519209,0,0,0,0
0.520759,0,0,0,0
0.522182,0,0,0,0
0.523702,0,0,0,0
0.525254,0,0,0,0
0.526849,0,0,0,0
0.528413,0,0,0,0
0.529967,0,0,0,0
0.531508,0,0,0,0
0.533049,0,0,0,0
0.534570,0,0,0,0
0.535961,0,0,0,0
0.537486,0,0,0,0
0.539049,0,0,0,0
0.540597,0,0,0,0
0.542194,0,0,0,0
0.543743,0,0,0,0
0.545294,0,0,0,0
0.546843,0,0,0,0
0.548390,0,0,0,0
0.549997,0,0,0,0
0.551547,0,0,0,0
0.553094,0,0,0,0
0.554556,0,0,0,0
0.555948,0,0,0,0
0.557337,0,0,0,0
0.558765,0,0,0,0
0.560160,0,0,0,0
0.561547,0,0,0,0
0.562932,0,0,0,0
0.564444,0,0,0,0
0.566036,0,0,0,0
0.567586,0,0,0,0
0.569333,0,0,0,0
0.570772,0,0,0,0
0.572163,0,0,0,0
0.573594,0,0,0,0
0.574982,0,0,0,0
0.576366,0,0,0,0
0.577753,0,0,0,0
0.579261,0,0,0,0
0.580809,0,0,0,0
0.582437,0,0,0,0
0.583984,0,0,0,0
0.585536,0,0,0,0
0.587084,0,0,0,0
0.588632,0,0,0,0
0.590226,0,0,0,0
0.591775,0,0,0,0
0.593339,0,0,0,0
0.594889,0,0,0,0
0.596436,0,0,0,0
0.598030,0,0,0,0
0.599580,0,0,0,0
0.601211,0,0,0,0
0.602703,0,0,0,0
0.604104,0,0,0,0
0.605665,0,0,0,0
0.607096,0,0,0,0
0.608618,0,0,0,0
0.610167,0,0,0,0
0.611717,0,0,0,0
0.613268,0,0,0,0
0.614877,0,0,0,0
0.616427,0,0,0,0
0.617978,0,0,0,0
0.619529,0,0,0,0
0.621078,0,0,0,0
0.622674,0,0,0,0
0.624222,0,0,0,0
0.625788,0,0,0,0
0.627336,0,0,0,0
0.628885,0,0,0,0
0.630439,0,0,0,0
0.631988,0,0,0,0
0.633540,0,0,0,0
0.635090,0,0,0,0
0.636651,0,0,0,0
0.638244,0,0,0,0
0.639794,0,0,0,0
0.641345,0,0,0,0
0.642895,0,0,0,0
0.644443,0,0,0,0
0.646035,0,0,0,0
0.647600,0,0,0,0
0.649154,0,0,0,0
0.650703,0,0,0,0
0.652252,0,0,0,0
0.653846,0,0,0,0
0.655392,0,0,0,0
0.656937,0,0,0,0
0.658505,0,0,0,0
0.660051,0,0,0,0
0.661646,0,0,0,0
0.663195,0,0,0,0
0.664742,0,0,0,0
0.666292,0,0,0,0
0.667842,0,0,0,0
0.669282,0,0,0,0
0.670721,0,0,0,0
0.672239,0,0,0,0
0.673789,0,0,0,0
0.675350,0,0,0,0
0.676794,0,0,0,0
0.678232,0,0,0,0
0.679763,0,0,0,0
0.681316,0,0,0,0
0.682867,0,0,0,0
0.684418,0,0,0,0
0.686013,0,0,0,0
0.687565,0,0,0,0
0.689116,0,0,0,0
0.690616,0,0,0,0
0.692008,0,0,0,0
0.693525,0,0,0,0
0.695076,0,0,0,0
0.696626,0,0,0,0
0.698177,0,0,0,0
0.699726,0,0,0,0
0.701294,0,0,0,0
0.702888,0,0,0,0
0.704437,0,0,0,0
0.705987,0,0,0,0
0.707539,0,0,0,0
0.709088,0,0,0,0
0.710688,0,0,0,0
0.712251,0,0,0,0
0.713804,0,0,0,0
0.715354,0,0,0,0
0.716904,0,0,0,0
0.718460,0,0,0,0
0.720010,0,0,0,0
0.721562,0,0,0,0
0.723127,0,0,0,0
0.724676,0,0,0,0
