elapsed_s,HLSQ_BV_STALL_CYCLES,HLSQ_VSBR_DEREF_CYCLES,HLSQ_FS_DEREF_CYCLES,HLSQ_LPAC_DEREF_CYCLES,HLSQ_BV_DEREF_CYCLES,HLSQ_VSBR_S2W_CYCLES
0.001094,0,0,0,0,0,0
0.002622,0,0,0,0,0,0
0.004046,0,0,0,0,0,0
0.005576,0,0,0,0,0,0
0.007079,0,0,0,0,0,0
0.008514,0,0,0,0,0,0
0.009957,0,0,0,0,0,0
0.011392,0,0,0,0,0,0
0.013063,0,0,0,0,0,0
0.014499,0,0,0,0,0,0
0.015934,0,0,0,0,0,0
0.017400,0,0,0,0,0,0
0.018920,0,0,0,0,0,0
0.020336,0,0,0,0,0,0
0.021730,0,0,0,0,0,0
0.023215,0,0,0,0,0,0
0.024629,0,0,0,0,0,0
0.026065,0,0,0,0,0,0
0.027507,0,0,0,0,0,0
0.028901,0,0,0,0,0,0
0.030334,0,0,0,0,0,0
0.031784,0,0,0,0,0,0
0.033170,0,0,0,0,0,0
0.034604,0,0,0,0,0,0
0.035990,0,0,0,0,0,0
0.037428,0,0,0,0,0,0
0.038896,0,0,0,0,0,0
0.040260,0,0,0,0,0,0
0.041624,0,0,0,0,0,0
0.043032,0,0,0,0,0,0
0.044399,0,0,0,0,0,0
0.045764,0,0,0,0,0,0
0.047151,0,0,0,0,0,0
0.048518,0,0,0,0,0,0
0.049884,0,0,0,0,0,0
0.051310,0,0,0,0,0,0
0.052694,0,0,0,0,0,0
0.054194,0,0,0,0,0,0
0.055596,0,0,0,0,0,0
0.057094,0,0,0,0,0,0
0.058477,0,0,0,0,0,0
0.059889,0,0,0,0,0,0
0.061272,0,0,0,0,0,0
0.062655,0,0,0,0,0,0
0.064067,0,0,0,0,0,0
0.065448,0,0,0,0,0,0
0.066972,0,0,0,0,0,0
0.068343,0,0,0,0,0,0
0.069714,0,0,0,0,0,0
0.071086,0,0,0,0,0,0
0.072535,0,0,0,0,0,0
0.073890,0,0,0,0,0,0
0.075496,0,0,0,0,0,0
0.076876,0,0,0,0,0,0
0.078296,0,0,0,0,0,0
0.079669,0,0,0,0,0,0
0.081022,0,0,0,0,0,0
0.082430,0,0,0,0,0,0
0.083785,0,0,0,0,0,0
0.085137,0,0,0,0,0,0
0.086544,2,44,53,0,8,0
0.087970,0,0,0,0,0,0
0.089379,0,0,0,0,0,0
0.090777,0,0,0,0,0,0
0.092174,0,0,0,0,0,0
0.093571,0,0,0,0,0,0
0.095048,0,0,0,0,0,0
0.096446,0,0,0,0,0,0
0.097982,12,48,299,0,36,0
0.099574,0,178,169,0,0,0
0.100828,0,156,156,0,0,0
0.102081,0,168,168,0,0,0
0.103332,0,156,156,0,0,0
0.104581,0,156,156,0,0,0
0.108800,0,552,552,0,0,0
0.110212,0,180,180,0,0,0
0.111463,0,156,156,0,0,0
0.112714,0,156,156,0,0,0
0.113990,0,168,168,0,0,0
0.115246,0,156,156,0,0,0
0.116498,0,168,168,0,0,0
0.117753,0,168,168,0,0,0
0.119075,0,156,156,0,0,0
0.120329,0,168,168,0,0,0
0.121582,0,156,156,0,0,0
0.122839,0,92,96,0,0,0
0.124233,0,0,0,0,0,0
0.125653,0,0,0,0,0,0
0.127166,0,0,0,0,0,0
0.128543,0,0,0,0,0,0
0.129904,0,0,0,0,0,0
0.131262,0,0,0,0,0,0
0.132618,0,0,0,0,0,0
0.133992,0,0,0,0,0,0
0.135408,0,0,0,0,0,0
0.136754,0,0,0,0,0,0
0.138102,0,0,0,0,0,0
0.139526,0,0,0,0,0,0
0.140871,0,0,0,0,0,0
0.142222,0,0,0,0,0,0
0.143567,0,0,0,0,0,0
0.144931,0,0,0,0,0,0
0.146280,0,0,0,0,0,0
0.147628,0,0,0,0,0,0
0.148977,0,0,0,0,0,0
0.150449,0,0,0,0,0,0
0.152015,0,0,0,0,0,0
0.153836,0,0,0,0,0,0
0.155407,0,0,0,0,0,0
0.156958,0,0,0,0,0,0
0.158386,0,0,0,0,0,0
0.159906,0,0,0,0,0,0
0.161515,0,0,0,0,0,0
0.162998,0,0,0,0,0,0
0.164400,0,0,0,0,0,0
0.165810,0,0,0,0,0,0
0.167209,0,0,0,0,0,0
0.169808,0,0,0,0,0,0
