elapsed_s,TSE_REG_PROGRAMMING_ONLY_CYCLE_L0,TSE_COMMON_RAM_WORKING_CYCLE_L2,TSE_COMMON_RAM_RD_WORKING_CYCLE_L3,TSE_COMMON_RAM_WR_WORKING_CYCLE_L3
0.001105,0,0,0,0
0.002508,0,0,0,0
0.003967,0,0,0,0
0.005314,0,0,0,0
0.006705,0,0,0,0
0.008059,0,0,0,0
0.009418,0,0,0,0
0.010826,0,0,0,0
0.012238,0,0,0,0
0.013640,0,0,0,0
0.015031,0,0,0,0
0.016412,0,0,0,0
0.017789,0,0,0,0
0.021257,0,0,0,0
0.022778,0,0,0,0
0.024829,0,0,0,0
0.026205,0,0,0,0
0.027581,0,0,0,0
0.028957,0,0,0,0
0.030379,0,0,0,0
0.031947,0,0,0,0
0.033261,0,0,0,0
0.034555,0,0,0,0
0.035849,0,0,0,0
0.037168,0,0,0,0
0.038461,0,0,0,0
0.039835,0,0,0,0
0.041172,0,0,0,0
0.042512,0,0,0,0
0.043864,0,0,0,0
0.045202,0,0,0,0
0.046609,0,0,0,0
0.048065,0,0,0,0
0.049429,0,0,0,0
0.050772,0,0,0,0
0.052115,0,0,0,0
0.053458,0,0,0,0
0.054836,0,0,0,0
0.056180,0,0,0,0
0.057520,0,0,0,0
0.058861,0,0,0,0
0.060202,0,0,0,0
0.061542,0,0,0,0
0.063233,0,0,0,0
0.064639,0,0,0,0
0.066045,0,0,0,0
0.067426,0,0,0,0
0.068812,0,0,0,0
0.070194,0,0,0,0
0.071578,0,0,0,0
0.073026,0,0,0,0
0.074368,0,0,0,0
0.075764,0,0,0,0
0.077160,0,0,0,0
0.078647,0,0,0,0
0.080058,0,0,0,0
0.081422,0,0,0,0
0.082773,0,0,0,0
0.084115,0,0,0,0
0.085453,0,0,0,0
0.086789,0,0,0,0
0.088144,0,0,0,0
0.089482,0,0,0,0
0.090819,0,0,0,0
0.092154,0,0,0,0
0.093489,0,0,0,0
0.094887,0,0,0,0
0.096224,0,0,0,0
0.097629,0,0,0,0
0.099072,0,0,0,0
0.100522,0,0,0,0
0.101943,0,0,0,0
0.103332,0,0,0,0
0.104712,0,0,0,0
0.106092,0,0,0,0
0.107472,0,0,0,0
0.108852,0,0,0,0
0.110359,0,0,0,0
0.111814,0,0,0,0
0.113198,0,0,0,0
0.114585,0,0,0,0
0.115969,0,0,0,0
0.117352,0,0,0,0
0.118737,0,0,0,0
0.120121,0,0,0,0
0.121642,0,0,0,0
0.123191,0,0,0,0
0.124739,0,0,0,0
0.126285,0,0,0,0
0.127929,0,0,0,0
0.129476,0,0,0,0
0.131026,0,0,0,0
0.132588,0,0,0,0
0.134135,0,0,0,0
0.135683,0,0,0,0
0.137231,0,0,0,0
0.138780,0,0,0,0
0.140328,0,0,0,0
0.141874,0,0,0,0
0.143436,0,0,0,0
0.144983,0,0,0,0
0.146528,0,0,0,0
0.148123,0,0,0,0
0.149669,0,0,0,0
0.151218,0,0,0,0
0.152644,0,0,0,0
0.154180,0,0,0,0
0.155732,0,0,0,0
0.157282,0,0,0,0
0.158877,0,0,0,0
0.160430,0,0,0,0
0.161978,0,0,0,0
0.163529,0,0,0,0
0.164969,0,0,0,0
0.166489,0,0,0,0
0.168045,0,0,0,0
0.169594,0,0,0,0
0.171145,0,0,0,0
0.172696,0,0,0,0
0.174245,0,0,0,0
0.175736,0,0,0,0
0.177257,0,0,0,0
0.178809,0,0,0,0
0.180360,0,0,0,0
0.181909,0,0,0,0
0.183459,0,0,0,0
0.185009,0,0,0,0
0.186630,0,0,0,0
0.188170,0,0,0,0
0.189709,0,0,0,0
0.191127,0,0,0,0
0.192644,0,0,0,0
0.194067,0,0,0,0
0.195589,0,0,0,0
0.197150,0,0,0,0
0.198700,0,0,0,0
0.200249,0,0,0,0
0.201696,0,0,0,0
0.203245,0,0,0,0
0.204794,0,0,0,0
0.206384,0,0,0,0
0.207949,0,0,0,0
0.209496,0,0,0,0
0.211045,0,0,0,0
0.212594,0,0,0,0
0.214140,0,0,0,0
0.215689,0,0,0,0
0.217237,0,0,0,0
0.218798,0,0,0,0
0.220346,0,0,0,0
0.221893,0,0,0,0
0.223441,0,0,0,0
0.224988,0,0,0,0
0.226535,0,0,0,0
0.227963,0,0,0,0
0.229362,0,0,0,0
0.230880,0,0,0,0
0.232428,0,0,0,0
0.233974,0,0,0,0
0.235522,0,0,0,0
0.237071,0,0,0,0
0.238664,0,0,0,0
0.240226,0,0,0,0
0.241771,0,0,0,0
0.243320,0,0,0,0
0.244748,0,0,0,0
0.246272,0,0,0,0
0.247911,0,0,0,0
0.249459,0,0,0,0
0.251024,0,0,0,0
0.252575,0,0,0,0
0.254124,0,0,0,0
0.255677,0,0,0,0
0.257117,0,0,0,0
0.258666,0,0,0,0
0.260207,0,0,0,0
0.261760,0,0,0,0
0.263177,0,0,0,0
0.264696,0,0,0,0
0.266245,0,0,0,0
0.267861,0,0,0,0
0.269410,0,0,0,0
0.271005,0,0,0,0
0.272568,0,0,0,0
0.274118,0,0,0,0
0.275668,0,0,0,0
0.277219,0,0,0,0
0.278771,0,0,0,0
0.280321,0,0,0,0
0.281869,0,0,0,0
0.283432,0,0,0,0
0.284982,0,0,0,0
0.286464,0,0,0,0
0.287896,0,0,0,0
0.289233,0,0,0,0
0.290651,0,0,0,0
0.291992,0,0,0,0
0.293340,0,0,0,0
0.294726,0,0,0,0
0.296124,0,0,0,0
0.297491,0,0,0,0
0.298834,0,0,0,0
0.300174,0,0,0,0
0.301512,0,0,0,0
0.302846,0,0,0,0
0.304168,0,0,0,0
0.305480,0,0,0,0
0.306791,0,0,0,0
0.308102,0,0,0,0
0.309412,0,0,0,0
0.310722,0,0,0,0
0.312072,0,0,0,0
0.313382,0,0,0,0
0.314700,0,0,0,0
0.316010,0,0,0,0
0.317320,0,0,0,0
0.318657,0,0,0,0
0.319952,0,0,0,0
0.321246,0,0,0,0
0.322540,0,0,0,0
0.323836,0,0,0,0
0.325138,0,0,0,0
0.326434,0,0,0,0
0.327736,0,0,0,0
0.329032,0,0,0,0
0.330327,0,0,0,0
0.331627,0,0,0,0
0.332919,0,0,0,0
0.334213,0,0,0,0
0.335517,0,0,0,0
0.336877,0,0,0,0
0.338238,0,0,0,0
0.339604,0,0,0,0
0.340964,0,0,0,0
0.342325,0,0,0,0
0.343691,0,0,0,0
0.345103,0,0,0,0
0.346520,0,0,0,0
0.347883,0,0,0,0
0.349246,0,0,0,0
0.350607,0,0,0,0
0.353232,0,0,0,0
0.354658,0,0,0,0
0.356236,0,0,0,0
0.357646,0,0,0,0
0.359164,0,0,0,0
0.360551,0,0,0,0
0.361938,0,0,0,0
0.363320,0,0,0,0
0.364706,0,0,0,0
0.366087,0,0,0,0
0.367517,0,0,0,0
0.368968,0,0,0,0
0.370230,0,0,0,0
0.371617,0,0,0,0
0.373002,0,0,0,0
0.374384,0,0,0,0
0.375758,0,0,0,0
0.377141,0,0,0,0
0.378524,0,0,0,0
0.379894,0,0,0,0
0.381281,0,0,0,0
0.382748,0,0,0,0
0.384552,0,0,0,0
0.385931,0,0,0,0
0.390637,0,0,0,0
0.392031,0,0,0,0
0.393415,0,0,0,0
0.395231,0,0,0,0
0.396645,0,0,0,0
0.398023,0,0,0,0
0.399403,0,0,0,0
0.400782,0,0,0,0
0.402180,0,0,0,0
0.403560,0,0,0,0
0.404940,0,0,0,0
0.406318,0,0,0,0
0.407740,0,0,0,0
0.409124,0,0,0,0
0.410507,0,0,0,0
0.412004,0,0,0,0
0.413384,0,0,0,0
0.414748,0,0,0,0
0.416133,0,0,0,0
0.417517,0,0,0,0
0.418902,0,0,0,0
0.420285,0,0,0,0
0.421796,0,0,0,0
0.423345,0,0,0,0
0.424906,0,0,0,0
0.426451,0,0,0,0
0.428003,0,0,0,0
0.429548,0,0,0,0
0.431140,0,0,0,0
0.432689,0,0,0,0
0.434235,0,0,0,0
0.435735,0,0,0,0
0.437253,0,0,0,0
0.438802,0,0,0,0
0.440350,0,0,0,0
0.441896,0,0,0,0
0.443443,0,0,0,0
0.444990,0,0,0,0
0.446594,0,0,0,0
0.448143,0,0,0,0
0.449689,0,0,0,0
0.451238,0,0,0,0
0.452786,0,0,0,0
0.454332,0,0,0,0
0.455880,0,0,0,0
0.457374,0,0,0,0
0.458902,0,0,0,0
0.460443,0,0,0,0
0.461982,0,0,0,0
0.463397,0,0,0,0
0.464909,0,0,0,0
0.466449,0,0,0,0
0.468100,0,0,0,0
0.469647,0,0,0,0
0.471197,0,0,0,0
0.472747,0,0,0,0
0.474294,0,0,0,0
0.475847,0,0,0,0
0.477395,0,0,0,0
0.479000,0,0,0,0
0.480549,0,0,0,0
0.482098,0,0,0,0
