elapsed_s,TSE_NON_CLIP_WORKING_CYCLES,TSE_NULL_WORKING_CYCLES,TSE_OUT_PRIM_WORKING_CYCLES,TSE_INPUT_VERTEX_WORKING_CYCLES
0.001094,0,0,0,0
0.002580,0,0,0,0
0.003947,0,0,0,0
0.005291,0,0,0,0
0.006818,0,0,0,0
0.008214,0,0,0,0
0.009586,0,0,0,0
0.010932,0,0,0,0
0.012277,0,0,0,0
0.013618,0,0,0,0
0.015007,0,0,0,0
0.016347,0,0,0,0
0.017686,0,0,0,0
0.019019,0,0,0,0
0.020339,0,0,0,0
0.021648,0,0,0,0
0.023008,0,0,0,0
0.024324,0,0,0,0
0.025638,0,0,0,0
0.026953,0,0,0,0
0.028267,0,0,0,0
0.029580,0,0,0,0
0.030950,0,0,0,0
0.032264,0,0,0,0
0.033576,0,0,0,0
0.034885,0,0,0,0
0.036182,0,0,0,0
0.037476,0,0,0,0
0.038820,0,0,0,0
0.040120,0,0,0,0
0.041425,0,0,0,0
0.042725,0,0,0,0
0.044025,0,0,0,0
0.045324,0,0,0,0
0.046623,0,0,0,0
0.047920,0,0,0,0
0.049217,0,0,0,0
0.050533,0,0,0,0
0.051795,0,0,0,0
0.053051,0,0,0,0
0.054307,0,0,0,0
0.055577,0,0,0,0
0.056833,0,0,0,0
0.058089,0,0,0,0
0.059394,0,0,0,0
0.060658,0,0,0,0
0.061968,0,0,0,0
0.063281,0,0,0,0
0.064603,0,0,0,0
0.065862,0,0,0,0
0.067166,0,0,0,0
0.068421,0,0,0,0
0.069676,0,0,0,0
0.070942,0,0,0,0
0.072249,0,0,0,0
0.073502,0,0,0,0
0.074817,0,0,0,0
0.076235,0,0,0,0
0.077539,0,0,0,0
0.078842,0,0,0,0
0.080148,0,0,0,0
0.081453,0,0,0,0
0.082817,0,0,0,0
0.084201,0,0,0,0
0.085582,0,0,0,0
0.087493,0,0,0,0
0.088933,0,0,0,0
0.090587,0,0,0,0
0.092038,0,0,0,0
0.093446,0,0,0,0
0.094834,0,0,0,0
0.096220,0,0,0,0
0.097605,0,0,0,0
0.098990,0,0,0,0
0.101122,0,0,0,0
0.102532,0,0,0,0
0.103963,0,0,0,0
0.105355,0,0,0,0
0.106738,0,0,0,0
0.108119,0,0,0,0
0.109498,0,0,0,0
0.110904,0,0,0,0
0.112282,0,0,0,0
0.113658,0,0,0,0
0.115044,0,0,0,0
0.116422,0,0,0,0
0.117800,0,0,0,0
0.119575,0,0,0,0
0.121070,0,0,0,0
