elapsed_s,CP_MEMORY_POOL_BELOW_THRESH,CP_AHB_WR_STALL_PRE_DRAWS,CP_AHB_STALL_SQE_GMU,CP_AHB_STALL_SQE_WR_OTHER,CP_AHB_STALL_SQE_RD_OTHER,CP_CLUSTER_FE_U_EMPTY,CP_CLUSTER_FE_S_EMPTY,CP_CLUSTER_SP_VS_EMPTY,CP_CLUSTER_VPC_US_EMPTY,CP_CLUSTER_VPC_VS_EMPTY,CP_CLUSTER_GRAS_EMPTY,CP_CLUSTER_SP_PS_EMPTY,CP_CLUSTER_VPC_PS_EMPTY,CP_CLUSTER_PS_EMPTY
0.001081,0,0,0,0,0,102811,103552,103933,105275,107207,107381,107388,107404,107403
0.002870,0,0,0,0,0,95495,94694,94252,92850,90858,90616,90555,90488,90429
0.004508,0,0,0,0,0,89267,89265,89264,89264,89262,89252,89244,89243,89233
0.006085,0,0,0,0,0,88807,88815,88856,88862,88862,88869,88868,88867,88883
0.007658,0,0,0,0,0,88474,88456,88421,88413,88410,88410,88418,88416,88415
0.009257,0,0,0,0,0,88040,88047,88038,88045,88062,88052,88067,88066,88057
0.010889,0,0,0,0,0,102523,102398,102280,102153,102011,101894,101759,101642,101524
0.012559,0,0,0,0,0,91485,90888,89757,88539,87117,85723,84264,82889,81378
0.014074,0,0,0,0,0,80146,79159,78697,78325,78165,78562,78587,78367,78294
0.015508,0,0,0,0,0,76457,76452,76447,76444,76441,75852,75694,75695,75695
0.016927,0,0,0,0,0,74709,74710,74716,74718,74716,74729,74726,74722,74718
0.018340,0,0,0,0,0,77050,77048,77044,77041,77042,77028,77030,77031,77030
0.019870,0,0,0,0,0,65185,65297,65740,65963,66290,66394,66826,66944,67406
0.021338,0,0,0,0,0,67327,67406,67190,67146,67043,67132,66927,66993,66763
0.022780,0,0,0,0,0,68166,68107,68138,68070,68081,68010,67896,67818,67710
0.024198,0,0,0,0,0,65514,65505,65375,65386,65273,65277,65292,65304,65318
0.025587,0,0,0,0,0,64172,64156,64134,64117,64100,64076,64047,64034,64001
0.027016,0,0,0,0,0,66277,66336,66397,66451,66502,66558,66623,66724,66800
