elapsed_s,CP_S_SKEW_BUFFER_ABOVE_THRESH,CP_ECACHE_HITS,CP_ECACHE_KILLS,CP_ECACHE_REQS,CP_ECACHE_EVEN_REQS,CP_ECACHE_STALLS_RAP,CP_ECACHE_BUSY
0.001618,0,0,0,0,0,0,0
0.003623,0,0,0,0,0,0,0
0.006505,0,0,0,0,0,0,0
0.008053,0,0,0,0,0,0,0
0.009662,0,0,0,0,0,0,0
0.011191,0,0,0,0,0,0,0
0.012723,0,0,0,0,0,0,0
0.014254,0,0,0,0,0,0,0
0.015803,0,0,0,0,0,0,0
0.017338,0,0,0,0,0,0,0
0.018867,0,0,0,0,0,0,0
0.020564,0,0,0,0,0,0,0
0.022092,0,0,0,0,0,0,0
0.023621,0,0,0,0,0,0,0
0.025151,0,0,0,0,0,0,0
0.026764,0,0,0,0,0,0,0
0.028371,0,0,0,0,0,0,0
0.029876,0,0,0,0,0,0,0
0.031823,0,0,0,0,0,0,0
0.033375,0,0,0,0,0,0,0
0.034879,0,0,0,0,0,0,0
0.036483,0,0,0,0,0,0,0
0.037987,0,0,0,0,0,0,0
0.039492,0,0,0,0,0,0,0
0.040997,0,0,0,0,0,0,0
0.042574,0,0,0,0,0,0,0
0.044064,0,0,0,0,0,0,0
0.045683,0,0,0,0,0,0,0
0.047302,0,0,0,0,0,0,0
0.048921,0,0,0,0,0,0,0
0.050539,0,0,0,0,0,0,0
0.052250,0,0,0,0,0,0,0
0.053879,0,0,0,0,0,0,0
0.055497,0,0,0,0,0,0,0
0.056987,0,0,0,0,0,0,0
0.058655,0,0,0,0,0,0,0
0.060332,0,0,0,0,0,0,0
0.061924,0,0,0,0,0,0,0
0.063494,0,0,0,0,0,0,0
0.065071,0,0,0,0,0,0,0
0.066642,0,0,0,0,0,0,0
0.068303,0,0,0,0,0,0,0
0.069873,0,0,0,0,0,0,0
0.071434,0,0,0,0,0,0,0
0.072862,0,0,0,0,0,0,0
0.074312,0,0,0,0,0,0,0
0.075756,0,0,0,0,0,0,0
0.077143,0,0,0,0,0,0,0
0.078522,0,0,0,0,0,0,0
0.079902,0,0,0,0,0,0,0
0.081281,0,0,0,0,0,0,0
0.082660,0,0,0,0,0,0,0
0.084090,0,0,0,0,0,0,0
0.085468,0,0,0,0,0,0,0
0.086901,0,0,0,0,0,0,0
0.088375,0,0,0,0,0,0,0
0.089806,0,0,0,0,0,0,0
0.091308,0,0,0,0,0,0,0
0.092737,0,0,0,0,0,0,0
0.094166,0,0,0,0,0,0,0
0.095594,0,0,0,0,0,0,0
0.097028,0,0,0,0,0,0,0
0.098455,0,0,0,0,0,0,0
0.099933,0,0,0,0,0,0,0
0.101372,0,0,0,0,0,0,0
0.102796,0,0,0,0,0,0,0
0.103955,0,0,0,0,0,0,0
0.105378,0,0,0,0,0,0,0
0.106750,0,0,0,0,0,0,0
0.108092,0,0,0,0,0,0,0
0.109451,0,0,0,0,0,0,0
0.110814,0,0,0,0,0,0,0
0.112178,0,0,0,0,0,0,0
0.113535,0,0,0,0,0,0,0
0.114887,0,0,0,0,0,0,0
0.116205,0,0,0,0,0,0,0
0.117560,0,0,0,0,0,0,0
0.118939,0,0,0,0,0,0,0
0.120298,0,0,0,0,0,0,0
0.121652,0,0,0,0,0,0,0
0.123008,0,0,0,0,0,0,0
0.124361,0,0,0,0,0,0,0
0.125712,0,0,0,0,0,0,0
0.127064,0,0,0,0,0,0,0
0.128426,0,0,0,0,0,0,0
0.129795,0,0,0,0,0,0,0
0.131150,0,0,0,0,0,0,0
0.132506,0,0,0,0,0,0,0
0.133861,0,0,0,0,0,0,0
0.135213,0,0,0,0,0,0,0
0.136567,0,0,0,0,0,0,0
0.137923,0,0,0,0,0,0,0
0.139319,0,0,0,0,0,0,0
0.140693,0,0,0,0,0,0,0
0.142049,0,0,0,0,0,0,0
0.143404,0,0,0,0,0,0,0
0.144758,0,0,0,0,0,0,0
0.146112,0,0,0,0,0,0,0
0.147467,0,0,0,0,0,0,0
0.148822,0,0,0,0,0,0,0
0.150177,0,0,0,0,0,0,0
0.151550,0,0,0,0,0,0,0
0.152906,0,0,0,0,0,0,0
0.154392,0,0,0,0,0,0,0
0.155977,0,0,0,0,0,0,0
0.157545,0,0,0,0,0,0,0
0.159114,0,0,0,0,0,0,0
0.160672,0,0,0,0,0,0,0
0.162242,0,0,0,0,0,0,0
0.163675,0,0,0,0,0,0,0
0.165211,0,0,0,0,0,0,0
0.166775,0,0,0,0,0,0,0
0.168346,0,0,0,0,0,0,0
0.169911,0,0,0,0,0,0,0
0.171525,0,0,0,0,0,0,0
0.173104,0,0,0,0,0,0,0
0.174668,0,0,0,0,0,0,0
0.176235,0,0,0,0,0,0,0
0.177801,0,0,0,0,0,0,0
0.179370,0,0,0,0,0,0,0
0.180936,0,0,0,0,0,0,0
0.182499,0,0,0,0,0,0,0
0.184077,0,0,0,0,0,0,0
0.185641,0,0,0,0,0,0,0
0.187208,0,0,0,0,0,0,0
0.188913,0,0,0,0,0,0,0
0.191022,0,0,0,0,0,0,0
0.192558,0,0,0,0,0,0,0
0.193976,0,0,0,0,0,0,0
0.195433,0,0,0,0,0,0,0
0.196856,0,0,0,0,0,0,0
0.198256,0,0,0,0,0,0,0
