elapsed_s,RBBM_US_VSC_BUSY,RBBM_US_UCHE_BUSY,RBBM_US_HLSQ_BUSY,RBBM_S_HLSQ_BUSY
0.001117,0,0,104,0
0.002684,0,0,104,0
0.004143,0,0,104,0
0.005589,0,0,104,0
0.007068,0,0,104,0
0.008521,0,0,104,0
0.009945,0,0,104,0
0.011441,0,0,104,0
0.012851,0,0,104,0
0.014306,0,0,104,0
0.015749,0,0,104,0
0.017197,0,0,104,0
0.018652,0,0,104,0
0.020081,0,0,104,0
0.021503,0,0,104,0
0.022923,0,0,104,0
0.024380,0,0,104,0
0.025798,0,0,104,0
0.027312,0,0,104,0
0.028702,0,0,104,0
0.030359,0,0,104,0
0.031835,0,0,104,0
0.033200,0,0,104,0
0.034552,0,0,104,0
0.035897,0,0,104,0
0.037238,0,0,104,0
0.038581,0,0,104,0
0.039943,0,0,104,0
0.041348,0,0,104,0
0.042739,0,0,104,0
0.044128,0,0,104,0
0.045513,0,0,104,0
0.047069,0,0,104,0
0.048456,0,0,104,0
0.049843,0,0,104,0
0.051568,0,0,104,0
0.053522,0,0,104,0
0.057013,0,0,104,0
0.058435,0,0,104,0
0.059788,0,0,104,0
0.061141,0,0,104,0
0.062511,0,0,104,0
0.063913,0,0,104,0
0.065258,0,0,104,0
0.066612,25,309,2275,0
0.068222,133,1844,1747,0
0.069601,0,0,104,0
0.071173,0,0,104,0
0.072743,0,0,104,0
0.074223,0,0,104,0
0.075603,0,0,104,0
0.077227,0,0,104,0
0.078615,0,0,104,0
0.080039,0,0,104,0
0.081422,0,0,104,0
0.082842,226,41417,91964,0
0.084480,797,433036,1050740,0
0.085725,792,428129,1025710,0
0.086965,792,429136,1023350,0
0.088257,825,445569,1064391,0
0.089497,792,428669,1021435,0
0.090752,858,461615,1081915,0
0.092086,792,432787,1049180,0
0.093327,792,430749,1021403,0
0.094618,919,493425,1150839,0
0.096064,863,472996,1147387,0
0.097475,202,81234,170841,0
0.099015,0,0,104,0
0.100598,0,0,104,0
0.102273,0,0,104,0
0.103715,0,0,104,0
0.105210,0,0,104,0
0.106625,0,0,104,0
0.108181,0,0,104,0
0.109621,0,0,104,0
0.111046,0,0,104,0
0.112459,0,0,104,0
0.114303,0,0,104,0
0.115750,0,0,104,0
0.117178,0,0,104,0
0.118586,0,0,104,0
0.119991,0,0,104,0
0.121448,0,0,104,0
0.122778,0,0,104,0
0.124112,0,0,104,0
0.125447,0,0,104,0
0.393544,1,6,1201,0
0.400669,0,0,104,0
0.401974,0,0,104,0
0.403303,0,0,104,0
