elapsed_s,TSE_FE_EMPTY_BBOX_KILLED_PRIM,TSE_FE_ST1_VP_PARAMS_CACHE_MISS,TSE_FE_ST2_VPORT_VP_PARAMS_CACHE_MISS,TSE_FE_ST2_SCISSOR_VP_PARAMS_CACHE_MISS
0.001105,0,0,0,0
0.002574,0,0,0,0
0.004485,0,0,0,0
0.005904,0,0,0,0
0.007320,0,0,0,0
0.008736,0,0,0,0
0.010165,0,0,0,0
0.011659,0,0,0,0
0.013074,0,0,0,0
0.014593,0,0,0,0
0.016096,0,0,0,0
0.017508,0,0,0,0
0.018935,0,0,0,0
0.020305,0,0,0,0
0.021650,0,0,0,0
0.023042,0,0,0,0
0.024387,0,0,0,0
0.025731,0,0,0,0
0.027123,0,0,0,0
0.028467,0,0,0,0
0.029809,0,0,0,0
0.031259,0,0,0,0
0.032553,0,0,0,0
0.033842,0,0,0,0
0.035180,0,0,0,0
0.036469,0,0,0,0
0.037758,0,0,0,0
0.039096,0,0,0,0
0.040387,0,0,0,0
0.041681,0,0,0,0
0.043024,0,0,0,0
0.044314,0,0,0,0
0.045605,0,0,0,0
0.046955,0,0,0,0
0.048208,0,0,0,0
0.049568,0,0,0,0
0.050891,0,0,0,0
0.052288,0,0,0,0
0.053620,0,0,0,0
0.054956,0,0,0,0
0.056311,0,0,0,0
0.057704,0,0,0,0
0.059196,0,0,0,0
0.060642,0,0,0,0
0.061992,0,0,0,0
0.063367,0,0,0,0
0.064954,0,0,0,0
0.066407,0,0,0,0
0.068785,0,0,0,0
0.070261,0,0,0,0
0.071683,0,0,0,0
0.073066,0,0,0,0
0.074459,0,0,0,0
0.075877,0,0,0,0
0.077279,0,0,0,0
0.078829,0,0,0,0
0.081688,0,0,0,0
0.084143,0,0,0,0
0.085383,0,0,0,0
0.086882,0,0,0,0
0.088121,0,0,0,0
0.089361,0,0,0,0
0.090608,0,0,0,0
0.091847,0,0,0,0
0.093086,0,0,0,0
0.094325,0,0,0,0
0.095639,0,0,0,0
0.096892,0,0,0,0
0.098135,0,0,0,0
0.099380,0,0,0,0
0.100729,0,0,0,0
0.102074,0,0,0,0
0.103480,0,0,0,0
0.104866,0,0,0,0
0.106248,0,0,0,0
0.107690,0,0,0,0
0.109072,0,0,0,0
0.110454,0,0,0,0
0.111828,0,0,0,0
0.113211,0,0,0,0
0.114601,0,0,0,0
0.115983,0,0,0,0
0.117363,0,0,0,0
0.119568,0,0,0,0
0.120951,0,0,0,0
0.122341,0,0,0,0
0.123723,0,0,0,0
0.125105,0,0,0,0
0.126596,0,0,0,0
0.127989,0,0,0,0
0.129376,0,0,0,0
0.130867,0,0,0,0
0.132256,0,0,0,0
0.133874,0,0,0,0
0.135711,0,0,0,0
0.137092,0,0,0,0
0.138470,0,0,0,0
0.139886,0,0,0,0
0.141267,0,0,0,0
0.143344,0,0,0,0
0.144811,0,0,0,0
0.146192,0,0,0,0
0.147680,0,0,0,0
0.149059,0,0,0,0
0.150435,0,0,0,0
0.151855,0,0,0,0
0.153234,0,0,0,0
0.154613,0,0,0,0
0.156002,0,0,0,0
0.157383,0,0,0,0
0.158957,0,0,0,0
0.160343,0,0,0,0
0.161722,0,0,0,0
0.163103,0,0,0,0
0.164488,0,0,0,0
0.165872,0,0,0,0
0.167269,0,0,0,0
0.168768,0,0,0,0
0.170318,0,0,0,0
0.171866,0,0,0,0
0.173438,0,0,0,0
0.175036,0,0,0,0
0.176586,0,0,0,0
0.178151,0,0,0,0
0.179765,0,0,0,0
0.181314,0,0,0,0
0.182867,0,0,0,0
0.184418,0,0,0,0
0.185967,0,0,0,0
0.187519,0,0,0,0
0.189083,0,0,0,0
0.190636,0,0,0,0
0.192231,0,0,0,0
0.193780,0,0,0,0
0.195333,0,0,0,0
0.196884,0,0,0,0
0.198433,0,0,0,0
0.200002,0,0,0,0
0.201551,0,0,0,0
0.203103,0,0,0,0
0.204654,0,0,0,0
0.206203,0,0,0,0
0.207716,0,0,0,0
0.209235,0,0,0,0
0.210801,0,0,0,0
0.212351,0,0,0,0
0.213900,0,0,0,0
0.215451,0,0,0,0
0.217002,0,0,0,0
0.218555,0,0,0,0
0.220107,0,0,0,0
0.221668,0,0,0,0
0.223265,0,0,0,0
0.224817,0,0,0,0
0.226366,0,0,0,0
0.227922,0,0,0,0
0.229470,0,0,0,0
0.231023,0,0,0,0
0.232588,0,0,0,0
0.234137,0,0,0,0
0.235561,0,0,0,0
0.237080,0,0,0,0
0.238632,0,0,0,0
0.240227,0,0,0,0
0.241776,0,0,0,0
0.243341,0,0,0,0
0.244892,0,0,0,0
0.246441,0,0,0,0
0.247860,0,0,0,0
0.249380,0,0,0,0
0.250931,0,0,0,0
0.252483,0,0,0,0
0.254045,0,0,0,0
0.255640,0,0,0,0
0.257193,0,0,0,0
0.258745,0,0,0,0
0.260296,0,0,0,0
0.261845,0,0,0,0
0.263396,0,0,0,0
0.264960,0,0,0,0
0.266585,0,0,0,0
0.268201,0,0,0,0
0.269749,0,0,0,0
0.271346,0,0,0,0
0.272898,0,0,0,0
0.274447,0,0,0,0
0.276083,0,0,0,0
0.277633,0,0,0,0
0.279185,0,0,0,0
0.280736,0,0,0,0
0.282287,0,0,0,0
0.283837,0,0,0,0
0.285378,0,0,0,0
0.286811,0,0,0,0
0.288371,0,0,0,0
0.289919,0,0,0,0
0.291466,0,0,0,0
0.293016,0,0,0,0
0.294566,0,0,0,0
0.296116,0,0,0,0
0.297555,0,0,0,0
0.299076,0,0,0,0
0.300626,0,0,0,0
0.302174,0,0,0,0
0.303787,0,0,0,0
0.305335,0,0,0,0
0.306886,0,0,0,0
0.308449,0,0,0,0
0.309997,0,0,0,0
0.311547,0,0,0,0
0.313095,0,0,0,0
0.314645,0,0,0,0
0.316194,0,0,0,0
0.317741,0,0,0,0
0.319348,0,0,0,0
0.320899,0,0,0,0
0.322447,0,0,0,0
0.324042,0,0,0,0
0.325589,0,0,0,0
0.327139,0,0,0,0
0.328689,0,0,0,0
0.330248,0,0,0,0
0.331802,0,0,0,0
0.333349,0,0,0,0
0.334944,0,0,0,0
0.336495,0,0,0,0
0.338043,0,0,0,0
0.339473,0,0,0,0
0.341015,0,0,0,0
0.342568,0,0,0,0
0.344119,0,0,0,0
0.345670,0,0,0,0
0.347223,0,0,0,0
