elapsed_s,TSE_FE_BR_STALLS_DUETO_BV_CLIP,TSE_FE_BR_STALLS_DUETO_BV_POLY,TSE_FE_BV_STALLS_DUETO_BR_CLIP,TSE_FE_BV_STALLS_DUETO_BR_POLY
0.001154,0,0,0,0
0.002603,0,0,0,0
0.004021,0,0,0,0
0.005489,0,0,0,0
0.007172,0,0,0,0
0.008664,0,0,0,0
0.010092,0,0,0,0
0.011507,0,0,0,0
0.012922,0,0,0,0
0.014339,0,0,0,0
0.015754,0,0,0,0
0.017204,0,0,0,0
0.018674,0,0,0,0
0.020085,0,0,0,0
0.021502,0,0,0,0
0.022847,0,0,0,0
0.024190,0,0,0,0
0.025582,0,0,0,0
0.026929,0,0,0,0
0.028271,0,0,0,0
0.029682,0,0,0,0
0.031041,0,0,0,0
0.032388,0,0,0,0
0.033793,0,0,0,0
0.035134,0,0,0,0
0.036476,0,0,0,0
0.037933,0,0,0,0
0.039228,0,0,0,0
0.040519,0,0,0,0
0.041831,0,0,0,0
0.043241,0,0,0,0
0.044536,0,0,0,0
0.045834,0,0,0,0
0.047173,0,0,0,0
0.048557,0,0,0,0
0.049848,0,0,0,0
0.051152,0,0,0,0
0.052447,0,0,0,0
0.053735,0,0,0,0
0.055025,0,0,0,0
0.056314,0,0,0,0
0.057667,0,0,0,0
0.059006,0,0,0,0
0.060341,0,0,0,0
0.061751,0,0,0,0
0.063204,0,0,0,0
0.064606,0,0,0,0
0.065962,0,0,0,0
0.067305,0,0,0,0
0.068648,0,0,0,0
0.070069,0,0,0,0
0.071486,0,0,0,0
0.073102,0,0,0,0
0.074509,0,0,0,0
0.076200,0,0,0,0
0.077586,0,0,0,0
0.078968,0,0,0,0
0.080350,0,0,0,0
0.081753,0,0,0,0
0.083166,0,0,0,0
0.084407,0,0,0,0
0.085938,0,0,0,0
0.087179,0,0,0,0
0.088419,0,0,0,0
0.089746,0,0,0,0
0.090986,0,0,0,0
0.092225,0,0,0,0
0.094203,0,0,0,0
0.095449,0,0,0,0
0.096698,0,0,0,0
0.097940,0,0,0,0
0.099311,0,0,0,0
