elapsed_s,TSE_FE_ZERO_AREA_PRIM,TSE_FE_FACENESS_CULLED_PRIM,TSE_FE_ZERO_PIXEL_PRIM,TSE_FE_OUTPUT_NULL_PRIM
0.001098,0,0,0,0
0.002557,0,0,0,0
0.003977,0,0,0,0
0.005395,0,0,0,0
0.006809,0,0,0,0
0.008367,0,0,0,0
0.009795,0,0,0,0
0.011201,0,0,0,0
0.012615,0,0,0,0
0.014029,0,0,0,0
0.015444,0,0,0,0
0.017030,0,0,0,0
0.018512,0,0,0,0
0.019926,0,0,0,0
0.021333,0,0,0,0
0.022686,0,0,0,0
0.024036,0,0,0,0
0.025393,0,0,0,0
0.026743,0,0,0,0
0.028141,0,0,0,0
0.029495,0,0,0,0
0.030853,0,0,0,0
0.032274,0,0,0,0
0.033618,0,0,0,0
0.034960,0,0,0,0
0.036345,0,0,0,0
0.037643,0,0,0,0
0.038942,0,0,0,0
0.040256,0,0,0,0
0.041609,0,0,0,0
0.042918,0,0,0,0
0.044234,0,0,0,0
0.045531,0,0,0,0
0.046831,0,0,0,0
0.048126,0,0,0,0
0.049391,0,0,0,0
0.050654,0,0,0,0
0.051972,0,0,0,0
0.053350,0,0,0,0
0.054724,0,0,0,0
0.056099,0,0,0,0
0.057474,0,0,0,0
0.058850,0,0,0,0
0.060236,0,0,0,0
0.061517,0,0,0,0
0.062851,0,0,0,0
0.064183,0,0,0,0
0.065466,0,0,0,0
0.066843,0,0,0,0
0.068225,0,0,0,0
0.069599,0,0,0,0
0.071025,0,0,0,0
0.072402,0,0,0,0
0.073785,0,0,0,0
0.075210,0,0,0,0
0.076588,0,0,0,0
0.077965,0,0,0,0
0.079413,0,0,0,0
0.080724,0,0,0,0
0.082140,0,0,0,0
0.083439,0,0,0,0
0.084744,0,0,0,0
0.086040,0,0,0,0
0.087386,0,0,0,0
0.088684,0,0,0,0
0.089988,0,0,0,0
0.091285,0,0,0,0
0.092800,0,0,0,0
0.094108,0,0,0,0
0.095468,0,0,0,0
0.096845,0,0,0,0
0.098219,0,0,0,0
0.099641,0,0,0,0
0.101286,0,0,0,0
0.102660,0,0,0,0
0.104079,0,0,0,0
0.105502,0,0,0,0
0.106871,0,0,0,0
0.108248,0,0,0,0
0.109620,0,0,0,0
0.110991,0,0,0,0
0.112363,0,0,0,0
0.113622,0,0,0,0
0.114990,0,0,0,0
0.116341,0,0,0,0
0.117802,0,0,0,0
0.119162,0,0,0,0
0.120482,0,0,0,0
0.121943,0,0,0,0
0.123371,0,0,0,0
0.124743,0,0,0,0
0.126212,0,0,0,0
0.127486,0,0,0,0
0.128798,0,0,0,0
0.130261,0,0,0,0
0.131948,0,0,0,0
0.133505,0,0,0,0
0.134926,0,0,0,0
0.136398,0,0,0,0
0.137801,0,0,0,0
0.139246,0,0,0,0
0.140629,0,0,0,0
0.142009,0,0,0,0
0.143389,0,0,0,0
0.144899,0,0,0,0
0.146442,0,0,0,0
0.147874,0,0,0,0
0.149397,0,0,0,0
0.150948,0,0,0,0
0.152503,0,0,0,0
0.154053,0,0,0,0
0.155607,0,0,0,0
0.157158,0,0,0,0
0.158594,0,0,0,0
0.160117,0,0,0,0
0.161669,0,0,0,0
0.163267,0,0,0,0
0.164819,0,0,0,0
0.166370,0,0,0,0
0.167923,0,0,0,0
0.169488,0,0,0,0
0.171038,0,0,0,0
0.172595,0,0,0,0
0.174145,0,0,0,0
