group,counter,label,total_all_widths,total_width_first,total_width_last,scaling_ratio_last_over_first,corr_total_vs_width,slope_total_vs_width,total_w128,total_w256,total_w512,total_w1024,total_w2048
VFD,VFDP_STALL_CYCLES_VFD,flat_or_saturated,822.0,150.0,174.0,1.16,0.553783014582556,0.009324596774193563,150.0,174.0,150.0,174.0,174.0
VFD,VFDP_STALL_CYCLES_VFD_INDEX,flat_or_saturated,822.0,150.0,174.0,1.16,0.553783014582556,0.009324596774193563,150.0,174.0,150.0,174.0,174.0
CP,CP_SQE_T4_EXEC,flat_or_saturated,785.0,157.0,157.0,1.0,0.0,1.2024389507955978e-17,157.0,157.0,157.0,157.0,157.0
TSE,TSE_BE_STALL_CYCLES_RAS,flat_or_saturated,768.0,150.0,186.0,1.24,0.8521505376344085,0.01997227822580648,150.0,144.0,144.0,144.0,186.0
HLSQ,HLSQ_L2STC_REQ_SP,flat_or_saturated,720.0,144.0,144.0,1.0,0.0,1.2024389507955978e-17,144.0,144.0,144.0,144.0,144.0
HLSQ,HLSQ_L2STC_REQ_SP_HIT,flat_or_saturated,690.0,138.0,138.0,1.0,0.0,1.2024389507955978e-17,138.0,138.0,138.0,138.0,138.0
CP,CP_VBIF_WRITE_BEATS,flat_or_saturated,683.0,344.0,82.0,0.23837209302325582,-0.48658504513625694,-0.07227612567204306,344.0,87.0,83.0,87.0,82.0
CP,CP_SQE_PM4_STARVE_IB1,flat_or_saturated,679.0,102.0,143.0,1.4019607843137254,0.4142358361950398,0.010091145833333358,102.0,148.0,143.0,143.0,143.0
HLSQ,HLSQ_VSBR_DEREF_CYCLES,flat_or_saturated,671.0,151.0,123.0,0.8145695364238411,-0.7034540996048683,-0.013818884408602131,151.0,151.0,123.0,123.0,123.0
HLSQ,HLSQ_L2STC_REQ_UCHE,flat_or_saturated,560.0,112.0,112.0,1.0,0.0,6.012194753977989e-18,112.0,112.0,112.0,112.0,112.0
CP,CP_AHB_STALL_SQE_GMU,flat_or_saturated,480.0,480.0,0.0,0.0,-0.4766031238193981,-0.13104838709677427,480.0,0.0,0.0,0.0,0.0
HLSQ,HLSQ_L2STC_REQ_HLSQ,flat_or_saturated,400.0,80.0,80.0,1.0,0.0,1.803658426193397e-17,80.0,80.0,80.0,80.0,80.0
HLSQ,HLSQ_L2STC_REQ_INS_HLSQ,flat_or_saturated,360.0,72.0,72.0,1.0,0.0,6.012194753977989e-18,72.0,72.0,72.0,72.0,72.0
CP,CP_SQE_PM4_STARVE_IB3,flat_or_saturated,320.0,86.0,53.0,0.6162790697674418,-0.6956083436402525,-0.013860887096774193,86.0,75.0,53.0,53.0,53.0
PC,PC_US_NON_DRAWCALL_GLOBAL_EVENTS,flat_or_saturated,294.0,70.0,56.0,0.8,-0.4766031238193981,-0.003822244623655918,70.0,56.0,56.0,56.0,56.0
SP,SP_GPR_READ_CONFLICT,flat_or_saturated,260.0,52.0,28.0,0.5384615384615384,-0.7986674429443689,-0.0170110887096774,52.0,60.0,73.0,47.0,28.0
SP,SP_STCHE_MISS_INC_FS,flat_or_saturated,240.0,48.0,48.0,1.0,0.0,6.012194753977989e-18,48.0,48.0,48.0,48.0,48.0
VPC,VPC_FE_BOTTLENECK,flat_or_saturated,234.0,42.0,48.0,1.1428571428571428,0.1567723603339241,0.0010080645161290379,42.0,54.0,42.0,48.0,48.0
HLSQ,HLSQ_BV_DEREF_CYCLES,flat_or_saturated,208.0,44.0,40.0,0.9090909090909091,-0.7034540996048684,-0.0019741263440860167,44.0,44.0,40.0,40.0,40.0
HLSQ,HLSQ_L2STC_REQ_HLSQ_HIT,flat_or_saturated,200.0,40.0,40.0,1.0,0.0,9.018292130966985e-18,40.0,40.0,40.0,40.0,40.0
HLSQ,HLSQ_L2STC_REQ_INS_HLSQ_HIT,flat_or_saturated,160.0,32.0,32.0,1.0,0.0,3.0060973769889946e-18,32.0,32.0,32.0,32.0,32.0
CP,CP_SQE_PM4_WFI_STALL,flat_or_saturated,126.0,28.0,28.0,1.0,0.3849486769310524,0.0030871975806451672,28.0,14.0,28.0,28.0,28.0
PC,PC_S_STALL_CYCLES_VFD,flat_or_saturated,120.0,24.0,24.0,1.0,0.0,3.0060973769889946e-18,24.0,24.0,24.0,24.0,24.0
SP,SP_ANY_EU_WORKING_VS_STAGE,flat_or_saturated,120.0,24.0,24.0,1.0,0.0,3.0060973769889946e-18,24.0,24.0,24.0,24.0,24.0
SP,SP_LDST_GMEM_REQ_NUM,flat_or_saturated,120.0,24.0,24.0,1.0,0.0,3.0060973769889946e-18,24.0,24.0,24.0,24.0,24.0
SP,SP_UCHE_WRITE_BURST,flat_or_saturated,120.0,24.0,24.0,1.0,0.0,3.0060973769889946e-18,24.0,24.0,24.0,24.0,24.0
SP,SP_WORKING_EU_VS_STAGE,flat_or_saturated,120.0,24.0,24.0,1.0,0.0,3.0060973769889946e-18,24.0,24.0,24.0,24.0,24.0
HLSQ,HLSQ_FS_WAIT_VS_S2W,flat_or_saturated,115.0,23.0,23.0,1.0,0.0,1.5030486884944973e-18,23.0,23.0,23.0,23.0,23.0
CP,CP_SQE_CTXT_REG_BUNCH_EXEC,flat_or_saturated,90.0,18.0,18.0,1.0,0.0,1.5030486884944973e-18,18.0,18.0,18.0,18.0,18.0
HLSQ,HLSQ_STPROC_L0_INS_LATENCY_CYCLE,flat_or_saturated,80.0,16.0,16.0,1.0,0.0,1.5030486884944973e-18,16.0,16.0,16.0,16.0,16.0
CP,CP_SQE_SAVE_SDS_STATE,flat_or_saturated,75.0,15.0,15.0,1.0,0.0,1.5030486884944973e-18,15.0,15.0,15.0,15.0,15.0
HLSQ,HLSQ_STPROC_L0_INS_HIT,flat_or_saturated,75.0,15.0,15.0,1.0,0.0,1.5030486884944973e-18,15.0,15.0,15.0,15.0,15.0
HLSQ,HLSQ_BV_STALL_CYCLES,flat_or_saturated,67.0,14.0,13.0,0.9285714285714286,-0.7034540996048684,-0.0004935315860214996,14.0,14.0,13.0,13.0,13.0
HLSQ,HLSQ_FS_CONST_BUF_FULL_BLOCK_CPI,flat_or_saturated,60.0,12.0,12.0,1.0,0.0,1.5030486884944973e-18,12.0,12.0,12.0,12.0,12.0
PC,PC_S_STALL_CYCLES_VFD_ONLY,flat_or_saturated,60.0,12.0,12.0,1.0,0.0,1.5030486884944973e-18,12.0,12.0,12.0,12.0,12.0
HLSQ,HLSQ_L2STC_LATENCY_COUNT,flat_or_saturated,35.0,7.0,7.0,1.0,0.0,3.757621721236243e-19,7.0,7.0,7.0,7.0,7.0
HLSQ,HLSQ_UCHE_LATENCY_COUNT,flat_or_saturated,30.0,6.0,6.0,1.0,0.0,7.515243442472486e-19,6.0,6.0,6.0,6.0,6.0
