elapsed_s,VFD_NEVER_COUNT,VFD_BUSY_CYCLES,VFD_STALL_CYCLES_UCHE,VFD_STALL_CYCLES_VPC_ALLOC,VFD_STALL_CYCLES_SP_INFO,VFD_STALL_CYCLES_SP_ATTR,VFD_STARVE_CYCLES_UCHE,VFD_RBUFFER_FULL
0.001458,0,0,0,0,0,0,0,0
0.002947,0,0,0,0,0,0,0,0
0.004432,0,0,0,0,0,0,0,0
0.005998,0,0,0,0,0,0,0,0
0.007425,0,0,0,0,0,0,0,0
0.009064,0,0,0,0,0,0,0,0
0.010562,0,0,0,0,0,0,0,0
0.011982,0,0,0,0,0,0,0,0
0.013397,0,0,0,0,0,0,0,0
0.014822,0,0,0,0,0,0,0,0
0.016234,0,0,0,0,0,0,0,0
0.017804,0,0,0,0,0,0,0,0
0.019329,0,0,0,0,0,0,0,0
0.020816,0,0,0,0,0,0,0,0
0.022322,0,0,0,0,0,0,0,0
0.023748,0,0,0,0,0,0,0,0
0.025173,0,0,0,0,0,0,0,0
0.026599,0,0,0,0,0,0,0,0
0.027999,0,0,0,0,0,0,0,0
0.029377,0,0,0,0,0,0,0,0
0.030753,0,0,0,0,0,0,0,0
0.032137,0,0,0,0,0,0,0,0
0.033513,0,0,0,0,0,0,0,0
0.034893,0,0,0,0,0,0,0,0
0.036271,0,0,0,0,0,0,0,0
0.037813,0,0,0,0,0,0,0,0
0.039185,0,0,0,0,0,0,0,0
0.040610,0,0,0,0,0,0,0,0
0.041940,0,0,0,0,0,0,0,0
0.043378,0,0,0,0,0,0,0,0
0.044701,0,0,0,0,0,0,0,0
0.046022,0,0,0,0,0,0,0,0
0.047342,0,0,0,0,0,0,0,0
0.048670,0,0,0,0,0,0,0,0
0.049983,0,0,0,0,0,0,0,0
0.051253,0,0,0,0,0,0,0,0
0.052523,0,0,0,0,0,0,0,0
0.053797,0,0,0,0,0,0,0,0
0.055067,0,0,0,0,0,0,0,0
0.056389,0,0,0,0,0,0,0,0
0.057680,0,0,0,0,0,0,0,0
0.059012,0,0,0,0,0,0,0,0
0.060287,0,0,0,0,0,0,0,0
0.061585,0,0,0,0,0,0,0,0
0.062857,0,0,0,0,0,0,0,0
0.064133,0,0,0,0,0,0,0,0
0.065407,0,0,0,0,0,0,0,0
0.066688,0,0,0,0,0,0,0,0
0.067968,0,0,0,0,0,0,0,0
0.069240,0,0,0,0,0,0,0,0
0.070604,0,0,0,0,0,0,0,0
0.071989,0,348,0,0,0,0,0,0
0.073409,0,0,0,0,0,0,0,0
0.074794,0,0,0,0,0,0,0,0
0.076160,0,0,0,0,0,0,0,0
0.077525,0,0,0,0,0,0,0,0
0.078890,0,0,0,0,0,0,0,0
0.080255,0,0,0,0,0,0,0,0
0.081726,0,0,0,0,0,0,0,0
0.083090,0,0,0,0,0,0,0,0
0.084470,0,4026,0,0,0,0,0,0
0.085707,0,4392,0,0,0,0,0,0
0.086980,0,4392,0,0,0,0,0,0
0.088242,0,4578,0,0,0,0,0,0
0.089504,0,4392,0,0,0,0,0,0
0.090766,0,4560,0,0,0,0,0,0
0.092027,0,4404,0,0,0,0,0,0
0.094366,0,8238,0,0,0,0,0,0
0.096067,0,6222,0,0,0,0,0,0
0.097374,0,2922,0,0,0,0,0,0
0.098804,0,0,0,0,0,0,0,0
0.100222,0,0,0,0,0,0,0,0
0.101781,0,0,0,0,0,0,0,0
0.103187,0,0,0,0,0,0,0,0
0.104657,0,0,0,0,0,0,0,0
0.106074,0,0,0,0,0,0,0,0
0.107487,0,0,0,0,0,0,0,0
0.108910,0,0,0,0,0,0,0,0
0.110319,0,0,0,0,0,0,0,0
0.111724,0,0,0,0,0,0,0,0
0.113128,0,0,0,0,0,0,0,0
0.114533,0,0,0,0,0,0,0,0
0.116122,0,0,0,0,0,0,0,0
0.117528,0,0,0,0,0,0,0,0
0.119096,0,0,0,0,0,0,0,0
0.120536,0,0,0,0,0,0,0,0
0.124710,0,0,0,0,0,0,0,0
0.127047,0,0,0,0,0,0,0,0
0.128457,0,0,0,0,0,0,0,0
0.131355,0,0,0,0,0,0,0,0
0.132805,0,0,0,0,0,0,0,0
0.134245,0,0,0,0,0,0,0,0
0.135790,0,0,0,0,0,0,0,0
0.137205,0,0,0,0,0,0,0,0
0.138573,0,0,0,0,0,0,0,0
0.139951,0,0,0,0,0,0,0,0
0.141313,0,0,0,0,0,0,0,0
0.142674,0,0,0,0,0,0,0,0
0.144033,0,0,0,0,0,0,0,0
0.145393,0,0,0,0,0,0,0,0
0.146754,0,0,0,0,0,0,0,0
0.148113,0,0,0,0,0,0,0,0
0.149598,0,0,0,0,0,0,0,0
0.151190,0,0,0,0,0,0,0,0
0.152795,0,0,0,0,0,0,0,0
0.154370,0,0,0,0,0,0,0,0
0.155942,0,0,0,0,0,0,0,0
0.157515,0,0,0,0,0,0,0,0
