elapsed_s,RAS_FULLY_COVERED_SUPER_TILES,RAS_FULLY_COVERED_8X4_TILES,RAS_PRIM_KILLED_INVISILBE,RAS_SUPERTILE_GEN_ACTIVE_CYCLES
0.001120,0,0,0,0
0.002597,0,0,0,0
0.004018,0,0,0,0
0.005592,0,0,0,0
0.007008,0,0,0,0
0.008580,0,0,0,0
0.010033,0,0,0,0
0.011427,0,0,0,0
0.012825,0,0,0,0
0.014227,0,0,0,0
0.015618,0,0,0,0
0.017146,0,0,0,0
0.018515,0,0,0,0
0.019864,0,0,0,0
0.021322,0,0,0,0
0.022664,0,0,0,0
0.024008,0,0,0,0
0.025492,0,0,0,0
0.026837,0,0,0,0
0.028183,0,0,0,0
0.029569,0,0,0,0
0.030861,0,0,0,0
0.032154,0,0,0,0
0.033517,0,0,0,0
0.034805,0,0,0,0
0.036095,0,0,0,0
0.037405,0,0,0,0
0.038658,0,0,0,0
0.039912,0,0,0,0
0.041215,0,0,0,0
0.042473,0,0,0,0
0.043727,0,0,0,0
0.044995,0,0,0,0
0.046259,0,0,0,0
0.047513,0,0,0,0
0.048812,0,0,0,0
0.050667,0,0,0,0
0.052098,0,0,0,0
0.053743,0,0,0,0
0.055074,0,0,0,0
0.056390,0,0,0,0
0.057648,0,0,0,0
0.059015,0,0,0,0
0.060384,0,0,0,0
0.061810,0,0,0,0
0.063212,0,0,0,0
0.064680,0,0,0,0
0.066084,0,0,0,0
0.067554,0,0,0,90
0.069137,0,0,0,0
0.070529,0,0,0,0
0.071918,0,0,0,0
0.073306,0,0,0,0
0.074717,0,0,0,0
0.076099,0,0,0,0
0.077591,0,0,0,0
0.079067,0,0,0,228
0.080578,0,0,0,1881
0.081819,0,0,0,1782
0.083058,0,0,0,1881
0.084375,0,0,0,4635
0.087460,0,0,0,1800
0.088707,0,0,0,1863
0.089953,0,0,0,1800
0.091196,0,0,0,1863
0.092441,0,0,0,1800
0.093727,0,0,0,1881
0.094971,0,0,0,1863
0.096214,0,0,0,1800
0.097462,0,0,0,591
0.098987,0,0,0,0
0.100409,0,0,0,0
0.101888,0,0,0,0
0.103270,0,0,0,0
0.104655,0,0,0,0
0.106039,0,0,0,0
0.107422,0,0,0,0
0.108861,0,0,0,0
0.110247,0,0,0,0
0.111631,0,0,0,0
0.114533,0,0,0,0
