elapsed_s,RAS_STARVE_CYCLES_TSE,RAS_SUPER_TILES,RAS_8X4_TILES,RAS_MASKGEN_ACTIVE
0.001094,12528,0,0,0
0.003026,13029,0,0,0
0.004446,12135,0,0,0
0.005862,13302,0,0,0
0.007280,13338,0,0,0
0.008694,13290,0,0,0
0.010185,13479,0,0,0
0.011578,12969,0,0,0
0.012970,11901,0,0,0
0.014364,12498,0,0,0
0.015775,11904,0,0,0
0.017161,12669,0,0,0
0.018674,13125,0,0,0
0.020023,12510,0,0,0
0.021402,12972,0,0,0
0.022728,13092,0,0,0
0.024070,13218,0,0,0
0.025510,12798,0,0,0
0.026862,12249,0,0,0
0.028191,11505,0,0,0
0.029479,11892,0,0,0
0.030882,11976,0,0,0
0.032179,13173,0,0,0
0.033469,10998,0,0,0
0.034760,9783,0,0,0
0.036014,10167,0,0,0
0.037269,10038,0,0,0
0.038596,10143,0,0,0
0.039938,10017,0,0,0
0.041278,9741,0,0,0
0.042703,10560,0,0,0
0.044133,10977,0,0,0
0.045530,10467,0,0,0
0.046916,10425,0,0,0
0.048299,10278,0,0,0
0.049984,8988,0,0,0
0.051693,8880,0,0,0
0.053204,9144,0,0,0
0.054640,8877,0,0,0
0.056029,8799,0,0,0
0.057421,8844,0,0,0
0.058958,9063,0,0,0
0.060388,14031,0,0,0
0.061793,8868,0,0,0
0.063224,9021,0,0,0
0.064605,8988,0,0,0
0.066122,9030,0,0,0
0.069362,9108,0,0,0
0.070746,37470,0,0,0
0.071988,6219,0,0,0
0.073227,6102,0,0,0
0.074467,6441,0,0,0
0.075709,6102,0,0,0
0.076948,6324,0,0,0
0.078186,6219,0,0,0
0.079426,6324,0,0,0
0.080665,6219,0,0,0
0.083124,12204,0,0,0
0.084364,6441,0,0,0
0.085761,7119,0,0,0
0.087078,6441,0,0,0
0.088322,4812,0,0,0
0.089612,22599,0,0,0
0.091044,14739,0,0,0
0.092428,14649,0,0,0
0.093905,14472,0,0,0
0.095297,13566,0,0,0
0.096687,14802,0,0,0
0.098119,13350,0,0,0
0.099606,13812,0,0,0
0.101030,13905,0,0,0
0.103240,15012,0,0,0
0.104627,16203,0,0,0
0.106043,13908,0,0,0
0.107428,13236,0,0,0
0.108884,14841,0,0,0
0.113305,18024,0,0,0
0.114824,15132,0,0,0
0.116205,14712,0,0,0
0.117715,14868,0,0,0
0.119108,14535,0,0,0
0.120467,14196,0,0,0
0.121809,15030,0,0,0
0.123206,14145,0,0,0
0.124586,14949,0,0,0
0.125966,15660,0,0,0
0.127345,13824,0,0,0
0.128900,14904,0,0,0
0.130315,14574,0,0,0
0.131706,14268,0,0,0
0.133085,14760,0,0,0
0.134465,14439,0,0,0
0.135971,15261,0,0,0
0.137619,14136,0,0,0
0.139201,13782,0,0,0
0.140621,15387,0,0,0
0.142020,15414,0,0,0
0.143529,13992,0,0,0
0.145070,14649,0,0,0
0.146532,15276,0,0,0
0.147922,15762,0,0,0
0.149496,13506,0,0,0
0.151045,14067,0,0,0
0.152482,15240,0,0,0
0.153917,14466,0,0,0
0.155305,15387,0,0,0
0.156688,14436,0,0,0
0.158078,13557,0,0,0
0.159463,13761,0,0,0
0.160843,14499,0,0,0
0.162262,13716,0,0,0
0.163660,18009,0,0,0
0.165048,14697,0,0,0
0.166434,14205,0,0,0
0.167950,14067,0,0,0
0.169502,13485,0,0,0
0.171053,15093,0,0,0
0.172602,14079,0,0,0
0.174169,13479,0,0,0
0.175720,14415,0,0,0
0.177271,13662,0,0,0
0.178842,13398,0,0,0
0.180393,13416,0,0,0
0.181947,14088,0,0,0
0.183498,13371,0,0,0
0.185059,14379,0,0,0
0.186653,13653,0,0,0
0.188203,14337,0,0,0
0.189754,14331,0,0,0
0.191304,14223,0,0,0
0.192852,14778,0,0,0
0.194446,15702,0,0,0
0.196010,14136,0,0,0
0.197562,14283,0,0,0
0.199113,15504,0,0,0
0.200659,14310,0,0,0
0.202253,14487,0,0,0
0.203803,13839,0,0,0
0.205350,13185,0,0,0
0.206917,13671,0,0,0
0.208465,14607,0,0,0
0.210059,13785,0,0,0
0.211610,14673,0,0,0
0.213158,14289,0,0,0
0.214711,14454,0,0,0
0.216258,13398,0,0,0
0.217701,14751,0,0,0
0.219266,13428,0,0,0
0.220813,14943,0,0,0
0.222362,13431,0,0,0
0.223912,14730,0,0,0
0.225462,14226,0,0,0
0.227011,14673,0,0,0
0.228572,13947,0,0,0
0.230123,13848,0,0,0
0.231672,13866,0,0,0
0.233220,14880,0,0,0
0.234775,15036,0,0,0
0.236322,13551,0,0,0
0.237872,13866,0,0,0
0.239436,13932,0,0,0
0.240983,14790,0,0,0
0.242576,14070,0,0,0
0.244126,14586,0,0,0
0.245677,13827,0,0,0
0.247226,15042,0,0,0
0.248774,13764,0,0,0
0.250380,15027,0,0,0
0.251930,14784,0,0,0
0.253480,14769,0,0,0
0.255029,14166,0,0,0
0.256577,13866,0,0,0
0.258171,14817,0,0,0
0.259611,14856,0,0,0
0.261148,14820,0,0,0
0.262676,14097,0,0,0
0.264195,14940,0,0,0
0.265747,13893,0,0,0
0.267343,13692,0,0,0
0.268894,14124,0,0,0
0.270446,14757,0,0,0
0.272012,14382,0,0,0
0.273566,13458,0,0,0
0.275162,14661,0,0,0
0.276712,14958,0,0,0
0.278265,15003,0,0,0
0.279817,14487,0,0,0
0.281367,14631,0,0,0
0.282813,14319,0,0,0
0.284332,14817,0,0,0
0.285885,15048,0,0,0
0.287436,15141,0,0,0
0.288986,14253,0,0,0
0.290538,13611,0,0,0
0.292090,13524,0,0,0
0.293656,13866,0,0,0
0.295206,14847,0,0,0
0.296804,14253,0,0,0
0.298399,14922,0,0,0
0.299951,14607,0,0,0
0.301504,14775,0,0,0
0.303055,14847,0,0,0
0.304617,14997,0,0,0
0.306213,13719,0,0,0
0.307761,14457,0,0,0
0.309309,14316,0,0,0
0.310864,14802,0,0,0
0.312414,14976,0,0,0
0.314010,14379,0,0,0
0.315575,14634,0,0,0
0.317124,13692,0,0,0
0.318624,14316,0,0,0
0.320144,14562,0,0,0
0.321697,13974,0,0,0
0.323293,14706,0,0,0
0.324842,14160,0,0,0
0.326406,13950,0,0,0
0.327958,15069,0,0,0
0.329510,14424,0,0,0
0.331061,14142,0,0,0
0.332612,14382,0,0,0
