elapsed_s,TSE_SETUP_CTRL_WORKING_CYCLE_L2,TSE_SETUP_FDP3_WORKING_CYCLE_L2,TSE_SETUP_FDP3_0_WORKING_CYCLE_L3,TSE_SETUP_FDP3_1_WORKING_CYCLE_L3
0.001164,0,0,0,0
0.002735,0,0,0,0
0.004275,0,0,0,0
0.005915,0,0,0,0
0.007572,0,0,0,0
0.009133,0,0,0,0
0.010626,0,0,0,0
0.012149,0,0,0,0
0.013669,0,0,0,0
0.015313,0,0,0,0
0.016813,0,0,0,0
0.018388,0,0,0,0
0.019891,0,0,0,0
0.021393,0,0,0,0
0.022989,0,0,0,0
0.024385,0,0,0,0
0.025900,0,0,0,0
0.027414,0,0,0,0
0.028948,0,0,0,0
0.030504,0,0,0,0
0.031984,0,0,0,0
0.033455,0,0,0,0
0.034841,0,0,0,0
0.036316,0,0,0,0
0.037789,0,0,0,0
0.039259,0,0,0,0
0.040734,0,0,0,0
0.042201,0,0,0,0
0.043674,0,0,0,0
0.045168,0,0,0,0
0.046639,0,0,0,0
0.048136,0,0,0,0
0.049609,0,0,0,0
0.051086,0,0,0,0
0.052556,0,0,0,0
0.054021,0,0,0,0
0.055458,0,0,0,0
0.056879,0,0,0,0
0.058348,0,0,0,0
0.059768,0,0,0,0
0.061220,0,0,0,0
0.062690,0,0,0,0
0.064119,0,0,0,0
0.065657,0,0,0,0
0.067154,0,0,0,0
0.068612,0,0,0,0
0.070371,0,0,0,0
0.071954,0,0,0,0
0.073485,0,0,0,0
0.075070,0,0,0,0
0.076733,0,0,0,0
0.078214,0,0,0,0
0.079683,0,0,0,0
0.081154,0,0,0,0
0.082631,0,0,0,0
0.084103,0,0,0,0
0.085599,0,0,0,0
0.087130,0,0,0,0
0.088647,0,0,0,0
0.090192,0,0,0,0
0.091687,0,0,0,0
0.093230,0,0,0,0
0.094877,0,0,0,0
0.096492,0,0,0,0
0.097991,0,0,0,0
0.099584,105,105,105,105
0.101107,0,0,0,0
0.102600,0,0,0,0
0.104142,0,0,0,0
0.105635,0,0,0,0
0.107178,0,0,0,0
0.108717,0,0,0,0
0.110172,0,0,0,0
0.111642,0,0,0,0
0.113112,0,0,0,0
0.114587,0,0,0,0
0.116055,0,0,0,0
0.117585,0,0,0,0
0.119029,0,0,0,0
0.120454,0,0,0,0
0.121878,0,0,0,0
0.123306,0,0,0,0
0.124734,0,0,0,0
0.126125,0,0,0,0
0.127622,0,0,0,0
0.129075,432,432,432,432
0.132480,756,756,756,756
0.133610,756,756,756,756
0.134866,546,546,546,546
0.136245,0,0,0,0
0.137576,0,0,0,0
0.138904,0,0,0,0
0.140227,0,0,0,0
0.141564,0,0,0,0
0.143091,0,0,0,0
0.144497,0,0,0,0
0.145881,0,0,0,0
0.147259,0,0,0,0
0.148636,0,0,0,0
0.150059,0,0,0,0
0.151428,0,0,0,0
0.152797,0,0,0,0
0.154165,0,0,0,0
0.155534,0,0,0,0
0.156941,0,0,0,0
0.158304,0,0,0,0
0.159668,0,0,0,0
0.161031,0,0,0,0
0.162672,0,0,0,0
0.164036,0,0,0,0
0.165427,0,0,0,0
0.166843,0,0,0,0
0.168204,0,0,0,0
0.169562,0,0,0,0
0.170947,0,0,0,0
0.172307,0,0,0,0
0.173790,0,0,0,0
0.175186,0,0,0,0
0.176612,0,0,0,0
0.178031,0,0,0,0
0.179454,0,0,0,0
0.180928,0,0,0,0
0.182384,0,0,0,0
0.183838,0,0,0,0
0.185291,0,0,0,0
0.186748,0,0,0,0
0.188206,0,0,0,0
0.189921,0,0,0,0
0.191378,0,0,0,0
0.192833,0,0,0,0
0.194292,0,0,0,0
0.195792,0,0,0,0
0.197321,0,0,0,0
0.198948,0,0,0,0
0.200423,0,0,0,0
0.201904,0,0,0,0
0.203378,0,0,0,0
0.204897,0,0,0,0
0.206365,0,0,0,0
0.207830,0,0,0,0
0.209296,0,0,0,0
0.210721,0,0,0,0
0.212376,0,0,0,0
0.214086,0,0,0,0
0.215795,0,0,0,0
0.217498,0,0,0,0
0.219004,0,0,0,0
0.220668,0,0,0,0
0.222135,0,0,0,0
0.223611,0,0,0,0
0.225268,0,0,0,0
0.227063,0,0,0,0
0.228769,0,0,0,0
0.230284,0,0,0,0
0.231949,0,0,0,0
0.233487,0,0,0,0
0.235157,0,0,0,0
0.236926,0,0,0,0
0.238634,0,0,0,0
0.240171,0,0,0,0
0.241843,0,0,0,0
0.243364,0,0,0,0
0.245103,0,0,0,0
0.246620,0,0,0,0
0.248289,0,0,0,0
0.250003,0,0,0,0
0.251699,0,0,0,0
0.253457,0,0,0,0
0.255012,0,0,0,0
0.256478,0,0,0,0
0.258062,0,0,0,0
0.259502,0,0,0,0
0.261025,0,0,0,0
0.262687,0,0,0,0
0.264396,0,0,0,0
0.265944,0,0,0,0
0.267613,0,0,0,0
0.269385,0,0,0,0
0.271102,0,0,0,0
0.272809,0,0,0,0
0.274523,0,0,0,0
0.276255,0,0,0,0
0.277973,0,0,0,0
0.279685,0,0,0,0
0.281392,0,0,0,0
0.283107,0,0,0,0
0.284815,0,0,0,0
0.286361,0,0,0,0
0.287838,0,0,0,0
0.289497,0,0,0,0
0.291028,0,0,0,0
0.292507,0,0,0,0
0.293982,0,0,0,0
0.295453,0,0,0,0
0.296937,0,0,0,0
0.298409,0,0,0,0
0.300065,0,0,0,0
0.301781,0,0,0,0
0.303492,0,0,0,0
0.305200,0,0,0,0
0.306911,0,0,0,0
0.308454,0,0,0,0
0.310126,0,0,0,0
0.311822,0,0,0,0
0.313514,0,0,0,0
0.315088,0,0,0,0
0.316561,0,0,0,0
0.318374,0,0,0,0
0.320101,0,0,0,0
0.321809,0,0,0,0
0.323519,0,0,0,0
0.325290,0,0,0,0
0.327130,0,0,0,0
0.328834,0,0,0,0
0.330559,0,0,0,0
0.332267,0,0,0,0
0.333980,0,0,0,0
0.335690,0,0,0,0
0.337395,0,0,0,0
0.338932,0,0,0,0
0.340620,0,0,0,0
0.342335,0,0,0,0
0.344044,0,0,0,0
