elapsed_s,TSE_CLIP_VP_FMUL_4_WORKING_CYCLE_L3,TSE_CLIP_VP_FMUL_5_WORKING_CYCLE_L3,TSE_CLIP_VP_FADD_WORKING_CYCLE_L2,TSE_CLIP_VP_FADD_0_WORKING_CYCLE_L3
0.001131,0,0,0,0
0.002717,0,0,0,0
0.004249,0,0,0,0
0.005903,0,0,0,0
0.007456,0,0,0,0
0.009073,0,0,0,0
0.010634,0,0,0,0
0.012178,0,0,0,0
0.013862,0,0,0,0
0.015305,0,0,0,0
0.016771,0,0,0,0
0.018207,0,0,0,0
0.019657,0,0,0,0
0.021098,0,0,0,0
0.022601,0,0,0,0
0.024127,0,0,0,0
0.025719,0,0,0,0
0.027262,0,0,0,0
0.028800,0,0,0,0
0.030283,0,0,0,0
0.031781,0,0,0,0
0.033254,0,0,0,0
0.034752,0,0,0,0
0.036223,0,0,0,0
0.037673,0,0,0,0
0.039101,0,0,0,0
0.040579,0,0,0,0
0.042000,0,0,0,0
0.043422,0,0,0,0
0.044892,0,0,0,0
0.046314,0,0,0,0
0.047761,0,0,0,0
0.049232,0,0,0,0
0.050658,0,0,0,0
0.052074,0,0,0,0
0.053565,0,0,0,0
0.055035,0,0,0,0
0.056504,0,0,0,0
0.057983,0,0,0,0
0.059563,0,0,0,0
0.062972,0,0,0,0
0.064496,0,0,0,0
0.065857,0,0,0,0
0.067343,0,0,0,0
0.068822,0,0,0,0
0.070294,0,0,0,0
0.071799,0,0,0,0
0.073273,0,0,0,0
0.074745,0,0,0,0
0.076213,0,0,0,0
0.077649,0,0,0,0
0.079121,0,0,0,0
0.080600,0,0,0,0
0.082147,0,0,0,0
0.083687,0,0,0,0
0.085229,0,0,0,0
0.086802,0,0,0,0
0.088377,0,0,0,0
0.090059,0,0,0,0
0.091597,0,0,0,0
0.093884,0,0,0,0
0.095417,0,0,0,0
0.097019,0,0,0,0
0.098544,0,0,0,0
0.100073,0,0,0,0
0.101805,0,0,0,0
0.103259,0,0,0,0
0.104781,0,0,0,0
0.106209,0,0,0,0
0.107636,0,0,0,0
0.110737,0,0,0,0
0.112222,0,0,0,0
0.113678,0,0,0,0
0.115104,0,0,0,0
0.116581,0,0,0,0
0.118855,0,0,0,0
0.120166,0,0,0,0
0.121319,0,0,0,0
0.122442,0,0,0,0
0.123871,0,0,0,0
0.125240,0,0,0,0
0.126559,0,0,0,0
0.127898,0,0,0,0
0.129277,0,0,0,0
0.130713,0,0,0,0
0.132097,0,0,0,0
0.133454,0,0,0,0
0.134822,0,0,0,0
0.136217,0,0,0,0
0.137601,0,0,0,0
0.138954,0,0,0,0
0.140308,0,0,0,0
0.141678,0,0,0,0
0.143036,0,0,0,0
0.144421,0,0,0,0
0.145765,0,0,0,0
0.147072,0,0,0,0
0.148484,0,0,0,0
0.149924,0,0,0,0
0.151277,0,0,0,0
0.152633,0,0,0,0
0.153994,0,0,0,0
0.155358,0,0,0,0
0.156730,0,0,0,0
0.158091,0,0,0,0
0.159454,0,0,0,0
0.161115,0,0,0,0
0.162693,0,0,0,0
0.164148,0,0,0,0
0.165776,0,0,0,0
0.167255,0,0,0,0
0.168710,0,0,0,0
0.170168,0,0,0,0
0.171624,0,0,0,0
0.173086,0,0,0,0
0.174554,0,0,0,0
0.176072,0,0,0,0
0.177612,0,0,0,0
0.179070,0,0,0,0
0.180519,0,0,0,0
0.182015,0,0,0,0
0.183745,0,0,0,0
0.185265,0,0,0,0
0.186932,0,0,0,0
0.188662,0,0,0,0
0.190373,0,0,0,0
0.192142,0,0,0,0
0.193857,0,0,0,0
0.195565,0,0,0,0
0.197274,0,0,0,0
0.198817,0,0,0,0
0.200552,0,0,0,0
0.202264,0,0,0,0
0.203972,0,0,0,0
0.205682,0,0,0,0
0.207390,0,0,0,0
0.208866,0,0,0,0
0.210536,0,0,0,0
0.212242,0,0,0,0
0.213769,0,0,0,0
0.215435,0,0,0,0
0.217067,0,0,0,0
0.218589,0,0,0,0
0.220271,0,0,0,0
0.221989,0,0,0,0
0.223762,0,0,0,0
0.225470,0,0,0,0
0.227181,0,0,0,0
0.228893,0,0,0,0
0.230621,0,0,0,0
0.232393,0,0,0,0
0.233914,0,0,0,0
0.235578,0,0,0,0
0.237286,0,0,0,0
0.238980,0,0,0,0
0.240543,0,0,0,0
0.242072,0,0,0,0
0.243744,0,0,0,0
0.245262,0,0,0,0
0.246927,0,0,0,0
0.248455,0,0,0,0
0.250122,0,0,0,0
0.251662,0,0,0,0
0.253333,0,0,0,0
0.255043,0,0,0,0
0.256757,0,0,0,0
0.258470,0,0,0,0
0.260175,0,0,0,0
0.261725,0,0,0,0
0.263391,0,0,0,0
0.265169,0,0,0,0
0.266879,0,0,0,0
0.268590,0,0,0,0
0.270285,0,0,0,0
0.272059,0,0,0,0
0.273985,0,0,0,0
0.275498,0,0,0,0
0.276974,0,0,0,0
0.278445,0,0,0,0
0.279969,0,0,0,0
0.281440,0,0,0,0
0.282926,0,0,0,0
0.284589,0,0,0,0
0.286300,0,0,0,0
0.288071,0,0,0,0
0.289910,0,0,0,0
0.291617,0,0,0,0
0.293343,0,0,0,0
0.295054,0,0,0,0
0.296769,0,0,0,0
0.298465,0,0,0,0
0.300157,0,0,0,0
0.301779,0,0,0,0
0.303451,0,0,0,0
0.305107,0,0,0,0
0.306803,0,0,0,0
0.308328,0,0,0,0
0.310005,0,0,0,0
0.311772,0,0,0,0
0.313500,0,0,0,0
0.315207,0,0,0,0
0.316917,0,0,0,0
0.318625,0,0,0,0
0.320397,0,0,0,0
0.322039,0,0,0,0
0.323530,0,0,0,0
0.325195,0,0,0,0
0.326904,0,0,0,0
0.328617,0,0,0,0
0.330326,0,0,0,0
0.332032,0,0,0,0
0.333883,0,0,0,0
0.335404,0,0,0,0
0.337076,0,0,0,0
0.338785,0,0,0,0
0.340497,0,0,0,0
0.342206,0,0,0,0
0.343996,0,0,0,0
0.345514,0,0,0,0
0.347179,0,0,0,0
0.348892,0,0,0,0
0.350600,0,0,0,0
0.352373,0,0,0,0
0.353910,0,0,0,0
0.355384,0,0,0,0
0.357048,0,0,0,0
0.358743,0,0,0,0
0.360637,0,0,0,0
0.362075,0,0,0,0
0.363896,0,0,0,0
0.365429,0,0,0,0
0.367093,0,0,0,0
0.368801,0,0,0,0
0.370506,0,0,0,0
0.372210,0,0,0,0
0.373922,0,0,0,0
0.375710,0,0,0,0
0.377415,0,0,0,0
0.379122,0,0,0,0
0.380830,0,0,0,0
