elapsed_s,TSE_CLIP_VP_FMUL_0_WORKING_CYCLE_L3,TSE_CLIP_VP_FMUL_1_WORKING_CYCLE_L3,TSE_CLIP_VP_FMUL_2_WORKING_CYCLE_L3,TSE_CLIP_VP_FMUL_3_WORKING_CYCLE_L3
0.001172,0,0,0,0
0.002850,0,0,0,0
0.004423,0,0,0,0
0.006223,0,0,0,0
0.007776,0,0,0,0
0.009246,0,0,0,0
0.010688,0,0,0,0
0.012129,0,0,0,0
0.013579,0,0,0,0
0.015113,0,0,0,0
0.016664,0,0,0,0
0.018226,0,0,0,0
0.019785,0,0,0,0
0.021299,0,0,0,0
0.022817,0,0,0,0
0.024245,0,0,0,0
0.025743,0,0,0,0
0.027242,0,0,0,0
0.028786,0,0,0,0
0.030229,0,0,0,0
0.031684,0,0,0,0
0.033081,0,0,0,0
0.034505,0,0,0,0
0.035930,0,0,0,0
0.037360,0,0,0,0
0.038787,0,0,0,0
0.040119,0,0,0,0
0.041558,0,0,0,0
0.042984,0,0,0,0
0.044455,0,0,0,0
0.045879,0,0,0,0
0.047328,0,0,0,0
0.048753,0,0,0,0
0.050176,0,0,0,0
0.051605,0,0,0,0
0.053136,0,0,0,0
0.054584,0,0,0,0
0.056006,0,0,0,0
0.057428,0,0,0,0
0.058848,0,0,0,0
0.060317,0,0,0,0
0.061747,0,0,0,0
0.063232,0,0,0,0
0.064704,0,0,0,0
0.066193,0,0,0,0
0.067702,0,0,0,0
0.069193,0,0,0,0
0.070690,0,0,0,0
0.072293,0,0,0,0
0.073792,0,0,0,0
0.075288,0,0,0,0
0.076834,0,0,0,0
0.078324,0,0,0,0
0.079865,0,0,0,0
0.081385,0,0,0,0
0.082888,0,0,0,0
0.084443,0,0,0,0
0.085967,0,0,0,0
0.087512,0,0,0,0
0.089109,0,0,0,0
0.090639,0,0,0,0
0.092338,0,0,0,0
0.093952,0,0,0,0
0.096221,0,0,0,0
0.097760,0,0,0,0
0.099264,0,0,0,0
0.100756,0,0,0,0
0.102181,0,0,0,0
0.103679,0,0,0,0
0.105130,0,0,0,0
0.106552,0,0,0,0
0.107973,0,0,0,0
0.109459,0,0,0,0
0.110929,0,0,0,0
0.112456,0,0,0,0
0.113920,0,0,0,0
0.115393,0,0,0,0
0.116862,0,0,0,0
0.118411,0,0,0,0
0.120012,0,0,0,0
0.121600,0,0,0,0
0.123283,0,0,0,0
0.125319,0,0,0,0
0.126793,0,0,0,0
0.128398,0,0,0,0
0.129777,0,0,0,0
0.131153,0,0,0,0
0.132527,0,0,0,0
0.133904,0,0,0,0
0.135320,0,0,0,0
0.136877,0,0,0,0
0.138452,0,0,0,0
0.139960,0,0,0,0
0.141352,0,0,0,0
0.142727,0,0,0,0
0.144107,0,0,0,0
0.145468,0,0,0,0
0.146830,0,0,0,0
0.148265,0,0,0,0
0.149617,0,0,0,0
0.150938,0,0,0,0
0.152313,0,0,0,0
0.153700,0,0,0,0
0.155056,0,0,0,0
0.156415,0,0,0,0
0.157779,0,0,0,0
0.159180,0,0,0,0
0.160844,0,0,0,0
0.162209,0,0,0,0
0.163571,0,0,0,0
0.165023,0,0,0,0
0.166392,0,0,0,0
0.167788,0,0,0,0
0.169211,0,0,0,0
0.170625,0,0,0,0
0.172003,0,0,0,0
0.173437,0,0,0,0
0.174843,0,0,0,0
0.176326,0,0,0,0
0.177786,0,0,0,0
0.179243,0,0,0,0
0.180858,0,0,0,0
0.182302,0,0,0,0
0.183819,0,0,0,0
0.185359,0,0,0,0
0.186818,0,0,0,0
0.188288,0,0,0,0
0.189753,0,0,0,0
0.191283,0,0,0,0
0.192752,0,0,0,0
0.194218,0,0,0,0
0.195683,0,0,0,0
0.197148,0,0,0,0
0.198803,0,0,0,0
0.200521,0,0,0,0
0.202063,0,0,0,0
0.203728,0,0,0,0
0.205439,0,0,0,0
0.206968,0,0,0,0
0.208466,0,0,0,0
0.209940,0,0,0,0
0.211411,0,0,0,0
0.212909,0,0,0,0
0.214379,0,0,0,0
0.215848,0,0,0,0
0.217561,0,0,0,0
0.219268,0,0,0,0
0.220979,0,0,0,0
0.222691,0,0,0,0
0.224490,0,0,0,0
0.226203,0,0,0,0
0.227917,0,0,0,0
0.229642,0,0,0,0
0.231411,0,0,0,0
0.233118,0,0,0,0
0.234845,0,0,0,0
0.236557,0,0,0,0
0.238254,0,0,0,0
0.240060,0,0,0,0
0.241608,0,0,0,0
0.243283,0,0,0,0
0.244821,0,0,0,0
0.246488,0,0,0,0
0.248203,0,0,0,0
0.249912,0,0,0,0
0.251620,0,0,0,0
0.253152,0,0,0,0
0.254817,0,0,0,0
0.256615,0,0,0,0
0.258324,0,0,0,0
0.260038,0,0,0,0
0.261749,0,0,0,0
0.263523,0,0,0,0
0.265375,0,0,0,0
0.267100,0,0,0,0
0.268814,0,0,0,0
0.270526,0,0,0,0
0.272239,0,0,0,0
0.273951,0,0,0,0
0.275660,0,0,0,0
0.277182,0,0,0,0
0.278655,0,0,0,0
0.280320,0,0,0,0
0.282030,0,0,0,0
0.283737,0,0,0,0
0.285453,0,0,0,0
0.287225,0,0,0,0
0.288767,0,0,0,0
0.290437,0,0,0,0
0.291973,0,0,0,0
0.293649,0,0,0,0
0.295421,0,0,0,0
0.296939,0,0,0,0
0.298590,0,0,0,0
0.300123,0,0,0,0
0.301693,0,0,0,0
0.303418,0,0,0,0
0.304938,0,0,0,0
0.306603,0,0,0,0
0.308317,0,0,0,0
0.310027,0,0,0,0
0.311817,0,0,0,0
0.313334,0,0,0,0
0.314997,0,0,0,0
0.316706,0,0,0,0
0.318418,0,0,0,0
0.320131,0,0,0,0
0.321675,0,0,0,0
0.323342,0,0,0,0
0.325054,0,0,0,0
0.326765,0,0,0,0
0.328543,0,0,0,0
0.330254,0,0,0,0
0.331796,0,0,0,0
0.333470,0,0,0,0
0.335240,0,0,0,0
0.336949,0,0,0,0
0.338660,0,0,0,0
0.340373,0,0,0,0
0.342088,0,0,0,0
0.343845,0,0,0,0
0.345567,0,0,0,0
0.347231,0,0,0,0
0.348942,0,0,0,0
0.350652,0,0,0,0
0.352442,0,0,0,0
0.354153,0,0,0,0
0.356014,0,0,0,0
0.357702,0,0,0,0
0.359457,0,0,0,0
0.361187,0,0,0,0
0.362774,0,0,0,0
0.364243,0,0,0,0
0.365922,0,0,0,0
0.367695,0,0,0,0
0.369412,0,0,0,0
0.371119,0,0,0,0
0.372827,0,0,0,0
0.374370,0,0,0,0
0.376043,0,0,0,0
0.377754,0,0,0,0
0.379530,0,0,0,0
0.381379,0,0,0,0
0.383151,0,0,0,0
0.384880,0,0,0,0
0.386588,0,0,0,0
0.388299,0,0,0,0
0.390021,0,0,0,0
0.391816,0,0,0,0
0.393394,0,0,0,0
0.394884,0,0,0,0
0.396549,0,0,0,0
0.398260,0,0,0,0
0.399974,0,0,0,0
0.401685,0,0,0,0
0.403393,0,0,0,0
0.404934,0,0,0,0
0.406605,0,0,0,0
0.408316,0,0,0,0
0.410026,0,0,0,0
0.411733,0,0,0,0
0.413452,0,0,0,0
0.415060,0,0,0,0
0.416731,0,0,0,0
