elapsed_s,TSE_FE_BR_STALLS_DUETO_BV_CLIP,TSE_FE_BR_STALLS_DUETO_BV_POLY,TSE_FE_BV_STALLS_DUETO_BR_CLIP,TSE_FE_BV_STALLS_DUETO_BR_POLY
0.001175,0,0,0,0
0.002743,0,0,0,0
0.004315,0,0,0,0
0.005895,0,0,0,0
0.007611,0,0,0,0
0.009125,0,0,0,0
0.010573,0,0,0,0
0.012017,0,0,0,0
0.013536,0,0,0,0
0.015097,0,0,0,0
0.016597,0,0,0,0
0.018133,0,0,0,0
0.019593,0,0,0,0
0.021017,0,0,0,0
0.022363,0,0,0,0
0.023799,0,0,0,0
0.025233,0,0,0,0
0.026667,0,0,0,0
0.028103,0,0,0,0
0.029553,0,0,0,0
0.031095,0,0,0,0
0.032566,0,0,0,0
0.034037,0,0,0,0
0.035514,0,0,0,0
0.036987,0,0,0,0
0.038371,0,0,0,0
0.039841,0,0,0,0
0.041316,0,0,0,0
0.042785,0,0,0,0
0.044261,0,0,0,0
0.045758,0,0,0,0
0.047253,0,0,0,0
0.048727,0,0,0,0
0.050199,0,0,0,0
0.051681,0,0,0,0
0.053174,0,0,0,0
0.054732,0,0,0,0
0.056240,0,0,0,0
0.057562,0,0,0,0
0.058951,0,0,0,0
0.060352,0,0,0,0
0.061746,0,0,0,0
0.063146,0,0,0,0
0.064602,0,0,0,0
0.066082,0,0,0,0
0.067580,0,0,0,0
0.069076,0,0,0,0
0.070619,0,0,0,0
0.072135,0,0,0,0
0.073629,0,0,0,0
0.075249,0,0,0,0
0.076747,0,0,0,0
0.078329,0,0,0,0
0.079827,0,0,0,0
0.081327,0,0,0,0
0.082832,0,0,0,0
0.084326,0,0,0,0
0.085881,0,0,0,0
0.087385,0,0,0,0
0.089103,0,0,0,0
0.090639,0,0,0,0
0.092388,0,0,0,0
0.094093,0,0,0,0
0.095289,0,0,0,0
0.096787,0,0,0,0
0.098328,0,0,0,0
0.099752,0,0,0,0
0.101206,0,0,0,0
0.102678,0,0,0,0
0.104115,0,0,0,0
0.105536,0,0,0,0
0.106953,0,0,0,0
0.108377,0,0,0,0
0.109823,0,0,0,0
0.111244,0,0,0,0
0.112687,0,0,0,0
0.114165,0,0,0,0
0.115718,0,0,0,0
0.117298,0,0,0,0
0.118842,0,0,0,0
0.120425,0,0,0,0
0.122141,0,0,0,0
0.124335,0,0,0,0
0.125551,0,0,0,0
0.126692,0,0,0,0
0.128061,0,0,0,0
0.129547,0,0,0,0
0.130908,0,0,0,0
0.132270,0,0,0,0
0.133664,0,0,0,0
0.135092,0,0,0,0
0.136457,0,0,0,0
0.137826,0,0,0,0
0.139204,0,0,0,0
0.140573,0,0,0,0
0.142005,0,0,0,0
0.143440,0,0,0,0
0.144803,0,0,0,0
0.146674,0,0,0,0
0.148038,0,0,0,0
0.149433,0,0,0,0
0.150791,0,0,0,0
0.152149,0,0,0,0
0.153505,0,0,0,0
0.154940,0,0,0,0
0.156284,0,0,0,0
0.157617,0,0,0,0
0.158978,0,0,0,0
0.160337,0,0,0,0
0.161696,0,0,0,0
0.163146,0,0,0,0
0.164504,0,0,0,0
0.165916,0,0,0,0
0.167636,0,0,0,0
0.169331,0,0,0,0
0.170823,0,0,0,0
0.172318,0,0,0,0
0.173837,0,0,0,0
0.175306,0,0,0,0
0.176771,0,0,0,0
0.178335,0,0,0,0
0.179799,0,0,0,0
0.181315,0,0,0,0
0.182778,0,0,0,0
0.184236,0,0,0,0
0.185693,0,0,0,0
0.187313,0,0,0,0
0.188788,0,0,0,0
0.190258,0,0,0,0
0.191723,0,0,0,0
0.193187,0,0,0,0
0.194654,0,0,0,0
0.196120,0,0,0,0
0.197814,0,0,0,0
0.199363,0,0,0,0
0.201029,0,0,0,0
0.202736,0,0,0,0
0.204358,0,0,0,0
0.206163,0,0,0,0
0.207587,0,0,0,0
0.209056,0,0,0,0
0.210531,0,0,0,0
0.211991,0,0,0,0
0.213507,0,0,0,0
0.214969,0,0,0,0
0.216624,0,0,0,0
0.218334,0,0,0,0
0.220040,0,0,0,0
0.221826,0,0,0,0
0.223539,0,0,0,0
0.225243,0,0,0,0
0.226795,0,0,0,0
0.228522,0,0,0,0
0.230321,0,0,0,0
0.232070,0,0,0,0
0.233585,0,0,0,0
0.235345,0,0,0,0
0.237055,0,0,0,0
0.238756,0,0,0,0
0.240275,0,0,0,0
0.241938,0,0,0,0
0.243626,0,0,0,0
0.245356,0,0,0,0
0.246872,0,0,0,0
0.248534,0,0,0,0
0.250243,0,0,0,0
0.251982,0,0,0,0
0.253894,0,0,0,0
0.255415,0,0,0,0
0.256886,0,0,0,0
0.258356,0,0,0,0
0.259820,0,0,0,0
0.261348,0,0,0,0
0.262814,0,0,0,0
0.264460,0,0,0,0
0.266325,0,0,0,0
0.268019,0,0,0,0
0.269776,0,0,0,0
0.271395,0,0,0,0
0.272870,0,0,0,0
0.274533,0,0,0,0
0.276260,0,0,0,0
0.278138,0,0,0,0
0.279971,0,0,0,0
0.281679,0,0,0,0
0.283386,0,0,0,0
0.285077,0,0,0,0
0.286637,0,0,0,0
0.288313,0,0,0,0
0.290061,0,0,0,0
0.291765,0,0,0,0
0.293350,0,0,0,0
0.295022,0,0,0,0
0.296733,0,0,0,0
0.298464,0,0,0,0
0.300173,0,0,0,0
0.301947,0,0,0,0
0.303554,0,0,0,0
0.305029,0,0,0,0
0.306696,0,0,0,0
0.308406,0,0,0,0
0.310138,0,0,0,0
0.311849,0,0,0,0
0.313556,0,0,0,0
0.315398,0,0,0,0
0.317106,0,0,0,0
0.318627,0,0,0,0
0.320124,0,0,0,0
0.321785,0,0,0,0
0.323294,0,0,0,0
0.324770,0,0,0,0
0.326436,0,0,0,0
0.328140,0,0,0,0
0.329842,0,0,0,0
0.331393,0,0,0,0
0.333062,0,0,0,0
0.334768,0,0,0,0
0.336289,0,0,0,0
0.337952,0,0,0,0
0.339560,0,0,0,0
0.341036,0,0,0,0
0.342779,0,0,0,0
0.344473,0,0,0,0
0.346285,0,0,0,0
0.347853,0,0,0,0
0.349401,0,0,0,0
0.350894,0,0,0,0
0.352590,0,0,0,0
0.354315,0,0,0,0
0.356021,0,0,0,0
0.357829,0,0,0,0
0.359543,0,0,0,0
0.361245,0,0,0,0
0.362952,0,0,0,0
0.364672,0,0,0,0
0.366218,0,0,0,0
0.367880,0,0,0,0
0.369570,0,0,0,0
0.371468,0,0,0,0
0.373225,0,0,0,0
0.374760,0,0,0,0
0.376551,0,0,0,0
0.378261,0,0,0,0
0.379970,0,0,0,0
0.381741,0,0,0,0
0.383455,0,0,0,0
0.385181,0,0,0,0
0.386893,0,0,0,0
0.388604,0,0,0,0
0.390317,0,0,0,0
0.392026,0,0,0,0
0.393731,0,0,0,0
0.395467,0,0,0,0
0.397241,0,0,0,0
0.398950,0,0,0,0
0.400655,0,0,0,0
0.402368,0,0,0,0
0.404057,0,0,0,0
0.405837,0,0,0,0
0.407472,0,0,0,0
0.408952,0,0,0,0
0.410598,0,0,0,0
0.412125,0,0,0,0
0.413717,0,0,0,0
0.415351,0,0,0,0
0.416885,0,0,0,0
0.418405,0,0,0,0
0.419926,0,0,0,0
0.421532,0,0,0,0
0.422956,0,0,0,0
0.424399,0,0,0,0
0.425820,0,0,0,0
0.427301,0,0,0,0
0.428723,0,0,0,0
0.430139,0,0,0,0
0.431499,0,0,0,0
0.432863,0,0,0,0
0.434217,0,0,0,0
0.435570,0,0,0,0
0.436957,0,0,0,0
0.438298,0,0,0,0
0.439836,0,0,0,0
0.441283,0,0,0,0
0.442712,0,0,0,0
0.444325,0,0,0,0
0.445888,0,0,0,0
0.447572,0,0,0,0
0.449033,0,0,0,0
0.450506,0,0,0,0
0.452000,0,0,0,0
0.453568,0,0,0,0
0.455243,0,0,0,0
0.456776,0,0,0,0
0.458313,0,0,0,0
0.459861,0,0,0,0
0.461458,0,0,0,0
0.463193,0,0,0,0
