elapsed_s,TSE_FE_OUTPUT_VISIBLE_PRIM,TSE_FE_CINVOCATION,TSE_FE_CPRIMITIVES,TSE_FE_CLIP_PLANES
0.001139,0,0,0,0
0.002816,0,0,0,0
0.004350,0,0,0,0
0.006085,0,0,0,0
0.008035,0,0,0,0
0.009589,0,0,0,0
0.011258,0,0,0,0
0.012998,0,0,0,0
0.014541,0,0,0,0
0.015990,0,0,0,0
0.017537,0,0,0,0
0.019092,0,0,0,0
0.020679,0,0,0,0
0.022220,0,0,0,0
0.023953,0,0,0,0
0.025362,0,0,0,0
0.026874,0,0,0,0
0.028378,0,0,0,0
0.029885,0,0,0,0
0.031456,0,0,0,0
0.032980,0,0,0,0
0.034450,0,0,0,0
0.035919,0,0,0,0
0.037391,0,0,0,0
0.038884,0,0,0,0
0.040354,0,0,0,0
0.041853,0,0,0,0
0.043322,0,0,0,0
0.044802,0,0,0,0
0.046272,0,0,0,0
0.047824,0,0,0,0
0.049269,0,0,0,0
0.050696,0,0,0,0
0.052128,0,0,0,0
0.053554,0,0,0,0
0.055007,0,0,0,0
0.056478,0,0,0,0
0.057924,0,0,0,0
0.059346,0,0,0,0
0.060776,0,0,0,0
0.062203,0,0,0,0
0.063624,0,0,0,0
0.065054,0,0,0,0
0.066503,0,0,0,0
0.067984,0,0,0,0
0.069484,0,0,0,0
0.070934,0,0,0,0
0.072417,0,0,0,0
0.073960,0,0,0,0
0.075406,0,0,0,0
0.076924,0,0,0,0
0.078484,0,0,0,0
0.079951,0,0,0,0
0.081444,0,0,0,0
0.082949,0,0,0,0
0.084499,0,0,0,0
0.085992,0,0,0,0
0.087485,0,0,0,0
0.088913,0,0,0,0
0.090406,0,0,0,0
0.092020,0,0,0,0
0.093543,0,0,0,0
0.095116,0,0,0,0
0.096819,0,0,0,0
0.098413,0,0,0,0
0.099975,0,0,0,0
0.101518,0,0,0,0
0.103103,0,0,0,0
0.104721,0,0,0,0
0.106194,0,0,0,0
0.107680,0,0,0,0
0.109149,0,0,0,0
0.110623,0,0,0,0
0.112005,0,0,0,0
0.113478,0,0,0,0
0.114956,0,0,0,0
0.116430,0,0,0,0
0.117904,0,0,0,0
0.119401,0,0,0,0
0.120957,0,0,0,0
0.122519,0,0,0,0
0.124094,0,0,0,0
0.125671,0,0,0,0
0.127356,0,0,0,0
0.128506,0,0,0,0
0.129627,0,0,0,0
0.131110,0,0,0,0
0.132463,0,0,0,0
0.133817,0,0,0,0
0.135199,0,0,0,0
0.136568,0,0,0,0
0.137930,0,0,0,0
0.139301,0,0,0,0
0.140701,0,0,0,0
0.142063,0,0,0,0
0.143456,0,0,0,0
0.144901,0,0,0,0
0.146212,0,0,0,0
0.147522,0,0,0,0
0.148987,0,0,0,0
0.150340,0,0,0,0
0.151779,0,0,0,0
0.153101,0,0,0,0
0.154416,0,0,0,0
0.155747,0,0,0,0
0.157058,0,0,0,0
0.158373,0,0,0,0
