elapsed_s,TSE_VP0_TRANSFORM_WORKING_CYCLE_L2,TSE_VP1_TRANSFORM_WORKING_CYCLE_L2,TSE_VP2_TRANSFORM_WORKING_CYCLE_L2,TSE_VERTEX_GEN_WORKING_CYCLE_L1
0.001186,0,0,0,0
0.002872,0,0,0,0
0.004516,0,0,0,0
0.006201,0,0,0,0
0.007982,0,0,0,0
0.009777,0,0,0,0
0.011317,0,0,0,0
0.012858,0,0,0,0
0.014399,0,0,0,0
0.015930,0,0,0,0
0.017360,0,0,0,0
0.018814,0,0,0,0
0.020234,0,0,0,0
0.021677,0,0,0,0
0.023122,0,0,0,0
0.024633,0,0,0,0
0.026146,0,0,0,0
0.027593,0,0,0,0
0.029135,0,0,0,0
0.030687,0,0,0,0
0.032344,0,0,0,0
0.033817,0,0,0,0
0.035290,0,0,0,0
0.036760,0,0,0,0
0.038236,0,0,0,0
0.039708,0,0,0,0
0.041186,0,0,0,0
0.042683,0,0,0,0
0.044173,0,0,0,0
0.045648,0,0,0,0
0.047124,0,0,0,0
0.048597,0,0,0,0
0.050071,0,0,0,0
0.051463,0,0,0,0
0.052934,0,0,0,0
0.054405,0,0,0,0
0.055878,0,0,0,0
0.057356,0,0,0,0
0.058851,0,0,0,0
0.060327,0,0,0,0
0.061804,0,0,0,0
0.063487,0,0,0,0
0.065157,0,0,0,0
0.066676,0,0,0,0
0.068130,0,0,0,0
0.069633,0,0,0,0
0.071157,0,0,0,0
0.072521,0,0,0,0
0.073954,0,0,0,0
0.075430,0,0,0,0
0.076914,0,0,0,0
0.078360,0,0,0,0
0.079776,0,0,0,0
0.081200,0,0,0,0
0.082698,0,0,0,0
0.084141,0,0,0,0
0.085568,0,0,0,0
0.087017,0,0,0,0
0.088373,0,0,0,0
0.089798,0,0,0,0
0.091335,0,0,0,0
0.093557,0,0,0,0
0.095635,0,0,0,0
0.097825,0,0,0,0
0.099571,0,0,0,0
0.101110,0,0,0,0
0.102615,0,0,0,0
0.104123,0,0,0,0
0.105582,0,0,0,0
0.107023,0,0,0,0
0.108497,0,0,0,0
0.109923,0,0,0,0
0.111400,0,0,0,0
0.112830,0,0,0,0
0.114306,0,0,0,0
0.115736,0,0,0,0
0.117156,0,0,0,0
0.118577,0,0,0,0
0.120056,0,0,0,0
0.121508,0,0,0,0
0.122996,0,0,0,0
0.124437,0,0,0,0
0.125877,0,0,0,0
0.127369,0,0,0,0
0.128897,0,0,0,0
0.132704,0,0,0,0
0.133873,0,0,0,0
0.135145,0,0,0,0
0.136574,0,0,0,0
0.137881,0,0,0,0
0.139267,0,0,0,0
0.140806,0,0,0,0
0.142227,0,0,0,0
0.143700,0,0,0,0
0.145139,0,0,0,0
0.146621,0,0,0,0
0.148124,0,0,0,0
0.149543,0,0,0,0
0.150922,0,0,0,0
0.152356,0,0,0,0
0.153723,0,0,0,0
0.155174,0,0,0,0
0.156537,0,0,0,0
0.157905,0,0,0,0
0.159337,0,0,0,0
0.161207,0,0,0,0
0.162601,0,0,0,0
0.163959,0,0,0,0
0.165317,0,0,0,0
0.166676,0,0,0,0
0.168044,0,0,0,0
0.169400,0,0,0,0
0.170788,0,0,0,0
0.172141,0,0,0,0
0.173495,0,0,0,0
0.174848,0,0,0,0
0.176282,0,0,0,0
0.177639,0,0,0,0
0.179030,0,0,0,0
0.181296,0,0,0,0
0.182655,0,0,0,0
0.184076,0,0,0,0
0.186176,0,0,0,0
0.187593,0,0,0,0
0.188992,0,0,0,0
0.190393,0,0,0,0
0.191786,0,0,0,0
0.193180,0,0,0,0
0.194624,0,0,0,0
