elapsed_s,TSE_DET_WORKING_CYCLE_L1,TSE_BBOX_WORKING_CYCLE_L1,TSE_CULLING_WORKING_CYCLE_L1,TSE_SETUP_WORKING_CYCLE_L1
0.001356,0,0,0,0
0.002941,0,0,0,0
0.004547,0,0,0,0
0.006113,0,0,0,0
0.007683,0,0,0,0
0.009202,0,0,0,0
0.010944,0,0,0,0
0.012460,0,0,0,0
0.014005,0,0,0,0
0.015501,0,0,0,0
0.016989,0,0,0,0
0.018492,0,0,0,0
0.019988,0,0,0,0
0.021412,0,0,0,0
0.022849,0,0,0,0
0.024289,0,0,0,0
0.025728,0,0,0,0
0.027169,0,0,0,0
0.028626,0,0,0,0
0.030154,0,0,0,0
0.031623,0,0,0,0
0.033064,0,0,0,0
0.034533,0,0,0,0
0.036002,0,0,0,0
0.037380,0,0,0,0
0.038850,0,0,0,0
0.040328,0,0,0,0
0.041799,0,0,0,0
0.043274,0,0,0,0
0.044768,0,0,0,0
0.046232,0,0,0,0
0.047704,0,0,0,0
0.049182,0,0,0,0
0.050662,0,0,0,0
0.052133,0,0,0,0
0.053513,0,0,0,0
0.054982,0,0,0,0
0.056455,0,0,0,0
0.057932,0,0,0,0
0.059400,0,0,0,0
0.060899,0,0,0,0
0.062377,0,0,0,0
0.063849,0,0,0,0
0.065323,0,0,0,0
0.066807,0,0,0,0
0.068307,0,0,0,0
0.069783,0,0,0,0
0.071283,0,0,0,0
0.072751,0,0,0,0
0.074253,0,0,0,0
0.075727,0,0,0,0
0.077297,0,0,0,0
0.078822,0,0,0,0
0.080326,0,0,0,0
0.081832,0,0,0,0
0.083328,0,0,0,0
0.084863,0,0,0,0
0.086322,0,0,0,0
0.087837,0,0,0,0
0.089363,0,0,0,0
0.090853,0,0,0,0
0.092516,0,0,171,171
0.094406,0,0,0,0
0.095972,0,0,0,0
0.097516,0,0,0,0
0.099059,0,0,0,0
0.100642,0,0,0,0
0.102277,0,0,0,0
0.103756,0,0,0,0
0.105225,0,0,0,0
0.106690,0,0,0,0
0.108188,0,0,0,0
0.109660,0,0,0,0
0.111132,0,0,0,0
0.112605,0,0,0,0
0.114083,0,0,0,0
0.115553,0,0,0,0
0.117050,0,0,0,0
0.118464,0,0,0,0
0.119857,0,0,0,0
0.121409,0,0,615,615
0.123627,0,0,1620,1620
0.124734,0,0,1620,1620
0.125974,0,0,1245,1245
0.127360,0,0,0,0
0.128668,0,0,0,0
0.130025,0,0,0,0
0.131332,0,0,0,0
0.132636,0,0,0,0
0.133966,0,0,0,0
0.135272,0,0,0,0
0.136575,0,0,0,0
0.137935,0,0,0,0
0.139258,0,0,0,0
0.140591,0,0,0,0
0.141897,0,0,0,0
0.143201,0,0,0,0
0.144539,0,0,0,0
0.145895,0,0,0,0
0.147199,0,0,0,0
0.148510,0,0,0,0
0.149863,0,0,0,0
0.151190,0,0,0,0
0.152605,0,0,0,0
0.153975,0,0,0,0
0.155389,0,0,0,0
0.156853,0,0,0,0
0.158288,0,0,0,0
0.159681,0,0,0,0
