elapsed_s,TSE_REG_PROGRAMMING_ONLY_CYCLE_L0,TSE_COMMON_RAM_WORKING_CYCLE_L2,TSE_COMMON_RAM_RD_WORKING_CYCLE_L3,TSE_COMMON_RAM_WR_WORKING_CYCLE_L3
0.001221,0,0,0,0
0.003077,0,0,0,0
0.004600,0,0,0,0
0.006241,0,0,0,0
0.007767,0,0,0,0
0.009319,0,0,0,0
0.010937,0,0,0,0
0.012492,0,0,0,0
0.014034,0,0,0,0
0.015593,0,0,0,0
0.017183,0,0,0,0
0.018804,0,0,0,0
0.020297,0,0,0,0
0.021779,0,0,0,0
0.023258,0,0,0,0
0.024738,0,0,0,0
0.026126,0,0,0,0
0.027596,0,0,0,0
0.029065,0,0,0,0
0.030540,0,0,0,0
0.032009,0,0,0,0
0.033501,0,0,0,0
0.034938,0,0,0,0
0.036409,0,0,0,0
0.037891,0,0,0,0
0.039334,0,0,0,0
0.040798,0,0,0,0
0.042224,0,0,0,0
0.043645,0,0,0,0
0.045067,0,0,0,0
0.046539,0,0,0,0
0.047963,0,0,0,0
0.049411,0,0,0,0
0.050863,0,0,0,0
0.052283,0,0,0,0
0.053750,0,0,0,0
0.055178,0,0,0,0
0.056607,0,0,0,0
0.058000,0,0,0,0
0.059489,0,0,0,0
0.060977,0,0,0,0
0.062407,0,0,0,0
0.063906,0,0,0,0
0.065361,0,0,0,0
0.066871,0,0,0,0
0.068302,0,0,0,0
0.069776,0,0,0,0
0.071207,0,0,0,0
0.072631,0,0,0,0
0.074022,0,0,0,0
0.075519,0,0,0,0
0.077012,0,0,0,0
0.078683,0,0,0,0
0.081025,0,0,0,0
0.082594,0,0,0,0
0.084164,0,0,0,0
0.085731,0,0,0,0
0.087222,0,0,0,0
0.088945,0,0,0,0
0.090952,0,0,0,0
0.092501,0,0,0,0
0.094053,0,0,0,0
0.095601,0,0,0,0
0.097189,0,0,0,0
0.098793,0,0,0,0
0.100264,0,0,0,0
0.101735,0,0,0,0
0.103210,0,0,0,0
0.104687,0,0,0,0
0.106068,0,0,0,0
0.107539,0,0,0,0
0.109012,0,0,0,0
0.110483,0,0,0,0
0.111978,0,0,0,0
0.113472,0,0,0,0
0.114999,0,0,0,0
0.116541,0,0,0,0
0.118192,0,0,0,0
0.120240,0,0,0,0
0.121394,0,0,0,0
0.122599,0,0,0,0
0.123943,0,0,0,0
0.125263,0,0,0,0
0.126575,0,0,0,0
0.127888,0,0,0,0
0.129224,0,0,0,0
0.130534,0,0,0,0
0.131879,0,0,0,0
0.133188,0,0,0,0
0.134499,0,0,0,0
0.135815,0,0,0,0
0.137137,0,0,0,0
0.138494,0,0,0,0
0.139848,0,0,0,0
0.141201,0,0,0,0
0.142555,0,0,0,0
0.143913,0,0,0,0
0.145290,0,0,0,0
0.146653,0,0,0,0
0.148018,0,0,0,0
0.149373,0,0,0,0
0.150771,0,0,0,0
0.152127,0,0,0,0
0.153517,0,0,0,0
0.155074,0,0,0,0
0.156473,0,0,0,0
0.157893,0,0,0,0
0.159285,0,0,0,0
0.160675,0,0,0,0
0.162161,0,0,0,0
0.163621,0,0,0,0
0.165078,0,0,0,0
0.166533,0,0,0,0
0.168003,0,0,0,0
0.169853,0,0,0,0
0.171344,0,0,0,0
0.172802,0,0,0,0
0.174260,0,0,0,0
0.175683,0,0,0,0
0.177236,0,0,0,0
0.178709,0,0,0,0
0.180167,0,0,0,0
0.181624,0,0,0,0
0.183146,0,0,0,0
0.184621,0,0,0,0
0.186285,0,0,0,0
0.187999,0,0,0,0
0.189542,0,0,0,0
0.191218,0,0,0,0
0.192993,0,0,0,0
0.194705,0,0,0,0
0.196416,0,0,0,0
0.198132,0,0,0,0
0.200067,0,0,0,0
0.201633,0,0,0,0
0.203112,0,0,0,0
0.204583,0,0,0,0
0.206248,0,0,0,0
0.207961,0,0,0,0
0.209741,0,0,0,0
0.211290,0,0,0,0
0.212955,0,0,0,0
0.214509,0,0,0,0
0.216218,0,0,0,0
0.217935,0,0,0,0
0.219648,0,0,0,0
0.221356,0,0,0,0
0.223095,0,0,0,0
0.224806,0,0,0,0
0.226327,0,0,0,0
0.227996,0,0,0,0
0.229709,0,0,0,0
0.231404,0,0,0,0
0.232999,0,0,0,0
0.234475,0,0,0,0
0.236271,0,0,0,0
0.238039,0,0,0,0
0.239796,0,0,0,0
0.241571,0,0,0,0
0.243309,0,0,0,0
0.245017,0,0,0,0
0.246728,0,0,0,0
0.248439,0,0,0,0
0.250152,0,0,0,0
0.251865,0,0,0,0
0.253940,0,0,0,0
0.255418,0,0,0,0
0.256959,0,0,0,0
0.258623,0,0,0,0
0.260338,0,0,0,0
0.262053,0,0,0,0
0.263785,0,0,0,0
0.265558,0,0,0,0
0.267277,0,0,0,0
0.268987,0,0,0,0
0.270700,0,0,0,0
0.272413,0,0,0,0
0.274025,0,0,0,0
0.275697,0,0,0,0
0.277405,0,0,0,0
0.279124,0,0,0,0
0.280897,0,0,0,0
0.282610,0,0,0,0
0.284340,0,0,0,0
0.286053,0,0,0,0
0.287766,0,0,0,0
0.289539,0,0,0,0
0.291246,0,0,0,0
0.292938,0,0,0,0
0.294471,0,0,0,0
0.295919,0,0,0,0
0.297643,0,0,0,0
0.299454,0,0,0,0
0.301161,0,0,0,0
0.302871,0,0,0,0
0.304580,0,0,0,0
0.306316,0,0,0,0
0.308026,0,0,0,0
0.309739,0,0,0,0
0.311448,0,0,0,0
0.313218,0,0,0,0
0.314737,0,0,0,0
0.316229,0,0,0,0
0.317894,0,0,0,0
0.319603,0,0,0,0
0.321375,0,0,0,0
0.323089,0,0,0,0
0.324796,0,0,0,0
0.326525,0,0,0,0
0.328235,0,0,0,0
0.329948,0,0,0,0
0.332085,0,0,0,0
0.333606,0,0,0,0
0.335281,0,0,0,0
0.336890,0,0,0,0
0.338564,0,0,0,0
0.340276,0,0,0,0
0.341989,0,0,0,0
0.343701,0,0,0,0
0.345476,0,0,0,0
0.347215,0,0,0,0
0.348924,0,0,0,0
0.350638,0,0,0,0
0.352335,0,0,0,0
0.353927,0,0,0,0
0.355421,0,0,0,0
0.356873,0,0,0,0
0.358355,0,0,0,0
0.360015,0,0,0,0
0.361732,0,0,0,0
0.363445,0,0,0,0
0.365155,0,0,0,0
0.366866,0,0,0,0
0.368421,0,0,0,0
0.370173,0,0,0,0
0.371967,0,0,0,0
0.373761,0,0,0,0
0.375556,0,0,0,0
0.377422,0,0,0,0
0.379236,0,0,0,0
0.381027,0,0,0,0
0.382894,0,0,0,0
0.384686,0,0,0,0
0.386206,0,0,0,0
0.387956,0,0,0,0
0.389565,0,0,0,0
0.391322,0,0,0,0
0.393189,0,0,0,0
0.394935,0,0,0,0
0.396684,0,0,0,0
0.398477,0,0,0,0
0.400290,0,0,0,0
0.402086,0,0,0,0
0.403879,0,0,0,0
0.405828,0,0,0,0
