elapsed_s,TSE_CLIP_VP_FADD_1_WORKING_CYCLE_L3,TSE_CLIP_VP_FADD_2_WORKING_CYCLE_L3,TSE_CLIP_VP_RCP_WORKING_CYCLE_L2,TSE_VP_TRANSFORM_WORKING_CYCLE_L1
0.001211,0,0,0,0
0.002798,0,0,0,0
0.004332,0,0,0,0
0.006437,0,0,0,0
0.008024,0,0,0,0
0.009593,0,0,0,0
0.011157,0,0,0,0
0.012689,0,0,0,0
0.014243,0,0,0,0
0.015666,0,0,0,0
0.017120,0,0,0,0
0.018555,0,0,0,0
0.020003,0,0,0,0
0.021438,0,0,0,0
0.022928,0,0,0,0
0.024362,0,0,0,0
0.025808,0,0,0,0
0.027240,0,0,0,0
0.028715,0,0,0,0
0.030200,0,0,0,0
0.031672,0,0,0,0
0.033168,0,0,0,0
0.034639,0,0,0,0
0.036109,0,0,0,0
0.037579,0,0,0,0
0.039068,0,0,0,0
0.040542,0,0,0,0
0.042014,0,0,0,0
0.043486,0,0,0,0
0.044960,0,0,0,0
0.046433,0,0,0,0
0.047905,0,0,0,0
0.049400,0,0,0,0
0.050875,0,0,0,0
0.052342,0,0,0,0
0.053812,0,0,0,0
0.055285,0,0,0,0
0.056763,0,0,0,0
0.058156,0,0,0,0
0.059729,0,0,0,0
0.061231,0,0,0,0
0.062696,0,0,0,0
0.064469,0,0,0,0
0.066157,0,0,0,0
0.067698,0,0,0,0
0.069199,0,0,0,0
0.070816,0,0,0,0
0.072341,0,0,0,0
0.073917,0,0,0,0
0.075468,0,0,0,0
0.076981,0,0,0,0
0.078546,0,0,0,0
0.080036,0,0,0,0
0.081524,0,0,0,0
0.083031,0,0,0,0
0.084529,0,0,0,0
0.086089,0,0,0,0
0.087603,0,0,0,0
0.089146,0,0,0,0
0.090759,0,0,0,0
0.092251,0,0,0,0
0.093872,0,0,0,0
0.095383,0,0,0,0
0.097114,0,0,0,0
0.098625,0,0,0,0
0.100115,0,0,0,0
0.101606,0,0,0,0
0.103108,0,0,0,0
0.104548,0,0,0,0
0.105978,0,0,0,0
0.107403,0,0,0,0
0.108824,0,0,0,0
0.110249,0,0,0,0
0.111672,0,0,0,0
0.113126,0,0,0,0
0.114627,0,0,0,0
0.116094,0,0,0,0
0.117556,0,0,0,0
0.119145,0,0,0,0
0.120670,0,0,0,0
0.122275,0,0,0,0
0.123797,0,0,0,0
0.125092,0,0,0,0
0.126970,0,0,0,0
0.128451,0,0,0,0
0.130028,0,0,0,0
0.131461,0,0,0,0
0.133088,0,0,0,0
0.134548,0,0,0,0
0.136023,0,0,0,0
0.137567,0,0,0,0
0.139108,0,0,0,0
0.140572,0,0,0,0
0.142103,0,0,0,0
0.144140,0,0,0,0
0.145680,0,0,0,0
0.147284,0,0,0,0
0.148744,0,0,0,0
0.150284,0,0,0,0
0.155117,0,0,0,0
0.156574,0,0,0,0
0.158073,0,0,0,0
0.159506,0,0,0,0
0.160944,0,0,0,0
0.166012,0,0,0,0
0.167710,0,0,0,0
0.169254,0,0,0,0
0.170937,0,0,0,0
0.172432,0,0,0,0
0.173862,0,0,0,0
0.175295,0,0,0,0
0.176716,0,0,0,0
0.178222,0,0,0,0
0.179692,0,0,0,0
0.181497,0,0,0,0
0.183168,0,0,0,0
0.184637,0,0,0,0
0.186155,0,0,0,0
0.187615,0,0,0,0
0.189071,0,0,0,0
0.190545,0,0,0,0
0.192009,0,0,0,0
0.193541,0,0,0,0
0.195125,0,0,0,0
0.196591,0,0,0,0
0.198062,0,0,0,0
0.199520,0,0,0,0
0.201240,0,0,0,0
0.202751,0,0,0,0
0.204415,0,0,0,0
0.206124,0,0,0,0
0.207832,0,0,0,0
0.209602,0,0,0,0
