elapsed_s,TSE_FE_ZERO_AREA_PRIM,TSE_FE_FACENESS_CULLED_PRIM,TSE_FE_ZERO_PIXEL_PRIM,TSE_FE_OUTPUT_NULL_PRIM
0.001524,0,0,0,0
0.003114,0,0,0,0
0.004648,0,0,0,0
0.006400,0,0,0,0
0.008084,0,0,0,0
0.009623,0,0,0,0
0.011169,0,0,0,0
0.012666,0,0,0,0
0.014119,0,0,0,0
0.015659,0,0,0,0
0.017204,0,0,0,0
0.018764,0,0,0,0
0.020330,0,0,0,0
0.021823,0,0,0,0
0.023394,0,0,0,0
0.024949,0,0,0,0
0.026502,0,0,0,0
0.028012,0,0,0,0
0.029569,0,0,0,0
0.031082,0,0,0,0
0.032504,0,0,0,0
0.033925,0,0,0,0
0.035368,0,0,0,0
0.036790,0,0,0,0
0.038214,0,0,0,0
0.039645,0,0,0,0
0.041068,0,0,0,0
0.042501,0,0,0,0
0.043925,0,0,0,0
0.045373,0,0,0,0
0.046845,0,0,0,0
0.048268,0,0,0,0
0.049691,0,0,0,0
0.051116,0,0,0,0
0.052556,0,0,0,0
0.054002,0,0,0,0
0.055438,0,0,0,0
0.056855,0,0,0,0
0.058275,0,0,0,0
0.059694,0,0,0,0
0.061173,0,0,0,0
0.062675,0,0,0,0
0.064114,0,0,0,0
0.065622,0,0,0,0
0.067098,0,0,0,0
0.068587,0,0,0,0
0.070041,0,0,0,0
0.071477,0,0,0,0
0.072905,0,0,0,0
0.074374,0,0,0,0
0.075798,0,0,0,0
0.077224,0,0,0,0
0.078564,0,0,0,0
0.080172,0,0,0,0
0.081672,0,0,0,0
0.083226,0,0,0,0
0.084743,0,0,0,0
0.086246,0,0,0,0
0.087747,0,0,0,0
0.089238,0,0,0,0
0.090809,0,0,0,0
0.092295,0,0,0,0
0.093889,0,0,0,0
0.095969,0,0,0,0
0.097478,0,0,0,0
0.099023,0,0,0,0
0.100525,0,0,0,0
0.102059,0,0,0,0
0.103503,0,0,0,0
0.104934,0,0,0,0
0.106399,0,0,0,0
0.107822,0,0,0,0
0.109244,0,0,0,0
0.110575,0,0,0,0
0.112002,0,0,0,0
0.113428,0,0,0,0
0.114903,0,0,0,0
0.116337,0,0,0,0
0.117788,0,0,0,0
0.119261,0,0,0,0
0.120756,0,0,0,0
0.122290,0,0,0,0
0.123851,0,0,0,0
0.125502,0,0,0,0
0.127229,0,0,0,0
0.128358,0,0,0,0
0.129489,0,0,0,0
0.131037,0,0,0,0
0.132452,0,0,0,0
0.133963,0,0,0,0
0.135532,0,0,0,0
0.137369,0,0,0,0
0.138843,0,0,0,0
0.140509,0,0,0,0
0.142041,0,0,0,0
0.143487,0,0,0,0
0.144964,0,0,0,0
0.146492,0,0,0,0
0.147973,0,0,0,0
0.149502,0,0,0,0
0.150965,0,0,0,0
0.152430,0,0,0,0
0.153892,0,0,0,0
0.155463,0,0,0,0
0.156928,0,0,0,0
0.158483,0,0,0,0
0.160272,0,0,0,0
0.161735,0,0,0,0
0.164764,0,0,0,0
0.166400,0,0,0,0
0.167856,0,0,0,0
0.169319,0,0,0,0
0.170771,0,0,0,0
0.172229,0,0,0,0
0.173745,0,0,0,0
0.175202,0,0,0,0
0.176654,0,0,0,0
0.178108,0,0,0,0
0.179682,0,0,0,0
0.181148,0,0,0,0
0.182686,0,0,0,0
0.184292,0,0,0,0
0.185749,0,0,0,0
0.187209,0,0,0,0
0.188676,0,0,0,0
0.190210,0,0,0,0
0.191685,0,0,0,0
0.193142,0,0,0,0
0.194605,0,0,0,0
0.196263,0,0,0,0
0.197774,0,0,0,0
0.199269,0,0,0,0
0.200754,0,0,0,0
0.202224,0,0,0,0
0.203691,0,0,0,0
0.205351,0,0,0,0
0.207057,0,0,0,0
0.208579,0,0,0,0
0.210248,0,0,0,0
0.211792,0,0,0,0
0.213526,0,0,0,0
0.215233,0,0,0,0
0.216942,0,0,0,0
0.218654,0,0,0,0
0.220361,0,0,0,0
0.222152,0,0,0,0
0.223798,0,0,0,0
0.225271,0,0,0,0
0.226934,0,0,0,0
0.228642,0,0,0,0
0.230354,0,0,0,0
0.231928,0,0,0,0
0.233591,0,0,0,0
0.235099,0,0,0,0
0.236750,0,0,0,0
0.238552,0,0,0,0
0.240081,0,0,0,0
0.241558,0,0,0,0
0.243051,0,0,0,0
0.244523,0,0,0,0
0.246053,0,0,0,0
0.247525,0,0,0,0
0.249181,0,0,0,0
0.250892,0,0,0,0
0.252585,0,0,0,0
0.254114,0,0,0,0
0.255779,0,0,0,0
0.257288,0,0,0,0
0.259055,0,0,0,0
