elapsed_s,RAS_SLICE_BLOCK_EMPTY,RAS_SAMPLE_MASK_GEN_LANE_0_WORKING_CC_L2,RAS_SAMPLE_MASK_GEN_LANE_1_WORKING_CC_L2,RAS_SAMPLE_MASK_GEN_LANE_2_WORKING_CC_L2
0.001095,0,0,0,0
0.002624,0,0,0,0
0.004067,0,0,0,0
0.005484,0,0,0,0
0.006967,0,0,0,0
0.008360,0,0,0,0
0.009770,0,0,0,0
0.011231,0,0,0,0
0.012653,0,0,0,0
0.014049,0,0,0,0
0.015506,0,0,0,0
0.016887,0,0,0,0
0.018288,0,0,0,0
0.019666,0,0,0,0
0.021055,0,0,0,0
0.022478,0,0,0,0
0.023777,0,0,0,0
0.025067,0,0,0,0
0.026411,0,0,0,0
0.027701,0,0,0,0
0.028992,0,0,0,0
0.030338,0,0,0,0
0.031608,0,0,0,0
0.032860,0,0,0,0
0.034189,0,0,0,0
0.035521,0,0,0,0
0.036855,0,0,0,0
0.038192,0,0,0,0
0.039638,0,0,0,0
0.041045,0,0,0,0
0.042452,0,0,0,0
0.043837,0,0,0,0
0.045221,0,0,0,0
0.046628,0,0,0,0
0.048239,0,0,0,0
0.049696,0,0,0,0
0.051921,0,0,0,0
0.053319,0,0,0,0
0.054749,0,0,0,0
0.056136,0,0,0,0
0.057544,0,0,0,0
0.058935,0,0,0,0
0.060323,0,0,0,0
0.061751,0,0,0,0
0.063335,0,0,0,0
0.064737,0,0,0,0
0.066133,0,0,0,0
0.071316,0,0,0,0
0.072555,0,0,0,0
0.073794,0,0,0,0
0.075032,0,0,0,0
0.076272,0,0,0,0
0.077650,0,0,0,0
0.078918,0,0,0,0
0.080160,0,0,0,0
0.081399,0,0,0,0
0.082642,0,0,0,0
0.083885,0,0,0,0
0.085130,0,0,0,0
0.086376,0,0,0,0
0.087614,0,0,0,0
0.088859,0,0,0,0
0.090105,0,0,0,0
0.091348,0,0,0,0
0.092589,0,0,0,0
0.093830,0,0,0,0
0.095109,0,0,0,0
0.096353,0,0,0,0
0.097767,0,0,0,0
0.099258,0,0,0,0
0.100642,0,0,0,0
0.102024,0,0,0,0
0.103461,0,0,0,0
0.104842,0,0,0,0
0.106210,0,0,0,0
0.107604,0,0,0,0
0.108987,0,0,0,0
0.110371,0,0,0,0
0.111801,0,0,0,0
0.113184,0,0,0,0
0.114720,0,0,0,0
0.116126,0,0,0,0
0.117616,0,0,0,0
0.119005,0,0,0,0
0.120382,0,0,0,0
0.121762,0,0,0,0
0.123315,0,0,0,0
