elapsed_s,CP_ICACHE_MISSES,CP_ICACHE_HITS,CP_ICACHE_STALL,CP_DCACHE_MISSES,CP_DCACHE_HITS,CP_DCACHE_STALLS,CP_AQE_SQE_STALL,CP_SQE_AQE_STARVE,CP_ISR_CYCLES,CP_SQE_MD8_STALL_CYCLES,CP_SQE_MESH_EXEC_CYCLES,CP_AQE_NUM_AS_CHUNKS,CP_AQE_NUM_MS_CHUNKS,CP_S_SKEW_BUFFER_FULL
0.004449,17,198,704,0,0,0,0,0,0,0,0,0,0,0
0.006023,17,198,721,0,0,0,0,0,0,0,0,0,0,0
0.012331,17,208,506,0,0,0,0,0,0,0,0,0,0,0
0.013806,17,208,510,0,0,0,0,0,0,0,0,0,0,0
0.022328,17,204,777,0,0,0,0,0,0,0,0,0,0,0
0.023875,17,202,690,0,0,0,0,0,0,0,0,0,0,0
0.030813,17,202,702,0,0,0,0,0,0,0,0,0,0,0
0.032349,17,202,755,0,0,0,0,0,0,0,0,0,0,0
0.033892,17,204,703,0,0,0,0,0,0,0,0,0,0,0
0.035471,17,202,676,0,0,0,0,0,0,0,0,0,0,0
0.043444,17,202,551,0,0,0,0,0,0,0,0,0,0,0
0.050399,17,208,536,0,0,0,0,0,0,0,0,0,0,0
0.051877,17,208,518,0,0,0,0,0,0,0,0,0,0,0
0.053345,17,204,509,0,0,0,0,0,0,0,0,0,0,0
0.055098,17,208,528,0,0,0,0,0,0,0,0,0,0,0
0.056565,17,204,514,0,0,0,0,0,0,0,0,0,0,0
0.058039,17,208,526,0,0,0,0,0,0,0,0,0,0,0
0.062315,17,208,533,0,0,0,0,0,0,0,0,0,0,0
0.063713,17,207,539,0,0,0,0,0,0,0,0,0,0,0
0.065181,17,207,531,0,0,0,0,0,0,0,0,0,0,0
0.066650,17,207,545,0,0,0,0,0,0,0,0,0,0,0
0.068123,17,203,541,0,0,0,0,0,0,0,0,0,0,0
0.069610,17,206,535,0,0,0,0,0,0,0,0,0,0,0
0.072270,17,205,517,0,0,0,0,0,0,0,0,0,0,0
0.073735,17,208,525,0,0,0,0,0,0,0,0,0,0,0
0.075199,17,208,523,0,0,0,0,0,0,0,0,0,0,0
0.076662,17,208,530,0,0,0,0,0,0,0,0,0,0,0
