elapsed_s,CP_PM4_DATA,CP_PM4_HEADERS,CP_VBIF_READ_BEATS,CP_VBIF_WRITE_BEATS,CP_SQE_INSTR_COUNTER,CP_CLUSTER_FE_US_FULL,CP_CLUSTER_FE_S_FULL,CP_CLUSTER_SP_VS_FULL,CP_CLUSTER_VPC_US_FULL,CP_CLUSTER_VPC_VS_FULL,CP_CLUSTER_GRAS_FULL,CP_CLUSTER_SP_PS_FULL,CP_CLUSTER_VPC_PS_FULL,CP_CLUSTER_PS_FULL
0.138835,0,0,36,1,253,0,0,0,0,0,0,0,0,0
0.140269,0,0,36,1,253,0,0,0,0,0,0,0,0,0
0.141794,0,0,36,1,253,0,0,0,0,0,0,0,0,0
0.143204,0,0,36,1,253,0,0,0,0,0,0,0,0,0
0.144605,0,0,36,1,253,0,0,0,0,0,0,0,0,0
0.146002,0,0,36,1,253,0,0,0,0,0,0,0,0,0
0.147412,0,0,36,1,249,0,0,0,0,0,0,0,0,0
0.148808,0,0,36,1,253,0,0,0,0,0,0,0,0,0
0.150202,0,0,36,1,253,0,0,0,0,0,0,0,0,0
0.151594,0,0,36,1,249,0,0,0,0,0,0,0,0,0
0.152987,0,0,36,1,253,0,0,0,0,0,0,0,0,0
0.154514,0,0,36,1,249,0,0,0,0,0,0,0,0,0
0.156132,0,0,36,1,253,0,0,0,0,0,0,0,0,0
0.157808,0,0,36,1,249,0,0,0,0,0,0,0,0,0
0.159412,0,0,36,1,249,0,0,0,0,0,0,0,0,0
0.161019,0,0,36,1,253,0,0,0,0,0,0,0,0,0
0.162625,0,0,36,1,253,0,0,0,0,0,0,0,0,0
0.164229,0,0,36,1,249,0,0,0,0,0,0,0,0,0
0.165838,0,0,36,1,249,0,0,0,0,0,0,0,0,0
0.167440,0,0,36,1,253,0,0,0,0,0,0,0,0,0
0.168941,0,0,36,1,253,0,0,0,0,0,0,0,0,0
0.170560,0,0,36,1,253,0,0,0,0,0,0,0,0,0
0.172155,0,0,36,1,253,0,0,0,0,0,0,0,0,0
0.173632,0,0,36,1,253,0,0,0,0,0,0,0,0,0
0.175081,0,0,36,1,253,0,0,0,0,0,0,0,0,0
0.176656,0,0,36,1,253,0,0,0,0,0,0,0,0,0
0.178264,0,0,36,1,253,0,0,0,0,0,0,0,0,0
0.179881,0,0,36,1,253,0,0,0,0,0,0,0,0,0
0.181357,0,0,36,1,253,0,0,0,0,0,0,0,0,0
0.182922,0,0,36,1,253,0,0,0,0,0,0,0,0,0
0.184464,0,0,36,1,249,0,0,0,0,0,0,0,0,0
0.186117,0,0,36,1,253,0,0,0,0,0,0,0,0,0
0.187722,0,0,36,1,253,0,0,0,0,0,0,0,0,0
0.189329,0,0,36,1,253,0,0,0,0,0,0,0,0,0
