elapsed_s,CP_LONG_PREEMPTIONS,CP_SQE_I_CACHE_STARVE,CP_SQE_IDLE,CP_SQE_PM4_STARVE_RB,CP_SQE_PM4_STARVE_IB1,CP_SQE_PM4_STARVE_IB2,CP_SQE_PM4_STARVE_IB3,CP_SQE_PM4_STARVE_FSDT,CP_SQE_PM4_STARVE_SDS,CP_SQE_MRB_STARVE,CP_SQE_RRB_STARVE,CP_SQE_VSD_STARVE,CP_VSD_DECODE_STARVE,CP_SQE_PIPE_OUT_STALL
0.113365,0,1646,454358,138,0,0,0,0,0,0,86,0,0,0
0.114757,0,1650,465833,138,0,0,0,0,0,0,90,0,0,0
0.116215,0,1656,481955,137,0,0,0,0,0,0,89,0,0,0
0.117659,0,1652,469777,137,0,0,0,0,0,0,89,0,0,0
0.119058,0,1652,464811,137,0,0,0,0,0,0,86,0,0,0
0.120454,0,1879,467046,137,0,0,0,0,0,0,85,0,0,0
0.121847,0,1646,465192,137,0,0,0,0,0,0,86,0,0,0
0.123239,0,1655,465302,138,0,0,0,0,0,0,88,0,0,0
0.124631,0,1652,463887,137,0,0,0,0,0,0,85,0,0,0
0.126021,0,1651,465193,137,0,0,0,0,0,0,88,0,0,0
0.127412,0,1656,466639,137,0,0,0,0,0,0,88,0,0,0
0.128832,0,1653,467683,137,0,0,0,0,0,0,85,0,0,0
0.130242,0,1653,483843,137,0,0,0,0,0,0,87,0,0,0
0.131758,0,1648,472352,137,0,0,0,0,0,0,86,0,0,0
0.133210,0,1764,455393,137,0,0,0,0,0,0,87,0,0,0
0.134694,0,1646,468863,137,0,0,0,0,0,0,85,0,0,0
0.136136,0,1800,511829,136,0,0,0,0,0,0,88,0,0,0
0.137760,0,1652,479387,137,0,0,0,0,0,0,90,0,0,0
0.139252,0,1657,467682,137,0,0,0,0,0,0,89,0,0,0
0.140775,0,1648,465628,137,0,0,0,0,0,0,87,0,0,0
0.142219,0,1649,452589,138,0,0,0,0,0,0,89,0,0,0
0.143662,0,1650,453350,137,0,0,0,0,0,0,90,0,0,0
0.145103,0,1646,524057,138,0,0,0,0,0,0,85,0,0,0
0.146586,0,1644,429037,137,0,0,0,0,0,0,90,0,0,0
0.148139,0,1649,480430,137,0,0,0,0,0,0,86,0,0,0
0.149759,0,1656,479083,137,0,0,0,0,0,0,89,0,0,0
0.151363,0,1667,485117,137,0,0,0,0,0,0,85,0,0,0
0.152973,0,1649,479109,137,0,0,0,0,0,0,86,0,0,0
0.154578,0,1689,477956,137,0,0,0,0,0,0,88,0,0,0
0.156185,0,1649,479028,137,0,0,0,0,0,0,86,0,0,0
0.157790,0,1648,479120,137,0,0,0,0,0,0,88,0,0,0
0.159394,0,1651,483212,137,0,0,0,0,0,0,89,0,0,0
0.161025,0,1654,565861,138,0,0,0,0,0,0,90,0,0,0
0.162580,0,1656,468180,137,0,0,0,0,0,0,87,0,0,0
0.164030,0,1655,453241,137,0,0,0,0,0,0,85,0,0,0
0.165600,0,1653,475946,158,0,0,0,0,0,0,87,0,0,0
0.167206,0,1646,478995,157,0,0,0,0,0,0,88,0,0,0
0.168683,0,1652,475045,158,0,0,0,0,0,0,89,0,0,0
