elapsed_s,HLSQ_STPROC_WAVE_CONTEXTS_LPAC,HLSQ_STPROC_WAVE_CONTEXT_CYCLES_LPAC,HLSQ_SPTROC_STCHE_WARMUP_INC_VS,HLSQ_SPTROC_STCHE_WARMUP_INC_FS,HLSQ_SPTROC_STCHE_WARMUP_INC_BV,HLSQ_SPTROC_STCHE_WARMUP_INC_LPAC
0.001101,0,0,0,0,0,0
0.002765,0,0,0,0,0,0
0.004285,0,0,0,0,0,0
0.005798,0,0,0,0,0,0
0.007424,0,0,0,0,0,0
0.008938,0,0,0,0,0,0
0.010464,0,0,0,0,0,0
0.011976,0,0,0,0,0,0
0.013490,0,0,0,0,0,0
0.015003,0,0,0,0,0,0
0.016694,0,0,0,0,0,0
0.018206,0,0,0,0,0,0
0.019853,0,0,0,0,0,0
0.021596,0,0,0,0,0,0
0.023171,0,0,0,0,0,0
0.024778,0,0,0,0,0,0
0.026266,0,0,0,0,0,0
0.027755,0,0,0,0,0,0
0.029246,0,0,0,0,0,0
0.030734,0,0,0,0,0,0
0.032242,0,0,0,0,0,0
0.033730,0,0,0,0,0,0
0.035286,0,0,0,0,0,0
0.036862,0,0,0,0,0,0
0.038419,0,0,0,0,0,0
0.039973,0,0,0,0,0,0
0.041529,0,0,0,0,0,0
0.043090,0,0,0,0,0,0
0.044649,0,0,0,0,0,0
0.046203,0,0,0,0,0,0
0.047749,0,0,0,0,0,0
0.049172,0,0,0,0,0,0
0.050610,0,0,0,0,0,0
0.052034,0,0,0,0,0,0
0.053462,0,0,0,0,0,0
0.054885,0,0,0,0,0,0
0.056308,0,0,0,0,0,0
0.057697,0,0,0,0,0,0
0.059135,0,0,0,0,0,0
0.060467,0,0,0,0,0,0
0.061841,0,0,0,0,0,0
0.063217,0,0,0,0,0,0
0.064598,0,0,0,0,0,0
0.065979,0,0,0,0,0,0
0.067397,0,0,0,0,0,0
0.068754,0,0,0,0,0,0
0.070111,0,0,0,0,0,0
0.071469,0,0,0,0,0,0
0.073528,0,0,0,0,0,0
0.074932,0,0,0,0,0,0
0.076296,0,0,0,0,0,0
0.077657,0,0,0,0,0,0
0.079015,0,0,0,0,0,0
