elapsed_s,HLSQ_VSDP_BR_QUERY_BUSY,HLSQ_VSDP_BV_QUERY_BUSY,HLSQ_VSDP_BR_QUERY_FAIL,HLSQ_VSDP_BV_QUERY_FAIL,HLSQ_VS_CTXT_BUF_FULL_BLOCK_CPI,HLSQ_FS_CTXT_BUF_FULL_BLOCK_CPI
0.001100,0,0,0,0,0,0
0.002681,0,0,0,0,0,0
0.004283,0,0,0,0,0,0
0.005858,0,0,0,0,0,0
0.007374,0,0,0,0,0,0
0.008889,0,0,0,0,0,0
0.010416,0,0,0,0,0,0
0.012034,0,0,0,0,0,0
0.013550,0,0,0,0,0,0
0.015136,0,0,0,0,0,0
0.016626,0,0,0,0,0,0
0.018116,0,0,0,0,0,0
0.019608,0,0,0,0,0,0
0.021107,0,0,0,0,0,0
0.022652,0,0,0,0,0,0
0.024285,0,0,0,0,0,0
0.025793,0,0,0,0,0,0
0.027299,0,0,0,0,0,0
0.028803,0,0,0,0,0,0
0.030344,0,0,0,0,0,0
0.031914,0,0,0,0,0,0
0.033289,0,0,0,0,0,0
0.034662,0,0,0,0,0,0
0.036035,0,0,0,0,0,0
0.037408,0,0,0,0,0,0
0.038796,0,0,0,0,0,0
0.040149,0,0,0,0,0,0
0.041510,0,0,0,0,0,0
0.042881,0,0,0,0,0,0
0.044234,0,0,0,0,0,0
0.045621,0,0,0,0,0,0
0.047023,0,0,0,0,0,0
0.048397,0,0,0,0,0,0
0.049753,0,0,0,0,0,0
0.051112,0,0,0,0,0,0
0.052467,0,0,0,0,0,0
0.053885,0,0,0,0,0,0
0.055236,0,0,0,0,0,0
0.056588,0,0,0,0,0,0
0.057954,0,0,0,0,0,0
0.059310,0,0,0,0,0,0
0.060663,0,0,0,0,0,0
0.062056,0,0,0,0,0,0
0.063407,0,0,0,0,0,0
0.064772,0,0,0,0,0,0
0.066126,0,0,0,0,0,0
0.067481,0,0,0,0,0,0
0.068688,0,0,0,0,0,0
0.070052,0,0,0,0,0,0
0.071471,0,0,0,0,0,0
0.072872,0,0,0,0,0,0
0.074269,0,0,0,0,0,0
0.075678,0,0,0,0,0,0
0.077076,0,0,0,0,0,0
0.078525,0,0,0,0,0,0
0.080047,0,0,0,0,0,0
0.081441,0,0,0,0,0,0
0.082900,0,0,0,0,0,0
0.084291,0,0,0,0,0,0
0.085690,0,0,0,0,0,0
0.087425,0,0,0,0,0,0
0.088843,0,0,0,0,0,0
0.090230,0,0,0,0,0,0
0.091616,0,0,0,0,0,0
0.093006,0,0,0,0,0,0
0.094394,0,0,0,0,0,0
0.095794,0,0,0,0,0,0
0.097192,0,0,0,0,0,0
0.098589,0,0,0,0,0,0
0.099987,0,0,0,0,0,0
0.101377,0,0,0,0,0,0
0.102802,0,0,0,0,0,0
0.104215,0,0,0,0,0,0
0.105604,0,0,0,0,0,0
0.107004,0,0,0,0,0,0
0.108402,0,0,0,0,0,0
0.109833,0,0,0,0,0,0
0.111233,0,0,0,0,0,0
0.112629,0,0,0,0,0,0
0.114026,0,0,0,0,0,0
0.115423,0,0,0,0,0,0
0.116936,0,0,0,0,0,0
0.118553,0,0,0,0,0,0
0.120120,0,0,0,0,0,0
0.121680,0,0,0,0,0,0
0.123245,0,0,0,0,0,0
0.124807,0,0,0,0,0,0
0.126409,0,0,0,0,0,0
0.127971,0,0,0,0,0,0
0.129546,0,0,0,0,0,0
0.131110,0,0,0,0,0,0
0.132672,0,0,0,0,0,0
0.134276,0,0,0,0,0,0
0.135838,0,0,0,0,0,0
0.137400,0,0,0,0,0,0
0.138963,0,0,0,0,0,0
0.140540,0,0,0,0,0,0
0.142143,0,0,0,0,0,0
0.143706,0,0,0,0,0,0
0.145268,0,0,0,0,0,0
0.146914,0,0,0,0,0,0
0.148382,0,0,0,0,0,0
0.149828,0,0,0,0,0,0
0.151369,0,0,0,0,0,0
0.152930,0,0,0,0,0,0
0.154490,0,0,0,0,0,0
0.156000,0,0,0,0,0,0
0.157531,0,0,0,0,0,0
0.159139,0,0,0,0,0,0
0.160701,0,0,0,0,0,0
0.162275,0,0,0,0,0,0
0.163837,0,0,0,0,0,0
0.165399,0,0,0,0,0,0
0.166963,0,0,0,0,0,0
0.168522,0,0,0,0,0,0
0.170080,0,0,0,0,0,0
0.171643,0,0,0,0,0,0
0.173208,0,0,0,0,0,0
0.174760,0,0,0,0,0,0
0.176397,0,0,0,0,0,0
0.177799,0,0,0,0,0,0
0.179194,0,0,0,0,0,0
0.180721,0,0,0,0,0,0
0.182325,0,0,0,0,0,0
0.183901,0,0,0,0,0,0
0.185337,0,0,0,0,0,0
0.186737,0,0,0,0,0,0
0.188296,0,0,0,0,0,0
0.189686,0,0,0,0,0,0
0.191097,0,0,0,0,0,0
0.193111,0,0,0,0,0,0
0.194525,0,0,0,0,0,0
0.196165,0,0,0,0,0,0
0.197640,0,0,0,0,0,0
0.199066,0,0,0,0,0,0
0.200433,0,0,0,0,0,0
0.201796,0,0,0,0,0,0
0.203159,0,0,0,0,0,0
0.204529,0,0,0,0,0,0
0.205928,0,0,0,0,0,0
0.207351,0,0,0,0,0,0
0.208769,0,0,0,0,0,0
0.210188,0,0,0,0,0,0
0.211670,0,0,0,0,0,0
0.213147,0,0,0,0,0,0
0.214579,0,0,0,0,0,0
0.216045,0,0,0,0,0,0
0.217385,0,0,0,0,0,0
0.218715,0,0,0,0,0,0
0.220049,0,0,0,0,0,0
0.221373,0,0,0,0,0,0
0.222707,0,0,0,0,0,0
0.224146,0,0,0,0,0,0
0.225693,0,0,0,0,0,0
0.228110,0,0,0,0,0,0
0.229525,0,0,0,0,0,0
0.230970,0,0,0,0,0,0
0.232370,0,0,0,0,0,0
0.233820,0,0,0,0,0,0
0.235299,0,0,0,0,0,0
0.236693,0,0,0,0,0,0
0.238090,0,0,0,0,0,0
0.239484,0,0,0,0,0,0
0.240878,0,0,0,0,0,0
0.242269,0,0,0,0,0,0
0.243661,0,0,0,0,0,0
0.245096,0,0,0,0,0,0
0.246395,0,0,0,0,0,0
0.247795,0,0,0,0,0,0
0.249200,0,0,0,0,0,0
0.250597,0,0,0,0,0,0
0.252046,0,0,0,0,0,0
0.253443,0,0,0,0,0,0
0.254879,0,0,0,0,0,0
0.256286,0,0,0,0,0,0
0.257682,0,0,0,0,0,0
0.259070,0,0,0,0,0,0
0.260464,0,0,0,0,0,0
0.261897,0,0,0,0,0,0
0.263334,0,0,0,0,0,0
0.264726,0,0,0,0,0,0
0.266116,0,0,0,0,0,0
0.267805,0,0,0,0,0,0
0.270902,0,0,0,0,0,0
0.272290,0,0,0,0,0,0
0.273671,0,0,0,0,0,0
0.275100,0,0,0,0,0,0
0.276489,0,0,0,0,0,0
0.277922,0,0,0,0,0,0
0.279313,0,0,0,0,0,0
0.280704,0,0,0,0,0,0
0.282094,0,0,0,0,0,0
0.283483,0,0,0,0,0,0
0.284873,0,0,0,0,0,0
0.286312,0,0,0,0,0,0
0.287703,0,0,0,0,0,0
0.289143,0,0,0,0,0,0
0.290533,0,0,0,0,0,0
0.292062,0,0,0,0,0,0
0.293482,0,0,0,0,0,0
0.295100,0,0,0,0,0,0
0.296654,0,0,0,0,0,0
0.298689,0,0,0,0,0,0
0.300332,0,0,0,0,0,0
0.301927,0,0,0,0,0,0
0.303356,0,0,0,0,0,0
0.304884,0,0,0,0,0,0
0.306441,0,0,0,0,0,0
0.308307,0,0,0,0,0,0
0.309727,0,0,0,0,0,0
0.311144,0,0,0,0,0,0
0.312539,0,0,0,0,0,0
0.313930,0,0,0,0,0,0
0.315323,0,0,0,0,0,0
0.316842,0,0,0,0,0,0
0.318436,0,0,0,0,0,0
0.319992,0,0,0,0,0,0
0.321566,0,0,0,0,0,0
0.323129,0,0,0,0,0,0
0.324690,0,0,0,0,0,0
0.326250,0,0,0,0,0,0
0.327681,0,0,0,0,0,0
0.329079,0,0,0,0,0,0
0.330473,0,0,0,0,0,0
0.331906,0,0,0,0,0,0
0.333293,0,0,0,0,0,0
0.334718,0,0,0,0,0,0
0.336106,0,0,0,0,0,0
0.337473,0,0,0,0,0,0
0.338991,0,0,0,0,0,0
0.340420,0,0,0,0,0,0
0.341832,0,0,0,0,0,0
0.343371,0,0,0,0,0,0
0.344932,0,0,0,0,0,0
0.346492,0,0,0,0,0,0
0.348117,0,0,0,0,0,0
0.349677,0,0,0,0,0,0
0.351282,0,0,0,0,0,0
0.352718,0,0,0,0,0,0
0.354259,0,0,0,0,0,0
0.355689,0,0,0,0,0,0
0.357222,0,0,0,0,0,0
0.358783,0,0,0,0,0,0
0.360417,0,0,0,0,0,0
0.361852,0,0,0,0,0,0
0.363255,0,0,0,0,0,0
0.364662,0,0,0,0,0,0
0.366095,0,0,0,0,0,0
0.367486,0,0,0,0,0,0
0.368876,0,0,0,0,0,0
0.370265,0,0,0,0,0,0
0.371654,0,0,0,0,0,0
0.373046,0,0,0,0,0,0
0.374484,0,0,0,0,0,0
0.375857,0,0,0,0,0,0
0.377222,0,0,0,0,0,0
0.378585,0,0,0,0,0,0
0.380053,0,0,0,0,0,0
0.381417,0,0,0,0,0,0
0.382858,0,0,0,0,0,0
0.384207,0,0,0,0,0,0
0.385556,0,0,0,0,0,0
0.386995,0,0,0,0,0,0
0.388371,0,0,0,0,0,0
0.389732,0,0,0,0,0,0
0.391056,0,0,0,0,0,0
0.392475,0,0,0,0,0,0
0.393795,0,0,0,0,0,0
0.395107,0,0,0,0,0,0
0.396524,0,0,0,0,0,0
0.397955,0,0,0,0,0,0
0.399381,0,0,0,0,0,0
0.400721,0,0,0,0,0,0
0.402062,0,0,0,0,0,0
0.403404,0,0,0,0,0,0
0.404745,0,0,0,0,0,0
0.406195,0,0,0,0,0,0
0.407682,0,0,0,0,0,0
0.409105,0,0,0,0,0,0
0.410517,0,0,0,0,0,0
0.412325,0,0,0,0,0,0
0.413829,0,0,0,0,0,0
0.415233,0,0,0,0,0,0
0.416647,0,0,0,0,0,0
0.418043,0,0,0,0,0,0
0.420248,0,0,0,0,0,0
0.421642,0,0,0,0,0,0
0.423073,0,0,0,0,0,0
0.424467,0,0,0,0,0,0
0.425862,0,0,0,0,0,0
0.427327,0,0,0,0,0,0
0.428839,0,0,0,0,0,0
0.430336,0,0,0,0,0,0
0.431741,0,0,0,0,0,0
0.433138,0,0,0,0,0,0
0.434798,0,0,0,0,0,0
0.436350,0,0,0,0,0,0
0.437795,0,0,0,0,0,0
0.439192,0,0,0,0,0,0
0.440604,0,0,0,0,0,0
0.442125,0,0,0,0,0,0
0.443587,0,0,0,0,0,0
0.444986,0,0,0,0,0,0
0.446421,0,0,0,0,0,0
0.447812,0,0,0,0,0,0
0.449202,0,0,0,0,0,0
0.450598,0,0,0,0,0,0
0.452036,0,0,0,0,0,0
0.453424,0,0,0,0,0,0
0.454903,0,0,0,0,0,0
0.456294,0,0,0,0,0,0
0.457686,0,0,0,0,0,0
0.459076,0,0,0,0,0,0
0.460468,0,0,0,0,0,0
0.461901,0,0,0,0,0,0
0.463292,0,0,0,0,0,0
0.464682,0,0,0,0,0,0
0.466447,0,0,0,0,0,0
0.467877,0,0,0,0,0,0
0.469284,0,0,0,0,0,0
0.470810,0,0,0,0,0,0
0.472529,0,0,0,0,0,0
0.474089,0,0,0,0,0,0
0.475652,0,0,0,0,0,0
0.477214,0,0,0,0,0,0
0.478774,0,0,0,0,0,0
0.480379,0,0,0,0,0,0
0.481939,0,0,0,0,0,0
0.483390,0,0,0,0,0,0
0.484923,0,0,0,0,0,0
0.486525,0,0,0,0,0,0
0.488046,0,0,0,0,0,0
0.489568,0,0,0,0,0,0
0.490999,0,0,0,0,0,0
0.492530,0,0,0,0,0,0
0.494142,0,0,0,0,0,0
0.495703,0,0,0,0,0,0
0.497263,0,0,0,0,0,0
0.498896,0,0,0,0,0,0
0.500521,0,0,0,0,0,0
0.502122,0,0,0,0,0,0
0.503682,0,0,0,0,0,0
