elapsed_s,HLSQ_LPAC_S2W_CYCLES_SP,HLSQ_BV_S2W_CYCLES_SP,HLSQ_L2STC_REQ_HLSQ,HLSQ_L2STC_REQ_HLSQ_HIT,HLSQ_L2STC_REQ_SP,HLSQ_L2STC_REQ_SP_HIT
0.001103,0,0,0,0,0,0
0.002893,0,0,0,0,0,0
0.004486,0,0,0,0,0,0
0.005967,0,0,0,0,0,0
0.007444,0,0,0,0,0,0
0.008964,0,0,0,0,0,0
0.010464,0,0,0,0,0,0
0.012009,0,0,0,0,0,0
0.013475,0,0,0,0,0,0
0.014920,0,0,0,0,0,0
0.016373,0,0,0,0,0,0
0.017832,0,0,0,0,0,0
0.019333,0,0,0,0,0,0
0.020775,0,0,0,0,0,0
0.022418,0,0,0,0,0,0
0.023850,0,0,0,0,0,0
0.025388,0,0,0,0,0,0
0.026944,0,0,0,0,0,0
0.028390,0,0,0,0,0,0
0.029898,0,0,0,0,0,0
0.031409,0,0,0,0,0,0
0.032962,0,0,0,0,0,0
0.034351,0,0,0,0,0,0
0.035740,0,0,0,0,0,0
0.037170,0,0,0,0,0,0
0.038568,0,0,0,0,0,0
0.039925,0,0,0,0,0,0
0.041299,0,0,0,0,0,0
0.042717,0,0,0,0,0,0
0.044132,0,0,0,0,0,0
0.045493,0,0,0,0,0,0
0.046848,0,0,0,0,0,0
0.048413,0,0,0,0,0,0
0.049830,0,0,0,0,0,0
0.051269,0,0,0,0,0,0
0.052640,0,0,0,0,0,0
0.054027,0,0,0,0,0,0
0.055385,0,0,0,0,0,0
0.056739,0,0,0,0,0,0
0.058095,0,0,0,0,0,0
0.059468,0,0,0,0,0,0
0.060944,0,0,0,0,0,0
0.062351,0,0,0,0,0,0
0.063749,0,0,0,0,0,0
0.065243,0,0,0,0,0,0
0.066648,0,0,0,0,0,0
0.068194,0,0,0,0,0,0
0.069591,0,0,0,0,0,0
0.070998,0,0,80,40,144,138
0.072260,0,0,0,0,0,0
0.073649,0,0,0,0,0,0
0.075111,0,0,0,0,0,0
0.076521,0,0,0,0,0,0
0.077918,0,0,0,0,0,0
0.079314,0,0,0,0,0,0
0.080709,0,0,0,0,0,0
0.082106,0,0,0,0,0,0
0.083545,0,0,0,0,0,0
0.084940,0,0,0,0,0,0
0.086334,0,0,0,0,0,0
0.087736,0,0,0,0,0,0
0.089254,0,0,0,0,0,0
0.093303,0,0,0,0,0,0
0.094695,0,0,0,0,0,0
0.096119,0,0,0,0,0,0
0.097609,0,0,0,0,0,0
0.099040,0,0,0,0,0,0
0.100506,0,0,0,0,0,0
0.102059,0,0,0,0,0,0
0.103456,0,0,0,0,0,0
0.104850,0,0,0,0,0,0
0.106241,0,0,0,0,0,0
0.107666,0,0,0,0,0,0
0.109066,0,0,0,0,0,0
0.110584,0,0,0,0,0,0
0.112243,0,0,0,0,0,0
0.114344,0,0,0,0,0,0
0.115902,0,0,0,0,0,0
0.117334,0,0,0,0,0,0
0.118737,0,0,0,0,0,0
0.120150,0,0,0,0,0,0
0.121550,0,0,0,0,0,0
0.122948,0,0,0,0,0,0
0.124388,0,0,0,0,0,0
0.125785,0,0,0,0,0,0
0.127184,0,0,0,0,0,0
0.128713,0,0,0,0,0,0
0.130289,0,0,0,0,0,0
