elapsed_s,VPC_FE_VPCRAM_FULL_CYCLES,VPC_FE_NUM_VPCRAM_WRITE,VPC_FE_STALL_CYCLES_TSE_FE,VPC_FE_STALL_CYCLES_VPC_US,VPC_FE_TSE_FE_PRIMITIVES,VPC_FE_GS_PRIMITIVES
0.001098,0,0,0,0,0,0
0.002645,0,0,0,0,0,0
0.004159,0,0,0,0,0,0
0.005674,0,0,0,0,0,0
0.007185,0,0,0,0,0,0
0.008685,0,0,0,0,0,0
0.010211,0,0,0,0,0,0
0.011724,0,0,0,0,0,0
0.013321,0,0,0,0,0,0
0.014810,0,0,0,0,0,0
0.016294,0,0,0,0,0,0
0.017925,0,0,0,0,0,0
0.019413,0,0,0,0,0,0
0.020925,0,0,0,0,0,0
0.022462,0,0,0,0,0,0
0.023947,0,0,0,0,0,0
0.025436,0,0,0,0,0,0
0.026923,0,0,0,0,0,0
0.028410,0,0,0,0,0,0
0.030067,0,0,0,0,0,0
0.031572,0,0,0,0,0,0
0.033057,0,0,0,0,0,0
0.034539,0,0,0,0,0,0
0.036024,0,0,0,0,0,0
0.037511,0,0,0,0,0,0
0.038996,0,0,0,0,0,0
0.040482,0,0,0,0,0,0
0.042055,0,0,0,0,0,0
0.043541,0,0,0,0,0,0
0.045089,0,0,0,0,0,0
0.046644,0,0,0,0,0,0
0.048077,0,0,0,0,0,0
0.049510,0,0,0,0,0,0
0.050942,0,0,0,0,0,0
0.052381,0,0,0,0,0,0
0.053899,0,0,0,0,0,0
0.055321,0,0,0,0,0,0
0.056744,0,0,0,0,0,0
0.058165,0,0,0,0,0,0
0.059599,0,0,0,0,0,0
0.061039,0,0,0,0,0,0
0.062488,0,0,0,0,0,0
0.064025,0,0,0,0,0,0
0.065430,0,0,0,0,0,0
0.066832,0,0,0,0,0,0
0.068229,0,0,0,0,0,0
0.069597,0,0,0,0,0,0
0.070955,0,0,0,0,0,0
0.072315,0,0,0,0,0,0
0.073800,0,0,0,0,0,0
0.075154,0,0,0,0,0,0
0.076827,0,0,0,0,0,0
0.078266,0,0,0,0,0,0
