elapsed_s,PC_S_DS_INVOCATIONS,PC_S_VS_INVOCATIONS,PC_S_GS_INVOCATIONS,PC_S_DS_PRIMITIVES,PC_S_TESS_BUSY_CYCLES,PC_S_TESS_WORKING_CYCLES,PC_S_TESS_STALL_CYCLES_PC,PC_S_TESS_STARVE_CYCLES_PC
0.001097,0,0,0,0,0,0,0,13659
0.002794,0,0,0,0,0,0,0,14049
0.004225,0,0,0,0,0,0,0,13500
0.005631,0,0,0,0,0,0,0,13383
0.007084,0,0,0,0,0,0,0,13758
0.008488,0,0,0,0,0,0,0,13653
0.009904,0,0,0,0,0,0,0,13584
0.011354,0,0,0,0,0,0,0,13509
0.012766,0,0,0,0,0,0,0,13575
0.014168,0,0,0,0,0,0,0,13650
0.015592,0,0,0,0,0,0,0,13530
0.017009,0,0,0,0,0,0,0,13587
0.018491,0,0,0,0,0,0,0,13800
0.019876,0,0,0,0,0,0,0,13614
0.021268,0,0,0,0,0,0,0,13593
0.022703,0,0,0,0,0,0,0,13704
0.024083,0,0,0,0,0,0,0,13749
0.025464,0,0,0,0,0,0,0,13410
0.026845,0,0,0,0,0,0,0,13581
0.028227,0,0,0,0,0,0,0,13494
0.029608,0,0,0,0,0,0,0,13659
0.031038,0,0,0,0,0,0,0,13638
0.032428,0,0,0,0,0,0,0,13791
0.033809,0,0,0,0,0,0,0,13689
0.035187,0,0,0,0,0,0,0,13509
0.036548,0,0,0,0,0,0,0,13674
0.037909,0,0,0,0,0,0,0,13737
0.039320,0,0,0,0,0,0,0,13809
0.040703,0,0,0,0,0,0,0,13581
0.042068,0,0,0,0,0,0,0,13824
0.043517,0,0,0,0,0,0,0,13659
0.044886,0,0,0,0,0,0,0,13692
0.046254,0,0,0,0,0,0,0,13689
0.047635,0,0,0,0,0,0,0,13779
0.048996,0,0,0,0,0,0,0,13635
0.050427,0,0,0,0,0,0,0,13575
0.051797,0,0,0,0,0,0,0,13665
0.053170,0,0,0,0,0,0,0,13593
0.054500,0,0,0,0,0,0,0,14013
0.055821,0,0,0,0,0,0,0,13509
0.057140,0,0,0,0,0,0,0,13845
0.058509,0,0,0,0,0,0,0,13839
