elapsed_s,PC_US_STARVE_CYCLES_DI,PC_US_VIS_STREAMS_LOADED,PC_US_INSTANCES,PC_US_DEAD_PRIM,PC_US_SLICE_LIVE_PRIM,PC_US_3D_DRAWCALLS,PC_US_2D_DRAWCALLS,PC_US_NON_DRAWCALL_GLOBAL_EVENTS
0.001124,0,0,0,0,0,0,0,0
0.002799,0,0,0,0,0,0,0,0
0.004249,0,0,0,0,0,0,0,0
0.005703,0,0,0,0,0,0,0,0
0.007087,0,0,0,0,0,0,0,0
0.008468,0,0,0,0,0,0,0,0
0.009918,0,0,0,0,0,0,0,0
0.011315,0,0,0,0,0,0,0,0
0.012748,0,0,0,0,0,0,0,0
0.014245,0,0,0,0,0,0,0,0
0.015624,0,0,0,0,0,0,0,0
0.016989,0,0,0,0,0,0,0,0
0.018361,0,0,0,0,0,0,0,0
0.019723,0,0,0,0,0,0,0,0
0.021090,0,0,0,0,0,0,0,0
0.022410,0,0,0,0,0,0,0,0
0.023730,0,0,0,0,0,0,0,0
0.025062,0,0,0,0,0,0,0,0
0.026354,0,0,0,0,0,0,0,0
0.027629,0,0,0,0,0,0,0,0
0.028936,0,0,0,0,0,0,0,0
0.030301,0,0,0,0,0,0,0,0
0.031707,0,0,0,0,0,0,0,0
0.033073,0,0,0,0,0,0,0,0
0.034444,0,0,0,0,0,0,0,0
0.035817,0,0,0,0,0,0,0,0
0.038030,0,0,0,0,0,0,0,0
0.039479,0,0,0,0,0,0,0,0
0.040889,0,0,0,0,0,0,0,0
0.042367,0,0,0,0,0,0,0,0
0.043788,0,0,0,0,0,0,0,0
0.045347,0,0,0,0,0,0,0,0
0.046752,0,0,0,0,0,0,0,0
0.048174,0,0,0,0,0,0,0,0
0.049582,0,0,0,0,0,0,0,0
0.050997,0,0,0,0,0,0,0,0
0.052455,0,0,0,0,0,0,0,0
0.053872,0,0,0,0,0,0,0,22
0.055287,0,0,0,0,0,0,0,0
0.056701,0,0,0,0,0,0,0,0
0.058181,0,0,0,0,0,0,0,0
0.059689,0,0,0,0,0,0,0,0
0.061261,0,0,0,0,0,0,0,0
0.062729,0,0,0,0,0,0,0,0
0.064139,0,0,0,0,0,0,0,58
0.065402,0,0,0,0,0,0,0,50
0.066822,0,0,0,0,0,0,0,0
0.068230,0,0,0,0,0,0,0,0
