elapsed_s,PC_S_STALL_CYCLES_TESS,PC_S_STALL_CYCLES_VFD_ONLY,PC_S_STALL_CYCLES_VPC_ONLY,PC_S_VPC_PRIMITIVES,PC_S_VERTEX_HITS,PC_S_IA_VERTICES,PC_S_IA_PRIMITIVES,PC_S_HS_INVOCATIONS
0.001095,0,0,0,0,0,0,0,0
0.002577,0,0,0,0,0,0,0,0
0.004215,0,0,0,0,0,0,0,0
0.005758,0,0,0,0,0,0,0,0
0.007301,0,0,0,0,0,0,0,0
0.008900,0,0,0,0,0,0,0,0
0.010452,0,0,0,0,0,0,0,0
0.011996,0,0,0,0,0,0,0,0
0.013539,0,0,0,0,0,0,0,0
0.015114,0,0,0,0,0,0,0,0
0.016681,0,0,0,0,0,0,0,0
0.018237,0,0,0,0,0,0,0,0
0.019780,0,0,0,0,0,0,0,0
0.021533,0,0,0,0,0,0,0,0
0.023130,0,0,0,0,0,0,0,0
0.024803,0,0,0,0,0,0,0,0
0.026345,0,0,0,0,0,0,0,0
0.027887,0,0,0,0,0,0,0,0
0.029430,0,0,0,0,0,0,0,0
0.030969,0,0,0,0,0,0,0,0
0.032613,0,0,0,0,0,0,0,0
0.034155,0,0,0,0,0,0,0,0
0.035695,0,0,0,0,0,0,0,0
0.037236,0,0,0,0,0,0,0,0
0.038775,0,0,0,0,0,0,0,0
0.040391,0,0,0,0,0,0,0,0
0.041907,0,0,0,0,0,0,0,0
0.043431,0,0,0,0,0,0,0,0
0.044949,0,0,0,0,0,0,0,0
0.046465,0,0,0,0,0,0,0,0
0.047982,0,0,0,0,0,0,0,0
0.049502,0,0,0,0,0,0,0,0
0.051061,0,0,0,0,0,0,0,0
0.052579,0,0,0,0,0,0,0,0
0.054107,0,0,0,0,0,0,0,0
0.055688,0,0,0,0,0,0,0,0
0.057153,0,0,0,0,0,0,0,0
0.058734,0,0,0,0,0,0,0,0
0.060299,0,0,0,0,0,0,0,0
0.061758,0,0,0,0,0,0,0,0
0.063369,0,0,0,0,0,0,0,0
0.064804,0,0,0,0,0,0,0,0
0.066235,0,0,0,0,0,0,0,0
0.067667,0,0,0,0,0,0,0,0
0.069098,0,0,0,0,0,0,0,0
0.070569,0,0,0,0,0,0,0,0
0.072018,0,0,0,0,0,0,0,0
