elapsed_s,TSE_DET_WORKING_CYCLE_L1,TSE_BBOX_WORKING_CYCLE_L1,TSE_CULLING_WORKING_CYCLE_L1,TSE_SETUP_WORKING_CYCLE_L1
0.001165,0,0,0,0
0.002876,0,0,0,0
0.004373,0,0,0,0
0.005822,0,0,0,0
0.007270,0,0,0,0
0.008711,0,0,0,0
0.010281,0,0,0,0
0.011778,0,0,0,0
0.013219,0,0,0,0
0.014693,0,0,0,0
0.016237,0,0,0,0
0.017655,0,0,0,0
0.019070,0,0,0,0
0.020497,0,0,0,0
0.021924,0,0,0,0
0.023388,0,0,0,0
0.024802,0,0,0,0
0.026226,0,0,0,0
0.027643,0,0,0,0
0.029060,0,0,0,0
0.030473,0,0,0,0
0.031901,0,0,0,0
0.033402,0,0,0,0
0.034882,0,0,0,0
0.036356,0,0,0,0
0.037832,0,0,0,0
0.039305,0,0,0,0
0.040781,0,0,0,0
0.042371,0,0,0,0
0.043863,0,0,0,0
0.045349,0,0,0,0
0.046824,0,0,0,0
0.048336,0,0,0,0
0.049876,0,0,0,0
0.051216,0,0,0,0
0.052588,0,0,0,0
0.053928,0,0,0,0
0.055267,0,0,0,0
0.056640,0,0,0,0
0.057987,0,0,0,0
0.059331,0,0,0,0
0.060677,0,0,0,0
0.062023,0,0,0,0
0.063378,0,0,0,0
0.064739,0,0,0,0
0.066268,0,0,0,0
0.067725,0,0,474,474
0.069117,0,0,0,0
0.070504,0,0,0,0
0.071891,0,0,0,0
0.073794,0,0,0,0
0.075536,0,0,0,0
0.076925,0,0,1344,1344
0.078273,0,0,0,0
0.079660,0,0,0,0
0.081092,0,0,0,0
0.082548,0,0,0,0
0.083933,0,0,0,0
0.086402,0,0,0,0
0.087798,0,0,0,0
0.089563,0,0,0,0
0.090945,0,0,0,0
0.092325,0,0,0,0
0.097173,0,0,0,0
0.098631,0,0,0,0
0.099978,0,0,0,0
0.101373,0,0,0,0
0.102752,0,0,0,0
0.104131,0,0,0,0
0.105510,0,0,0,0
0.107023,0,0,0,0
0.108425,0,0,0,0
0.109796,0,0,0,0
0.111141,0,0,0,0
0.112535,0,0,0,0
0.113879,0,0,0,0
0.115221,0,0,0,0
0.116561,0,0,0,0
0.117900,0,0,0,0
0.119239,0,0,0,0
0.120591,0,0,0,0
