elapsed_s,VPC_US_STARVE_CYCLES_TSE_FE,VPC_US_PTUS_FULL,VPC_US_COMP_INVIS_PRIM_COUNT,VPC_US_STALL_CYCLES_VSC,VPC_US_STALL_CYCLES_VPC_BE,VPC_US_STALL_CYCLES_UCHE
0.001104,0,0,0,0,0,0
0.002655,0,0,0,0,0,0
0.004170,0,0,0,0,0,0
0.005714,0,0,0,0,0,0
0.007227,0,0,0,0,0,0
0.008737,0,0,0,0,0,0
0.010260,0,0,0,0,0,0
0.011774,0,0,0,0,0,0
0.013284,0,0,0,0,0,0
0.014971,0,0,0,0,0,0
0.016459,0,0,0,0,0,0
0.018140,0,0,0,0,0,0
0.019599,0,0,0,0,0,0
0.021070,0,0,0,0,0,0
0.022558,0,0,0,0,0,0
0.024019,0,0,0,0,0,0
0.025458,0,0,0,0,0,0
0.027038,0,0,0,0,0,0
0.028484,0,0,0,0,0,0
0.029924,0,0,0,0,0,0
0.031417,0,0,0,0,0,0
0.032843,0,0,0,0,0,0
0.034318,0,0,0,0,0,0
0.035743,0,0,0,0,0,0
0.037169,0,0,0,0,0,0
0.038596,0,0,0,0,0,0
0.040043,0,0,0,0,0,0
0.041483,0,0,0,0,0,0
0.042969,0,0,0,0,0,0
0.044396,0,0,0,0,0,0
0.045903,0,0,0,0,0,0
0.047405,0,0,0,0,0,0
0.048788,0,0,0,0,0,0
0.050171,0,0,0,0,0,0
0.051609,0,0,0,0,0,0
0.053000,0,0,0,0,0,0
0.054425,0,0,0,0,0,0
0.055806,0,0,0,0,0,0
0.057180,0,0,0,0,0,0
0.058554,0,0,0,0,0,0
0.059982,0,0,0,0,0,0
0.061358,0,0,0,0,0,0
0.062752,0,0,0,0,0,0
0.064078,0,0,0,0,0,0
0.065417,0,0,0,0,0,0
0.066741,0,0,0,0,0,0
0.068070,0,0,0,0,0,0
0.069404,0,0,0,0,0,0
0.070739,0,0,0,0,0,0
0.072066,0,0,0,0,0,0
0.073405,0,0,0,0,0,0
0.074737,0,0,0,0,0,0
0.076061,78,0,0,0,0,0
0.077728,0,0,0,0,0,0
0.079149,0,0,0,0,0,0
0.080509,0,0,0,0,0,0
0.081865,0,0,0,0,0,0
0.083223,0,0,0,0,0,0
0.084599,0,0,0,0,0,0
0.085951,0,0,0,0,0,0
0.087305,0,0,0,0,0,0
0.088674,186,0,0,0,0,0
0.089880,378,0,0,0,0,0
0.091088,375,0,0,0,0,0
0.092296,378,0,0,0,0,0
0.093502,378,0,0,0,0,0
0.094732,381,0,0,0,0,0
0.096007,396,0,0,0,0,0
0.097261,381,0,0,0,0,0
0.098520,399,0,0,0,0,0
0.099773,396,0,0,0,0,0
0.101030,381,0,0,0,0,0
0.103160,672,0,0,0,0,0
0.104414,378,0,0,0,0,0
0.105751,384,0,0,0,0,0
0.107174,0,0,0,0,0,0
0.108549,0,0,0,0,0,0
0.109968,0,0,0,0,0,0
0.111332,0,0,0,0,0,0
0.112676,0,0,0,0,0,0
0.114031,0,0,0,0,0,0
0.115551,0,0,0,0,0,0
0.116896,0,0,0,0,0,0
0.118243,0,0,0,0,0,0
0.119584,0,0,0,0,0,0
0.120925,0,0,0,0,0,0
0.122266,0,0,0,0,0,0
0.123607,0,0,0,0,0,0
0.124949,0,0,0,0,0,0
0.126318,0,0,0,0,0,0
0.127743,0,0,0,0,0,0
0.129123,0,0,0,0,0,0
0.130574,0,0,0,0,0,0
0.132034,0,0,0,0,0,0
0.133488,0,0,0,0,0,0
0.134915,0,0,0,0,0,0
0.136365,0,0,0,0,0,0
0.137794,0,0,0,0,0,0
0.139172,0,0,0,0,0,0
0.140532,0,0,0,0,0,0
0.141967,0,0,0,0,0,0
0.143371,0,0,0,0,0,0
0.144701,0,0,0,0,0,0
0.146023,0,0,0,0,0,0
0.147345,0,0,0,0,0,0
0.148669,0,0,0,0,0,0
0.150002,0,0,0,0,0,0
0.151326,0,0,0,0,0,0
0.152647,0,0,0,0,0,0
0.153968,0,0,0,0,0,0
0.155291,0,0,0,0,0,0
0.156612,0,0,0,0,0,0
0.157936,0,0,0,0,0,0
0.159486,0,0,0,0,0,0
0.160917,0,0,0,0,0,0
0.162317,0,0,0,0,0,0
0.163846,0,0,0,0,0,0
0.165406,0,0,0,0,0,0
0.166972,0,0,0,0,0,0
0.168533,0,0,0,0,0,0
0.170096,0,0,0,0,0,0
0.171548,0,0,0,0,0,0
0.173079,0,0,0,0,0,0
0.174685,0,0,0,0,0,0
0.176248,0,0,0,0,0,0
0.177812,0,0,0,0,0,0
0.179374,0,0,0,0,0,0
0.180935,0,0,0,0,0,0
0.182510,0,0,0,0,0,0
0.184679,0,0,0,0,0,0
0.186099,0,0,0,0,0,0
0.187500,0,0,0,0,0,0
0.188899,0,0,0,0,0,0
0.190342,0,0,0,0,0,0
0.191735,0,0,0,0,0,0
0.193139,0,0,0,0,0,0
0.194531,0,0,0,0,0,0
0.196057,0,0,0,0,0,0
0.197675,0,0,0,0,0,0
0.199235,0,0,0,0,0,0
0.200796,0,0,0,0,0,0
0.202359,0,0,0,0,0,0
0.203924,0,0,0,0,0,0
0.205475,0,0,0,0,0,0
0.207079,0,0,0,0,0,0
0.208640,0,0,0,0,0,0
0.210203,0,0,0,0,0,0
0.211765,0,0,0,0,0,0
0.213325,0,0,0,0,0,0
0.214904,0,0,0,0,0,0
0.216465,0,0,0,0,0,0
0.218029,0,0,0,0,0,0
0.219582,0,0,0,0,0,0
0.221133,0,0,0,0,0,0
0.222604,0,0,0,0,0,0
0.224135,0,0,0,0,0,0
0.225710,0,0,0,0,0,0
0.227273,0,0,0,0,0,0
0.228832,0,0,0,0,0,0
0.230394,0,0,0,0,0,0
0.231955,0,0,0,0,0,0
0.233514,0,0,0,0,0,0
0.235080,0,0,0,0,0,0
0.236651,0,0,0,0,0,0
0.238256,0,0,0,0,0,0
0.239817,0,0,0,0,0,0
0.241376,0,0,0,0,0,0
0.242941,0,0,0,0,0,0
0.244500,0,0,0,0,0,0
0.246063,0,0,0,0,0,0
0.248351,0,0,0,0,0,0
0.249779,0,0,0,0,0,0
0.251183,0,0,0,0,0,0
