elapsed_s,CP_NEVER_COUNT,CP_ALWAYS_COUNT,CP_BUSY_GFX_CORE_IDLE,CP_BUSY_CYCLES,CP_NUM_PREEMPTIONS,CP_PREEMPTION_REACTION_DELAY,CP_PREEMPTION_SWITCH_OUT_TIME,CP_PREEMPTION_SWITCH_IN_TIME,CP_DEAD_DRAWS_IN_BIN_RENDER,CP_PREDICATED_DRAWS_KILLED,CP_MODE_SWITCH,CP_ZPASS_DONE,CP_CONTEXT_DONE,CP_CACHE_FLUSH
1.296918,0,206273,4000,206275,0,0,0,0,0,0,0,0,96,1
1.298249,0,214316,76288,206254,1,562,42893,15252,0,0,0,0,24,3
1.299764,0,150614,31728,78334,0,0,0,0,0,0,0,0,13,2
1.301535,0,101621,1418,1417,0,0,0,0,0,0,0,0,0,0
1.303285,0,269981,90943,201486,1,702,26742,23695,0,0,0,0,33,0
1.304819,0,211526,392,211534,0,0,0,0,0,0,0,0,108,1
1.306124,0,208474,357,208474,0,0,0,0,0,0,0,0,0,0
1.307581,0,262441,109380,193596,1,551,33700,14746,0,0,0,0,37,5
1.309200,0,110814,1908,1907,0,0,0,0,0,0,0,0,0,0
1.311013,0,265936,89252,196890,1,731,27962,23022,0,0,0,0,33,0
1.312560,0,216194,371,214684,0,0,0,0,0,0,0,0,108,1
1.313857,0,206939,122,206924,0,0,0,0,0,0,0,0,0,0
1.315427,0,294034,125873,205715,1,576,43392,16944,0,0,0,0,37,5
1.317055,0,116439,1593,1592,0,0,0,0,0,0,0,0,0,0
1.319018,0,221974,93717,118459,1,713,28427,24291,0,0,0,0,33,0
1.320542,0,217608,46,216302,0,0,0,0,0,0,0,0,12,0
1.321829,0,205175,2813,205165,0,0,0,0,0,0,0,0,96,1
1.323110,0,236619,5930,134364,0,0,0,0,0,0,0,0,4,2
1.325242,0,157954,1412,1411,0,0,0,0,0,0,0,0,0,0
1.327508,0,232807,32531,118285,0,0,0,0,0,0,0,0,33,0
1.328966,0,208308,48,208325,0,0,0,0,0,0,0,0,59,0
1.330247,0,204733,1413,204716,0,0,0,0,0,0,0,0,49,1
1.331591,0,162277,3670,59635,0,0,0,0,0,0,0,0,4,2
1.333495,0,108591,1659,1658,0,0,0,0,0,0,0,0,0,0
1.335289,0,166868,30727,70485,0,0,0,0,0,0,0,0,33,0
1.336629,0,212125,48,210051,0,0,0,0,0,0,0,0,12,0
1.337911,0,204916,3209,204907,0,0,0,0,0,0,0,0,96,1
1.339473,0,208945,18125,128152,0,0,0,0,0,0,0,0,4,2
1.341415,0,119237,3065,3064,0,0,0,0,0,0,0,0,0,0
1.343108,0,95601,1616,1615,0,0,0,0,0,0,0,0,0,0
1.344759,0,91471,1618,1617,0,0,0,0,0,0,0,0,0,0
1.346364,0,91048,1558,1557,0,0,0,0,0,0,0,0,0,0
1.347967,0,94117,1545,1544,0,0,0,0,0,0,0,0,0,0
1.349655,0,102566,1563,1562,0,0,0,0,0,0,0,0,0,0
