elapsed_s,CP_SQE_SYNC_STALL,CP_SQE_PM4_WFI_STALL,CP_SQE_SYS_WFI_STALL,CP_WAIT_ON_OTHER_PIPE,CP_OUTPUT_BLOCKED,CP_SQE_T4_EXEC,CP_SQE_LOAD_STATE_EXEC,CP_SQE_SAVE_SDS_STATE,CP_SQE_DRAW_EXEC,CP_SQE_CTXT_REG_BUNCH_EXEC,CP_SQE_EXEC_PROFILED,CP_MEMORY_POOL_EMPTY,CP_MEMORY_POOL_SYNC_STALL,CP_MEMORY_POOL_ABOVE_THRESH
0.106759,0,0,0,0,0,0,0,0,0,0,469998,469582,0,0
0.108200,0,0,0,0,0,0,0,0,0,0,454414,454290,0,0
0.109635,0,0,0,0,0,0,0,0,0,0,507658,507387,0,0
0.111119,0,0,0,0,0,0,0,0,0,0,453168,452964,0,0
0.112554,0,0,0,0,0,0,0,0,0,0,469025,468845,0,0
0.114123,0,0,0,0,0,0,0,0,0,0,466990,466832,0,0
0.117769,0,0,0,0,0,0,0,0,0,0,512493,512242,0,0
0.119258,0,0,0,0,0,0,0,0,0,0,472755,472572,0,0
0.120696,0,0,0,0,0,0,0,0,0,0,461677,461471,0,0
0.122141,0,0,0,0,0,0,0,0,0,0,624433,624678,0,0
0.123707,0,0,0,0,0,0,0,0,0,0,460373,459343,0,0
0.125085,0,0,0,0,0,0,0,0,0,0,453215,453020,0,0
0.126499,0,0,0,0,0,0,0,0,0,0,451367,451171,0,0
0.127862,0,0,0,0,0,0,0,0,0,0,448227,448032,0,0
0.129234,0,0,0,0,0,0,0,0,0,0,450945,450779,0,0
0.130684,0,0,0,0,0,0,0,0,0,0,518972,519144,0,0
0.132215,0,0,0,0,0,0,0,0,0,0,467087,466904,0,0
0.133653,0,0,0,0,0,0,0,0,0,0,484313,484108,0,0
0.135117,0,0,0,0,0,0,0,0,0,0,452785,452607,0,0
0.136551,0,0,0,0,0,0,0,0,0,0,467965,467753,0,0
0.138017,0,0,0,0,0,0,0,0,0,0,514771,514576,0,0
0.139506,0,0,0,0,0,0,0,0,0,0,464849,464653,0,0
0.140946,0,0,0,0,0,0,0,0,0,0,456201,456018,0,0
0.142389,0,0,0,0,0,0,0,0,0,0,459043,458854,0,0
0.143829,0,0,0,0,0,0,0,0,0,0,455330,455118,0,0
0.145268,0,0,0,0,0,0,0,0,0,0,455844,455662,0,0
0.146709,0,0,0,0,0,0,0,0,0,0,458385,458194,0,0
0.148277,0,0,0,0,0,0,0,0,0,0,484849,484654,0,0
0.149773,0,0,0,0,0,0,0,0,0,0,458896,458501,0,0
0.151354,0,0,0,0,0,0,0,0,0,0,466412,466177,0,0
0.152958,0,0,0,0,0,0,0,0,0,0,464296,464113,0,0
0.154609,0,0,0,0,0,0,0,0,0,0,465322,465143,0,0
0.156214,0,0,0,0,0,0,0,0,0,0,465482,465285,0,0
0.157819,0,0,0,0,0,0,0,0,0,0,511645,511442,0,0
0.159468,0,0,0,0,0,0,0,0,0,0,464352,464179,0,0
0.160960,0,0,0,0,0,0,0,0,0,0,451474,451286,0,0
0.162581,0,0,0,0,0,0,0,0,0,0,466254,466049,0,0
0.164188,0,0,0,0,0,0,0,0,0,0,464489,464301,0,0
0.165792,0,0,0,0,0,0,0,0,0,0,468913,468726,0,0
0.167402,0,0,0,0,0,0,0,0,0,0,465482,465294,0,0
0.169006,0,0,0,0,0,0,0,0,0,0,465927,465750,0,0
0.170657,0,0,0,0,0,0,0,0,0,0,466134,466018,0,0
0.172278,0,0,0,0,0,0,0,0,0,0,464858,464612,0,0
0.173885,0,0,0,0,0,0,0,0,0,0,471126,470911,0,0
0.175483,0,0,0,0,0,0,0,0,0,0,459264,459075,0,0
0.177078,0,0,0,0,0,0,0,0,0,0,460983,460812,0,0
0.178552,0,0,0,0,0,0,0,0,0,0,453126,452933,0,0
0.180125,0,0,0,0,0,0,0,0,0,0,463177,462979,0,0
0.181728,0,0,0,0,0,0,0,0,0,0,468771,468582,0,0
0.183348,0,0,0,0,0,0,0,0,0,0,462541,462355,0,0
0.184951,0,0,0,0,0,0,0,0,0,0,464997,464809,0,0
0.186598,0,0,0,0,0,0,0,0,0,0,465445,465259,0,0
0.188202,0,0,0,0,0,0,0,0,0,0,463611,463422,0,0
0.189805,0,0,0,0,0,0,0,0,0,0,509027,508849,0,0
