elapsed_s,RB_C_WRITE,RB_TOTAL_PASS,RB_Z_PASS,RB_Z_FAIL,RB_S_FAIL,RB_BLENDED_FXP_COMPONENTS,RB_BLENDED_FP16_COMPONENTS,RB_PS_INVOCATIONS
0.221809,0,0,0,0,0,0,0,0
0.223183,0,0,0,0,0,0,0,0
0.224557,0,0,0,0,0,0,0,0
0.225937,0,0,0,0,0,0,0,0
0.227309,0,0,0,0,0,0,0,0
0.228683,0,0,0,0,0,0,0,0
0.230055,0,0,0,0,0,0,0,0
0.231430,0,0,0,0,0,0,0,0
0.232839,0,0,0,0,0,0,0,0
0.234269,0,0,0,0,0,0,0,0
0.235663,0,0,0,0,0,0,0,0
0.237050,0,0,0,0,0,0,0,0
0.238427,0,0,0,0,0,0,0,0
0.239698,0,0,0,0,0,0,0,0
0.241074,0,0,0,0,0,0,0,0
0.242451,0,0,0,0,0,0,0,0
0.243826,0,0,0,0,0,0,0,0
0.245202,0,0,0,0,0,0,0,0
0.246645,0,0,0,0,0,0,0,0
0.247970,0,0,0,0,0,0,0,0
0.249301,0,0,0,0,0,0,0,0
0.250729,0,0,0,0,0,0,0,0
0.252156,0,0,0,0,0,0,0,0
0.253584,0,0,0,0,0,0,0,0
0.255011,0,0,0,0,0,0,0,0
0.256437,0,0,0,0,0,0,0,0
0.257862,0,0,0,0,0,0,0,0
0.259295,0,0,0,0,0,0,0,0
0.260754,0,0,0,0,0,0,0,0
0.262180,0,0,0,0,0,0,0,0
0.263647,0,0,0,0,0,0,0,0
0.264965,0,0,0,0,0,0,0,0
0.266389,0,0,0,0,0,0,0,0
0.267857,0,0,0,0,0,0,0,0
0.269246,0,0,0,0,0,0,0,0
0.270635,0,0,0,0,0,0,0,0
0.272003,0,0,0,0,0,0,0,0
0.273372,0,0,0,0,0,0,0,0
0.274620,0,0,0,0,0,0,0,0
0.276049,0,0,0,0,0,0,0,0
0.277440,0,0,0,0,0,0,0,0
0.278812,0,0,0,0,0,0,0,0
0.280196,0,0,0,0,0,0,0,0
0.281619,0,0,0,0,0,0,0,0
0.283172,0,0,0,0,0,0,0,0
0.284572,0,0,0,0,0,0,0,0
0.285976,0,0,0,0,0,0,0,0
0.287378,0,0,0,0,0,0,0,0
0.288780,0,0,0,0,0,0,0,0
0.290181,0,0,0,0,0,0,0,0
0.291580,0,0,0,0,0,0,0,0
0.292987,0,0,0,0,0,0,0,0
0.294383,0,0,0,0,0,0,0,0
0.295800,0,0,0,0,0,0,0,0
0.297244,0,0,0,0,0,0,0,0
0.298734,0,0,0,0,0,0,0,0
0.300141,0,0,0,0,0,0,0,0
0.301542,0,0,0,0,0,0,0,0
0.302943,0,0,0,0,0,0,0,0
0.304355,0,0,0,0,0,0,0,0
0.305756,0,0,0,0,0,0,0,0
0.307161,0,0,0,0,0,0,0,0
0.308569,0,0,0,0,0,0,0,0
0.310105,0,0,0,0,0,0,0,0
0.312250,0,0,0,0,0,0,0,0
0.313823,0,0,0,0,0,0,0,0
0.315411,0,0,0,0,0,0,0,0
0.316986,0,0,0,0,0,0,0,0
0.318561,0,0,0,0,0,0,0,0
0.320126,0,0,0,0,0,0,0,0
0.321690,0,0,0,0,0,0,0,0
0.323130,0,0,0,0,0,0,0,0
0.324733,0,0,0,0,0,0,0,0
0.326316,0,0,0,0,0,0,0,0
0.327892,0,0,0,0,0,0,0,0
0.329507,0,0,0,0,0,0,0,0
0.331082,0,0,0,0,0,0,0,0
0.332655,0,0,0,0,0,0,0,0
0.334225,0,0,0,0,0,0,0,0
0.335861,0,0,0,0,0,0,0,0
0.337444,0,0,0,0,0,0,0,0
0.339018,0,0,0,0,0,0,0,0
0.340591,0,0,0,0,0,0,0,0
0.342161,0,0,0,0,0,0,0,0
0.343604,0,0,0,0,0,0,0,0
0.345189,0,0,0,0,0,0,0,0
0.346763,0,0,0,0,0,0,0,0
0.348349,0,0,0,0,0,0,0,0
0.349921,0,0,0,0,0,0,0,0
0.351492,0,0,0,0,0,0,0,0
0.353061,0,0,0,0,0,0,0,0
0.354633,0,0,0,0,0,0,0,0
0.356204,0,0,0,0,0,0,0,0
0.357773,0,0,0,0,0,0,0,0
0.359358,0,0,0,0,0,0,0,0
0.360930,0,0,0,0,0,0,0,0
0.362500,0,0,0,0,0,0,0,0
0.363933,0,0,0,0,0,0,0,0
0.365346,0,0,0,0,0,0,0,0
0.366884,0,0,0,0,0,0,0,0
0.368456,0,0,0,0,0,0,0,0
0.370041,0,0,0,0,0,0,0,0
0.371613,0,0,0,0,0,0,0,0
0.373185,0,0,0,0,0,0,0,0
0.374758,0,0,0,0,0,0,0,0
0.376246,0,0,0,0,0,0,0,0
0.377787,0,0,0,0,0,0,0,0
0.380571,0,0,0,0,0,0,0,0
0.382486,0,0,0,0,0,0,0,0
0.383973,0,0,0,0,0,0,0,0
0.385384,0,0,0,0,0,0,0,0
0.386821,0,0,0,0,0,0,0,0
0.388270,0,0,0,0,0,0,0,0
0.389643,0,0,0,0,0,0,0,0
0.391006,0,0,0,0,0,0,0,0
0.392406,0,0,0,0,0,0,0,0
0.393788,0,0,0,0,0,0,0,0
0.395195,0,0,0,0,0,0,0,0
0.396553,0,0,0,0,0,0,0,0
0.397911,0,0,0,0,0,0,0,0
0.399317,0,0,0,0,0,0,0,0
0.400672,0,0,0,0,0,0,0,0
0.402023,0,0,0,0,0,0,0,0
0.403424,0,0,0,0,0,0,0,0
0.404786,0,0,0,0,0,0,0,0
0.406147,0,0,0,0,0,0,0,0
0.407545,0,0,0,0,0,0,0,0
0.408943,0,0,0,0,0,0,0,0
0.410270,0,0,0,0,0,0,0,0
0.411690,0,0,0,0,0,0,0,0
0.413020,0,0,0,0,0,0,0,0
0.414349,0,0,0,0,0,0,0,0
0.415692,0,0,0,0,0,0,0,0
0.417022,0,0,0,0,0,0,0,0
0.418351,0,0,0,0,0,0,0,0
0.419690,0,0,0,0,0,0,0,0
0.421020,0,0,0,0,0,0,0,0
0.422350,0,0,0,0,0,0,0,0
0.423691,0,0,0,0,0,0,0,0
0.425060,0,0,0,0,0,0,0,0
0.426381,0,0,0,0,0,0,0,0
0.427698,0,0,0,0,0,0,0,0
0.429010,0,0,0,0,0,0,0,0
0.430323,0,0,0,0,0,0,0,0
0.431646,0,0,0,0,0,0,0,0
0.432961,0,0,0,0,0,0,0,0
0.434272,0,0,0,0,0,0,0,0
0.435608,0,0,0,0,0,0,0,0
0.436926,0,0,0,0,0,0,0,0
0.438237,0,0,0,0,0,0,0,0
0.439571,0,0,0,0,0,0,0,0
0.440874,0,0,0,0,0,0,0,0
0.442250,0,0,0,0,0,0,0,0
0.443646,0,0,0,0,0,0,0,0
0.445022,0,0,0,0,0,0,0,0
0.446398,0,0,0,0,0,0,0,0
0.447776,0,0,0,0,0,0,0,0
0.449209,0,0,0,0,0,0,0,0
0.450645,0,0,0,0,0,0,0,0
0.451980,0,0,0,0,0,0,0,0
0.453410,0,0,0,0,0,0,0,0
0.454729,0,0,0,0,0,0,0,0
0.456170,0,0,0,0,0,0,0,0
0.457596,0,0,0,0,0,0,0,0
0.459047,0,0,0,0,0,0,0,0
0.460448,0,0,0,0,0,0,0,0
0.461848,0,0,0,0,0,0,0,0
0.463262,0,0,0,0,0,0,0,0
0.465007,0,0,0,0,0,0,0,0
0.466397,0,0,0,0,0,0,0,0
0.467951,0,0,0,0,0,0,0,0
0.469353,0,0,0,0,0,0,0,0
0.470720,0,0,0,0,0,0,0,0
0.472105,0,0,0,0,0,0,0,0
0.473514,0,0,0,0,0,0,0,0
0.474971,0,0,0,0,0,0,0,0
0.476295,0,0,0,0,0,0,0,0
0.477712,0,0,0,0,0,0,0,0
0.479121,0,0,0,0,0,0,0,0
0.480542,0,0,0,0,0,0,0,0
0.481951,0,0,0,0,0,0,0,0
0.483789,0,0,0,0,0,0,0,0
0.485241,0,0,0,0,0,0,0,0
0.486895,0,0,0,0,0,0,0,0
0.488342,0,0,0,0,0,0,0,0
0.489745,0,0,0,0,0,0,0,0
0.491263,0,0,0,0,0,0,0,0
0.492666,0,0,0,0,0,0,0,0
0.494068,0,0,0,0,0,0,0,0
0.495468,0,0,0,0,0,0,0,0
0.496867,0,0,0,0,0,0,0,0
0.498266,0,0,0,0,0,0,0,0
0.499853,0,0,0,0,0,0,0,0
0.501265,0,0,0,0,0,0,0,0
0.504196,0,0,0,0,0,0,0,0
0.505599,0,0,0,0,0,0,0,0
0.507087,0,0,0,0,0,0,0,0
0.508490,0,0,0,0,0,0,0,0
0.509890,0,0,0,0,0,0,0,0
0.511307,0,0,0,0,0,0,0,0
0.512709,0,0,0,0,0,0,0,0
0.514110,0,0,0,0,0,0,0,0
0.515513,0,0,0,0,0,0,0,0
0.517019,0,0,0,0,0,0,0,0
0.518649,0,0,0,0,0,0,0,0
0.520258,0,0,0,0,0,0,0,0
0.521836,0,0,0,0,0,0,0,0
0.523277,0,0,0,0,0,0,0,0
0.524820,0,0,0,0,0,0,0,0
0.526391,0,0,0,0,0,0,0,0
0.527968,0,0,0,0,0,0,0,0
0.529538,0,0,0,0,0,0,0,0
0.531113,0,0,0,0,0,0,0,0
0.532698,0,0,0,0,0,0,0,0
0.534269,0,0,0,0,0,0,0,0
0.535845,0,0,0,0,0,0,0,0
0.537460,0,0,0,0,0,0,0,0
0.539034,0,0,0,0,0,0,0,0
0.540607,0,0,0,0,0,0,0,0
0.542177,0,0,0,0,0,0,0,0
0.543710,0,0,0,0,0,0,0,0
0.545252,0,0,0,0,0,0,0,0
0.546827,0,0,0,0,0,0,0,0
0.548400,0,0,0,0,0,0,0,0
0.549971,0,0,0,0,0,0,0,0
0.551415,0,0,0,0,0,0,0,0
0.552957,0,0,0,0,0,0,0,0
0.554604,0,0,0,0,0,0,0,0
0.556175,0,0,0,0,0,0,0,0
0.557744,0,0,0,0,0,0,0,0
0.559318,0,0,0,0,0,0,0,0
0.560892,0,0,0,0,0,0,0,0
0.562464,0,0,0,0,0,0,0,0
0.564042,0,0,0,0,0,0,0,0
0.565625,0,0,0,0,0,0,0,0
0.567198,0,0,0,0,0,0,0,0
0.568813,0,0,0,0,0,0,0,0
0.570384,0,0,0,0,0,0,0,0
0.571960,0,0,0,0,0,0,0,0
0.573531,0,0,0,0,0,0,0,0
0.575105,0,0,0,0,0,0,0,0
0.576690,0,0,0,0,0,0,0,0
0.578260,0,0,0,0,0,0,0,0
0.579835,0,0,0,0,0,0,0,0
0.581406,0,0,0,0,0,0,0,0
0.582979,0,0,0,0,0,0,0,0
0.584595,0,0,0,0,0,0,0,0
0.586167,0,0,0,0,0,0,0,0
0.587778,0,0,0,0,0,0,0,0
0.589202,0,0,0,0,0,0,0,0
0.590727,0,0,0,0,0,0,0,0
0.592224,0,0,0,0,0,0,0,0
0.593625,0,0,0,0,0,0,0,0
0.595025,0,0,0,0,0,0,0,0
0.596427,0,0,0,0,0,0,0,0
0.597835,0,0,0,0,0,0,0,0
0.599234,0,0,0,0,0,0,0,0
0.600678,0,0,0,0,0,0,0,0
0.602078,0,0,0,0,0,0,0,0
0.603477,0,0,0,0,0,0,0,0
0.604876,0,0,0,0,0,0,0,0
0.606279,0,0,0,0,0,0,0,0
0.607755,0,0,0,0,0,0,0,0
0.609164,0,0,0,0,0,0,0,0
0.610585,0,0,0,0,0,0,0,0
0.611986,0,0,0,0,0,0,0,0
0.613385,0,0,0,0,0,0,0,0
0.614790,0,0,0,0,0,0,0,0
0.616240,0,0,0,0,0,0,0,0
0.617616,0,0,0,0,0,0,0,0
0.618990,0,0,0,0,0,0,0,0
0.620368,0,0,0,0,0,0,0,0
0.621741,0,0,0,0,0,0,0,0
0.623138,0,0,0,0,0,0,0,0
0.624541,0,0,0,0,0,0,0,0
0.625914,0,0,0,0,0,0,0,0
0.627297,0,0,0,0,0,0,0,0
0.628671,0,0,0,0,0,0,0,0
0.630047,0,0,0,0,0,0,0,0
0.631430,0,0,0,0,0,0,0,0
0.632845,0,0,0,0,0,0,0,0
0.634170,0,0,0,0,0,0,0,0
0.635644,0,0,0,0,0,0,0,0
0.636930,0,0,0,0,0,0,0,0
0.638307,0,0,0,0,0,0,0,0
0.639694,0,0,0,0,0,0,0,0
0.641071,0,0,0,0,0,0,0,0
0.642453,0,0,0,0,0,0,0,0
0.643828,0,0,0,0,0,0,0,0
0.645259,0,0,0,0,0,0,0,0
0.646645,0,0,0,0,0,0,0,0
0.647989,0,0,0,0,0,0,0,0
0.649279,0,0,0,0,0,0,0,0
0.650656,0,0,0,0,0,0,0,0
0.652033,0,0,0,0,0,0,0,0
0.653412,0,0,0,0,0,0,0,0
0.654838,0,0,0,0,0,0,0,0
0.656214,0,0,0,0,0,0,0,0
0.657828,0,0,0,0,0,0,0,0
0.659303,0,0,0,0,0,0,0,0
0.660682,0,0,0,0,0,0,0,0
0.662058,0,0,0,0,0,0,0,0
0.663487,0,0,0,0,0,0,0,0
0.664756,0,0,0,0,0,0,0,0
0.666132,0,0,0,0,0,0,0,0
0.667530,0,0,0,0,0,0,0,0
0.668886,0,0,0,0,0,0,0,0
0.670238,0,0,0,0,0,0,0,0
0.671950,0,0,0,0,0,0,0,0
0.673357,0,0,0,0,0,0,0,0
0.674739,0,0,0,0,0,0,0,0
0.676112,0,0,0,0,0,0,0,0
0.677479,0,0,0,0,0,0,0,0
0.678847,0,0,0,0,0,0,0,0
0.680237,0,0,0,0,0,0,0,0
0.681668,0,0,0,0,0,0,0,0
0.683080,0,0,0,0,0,0,0,0
0.684504,0,0,0,0,0,0,0,0
0.685911,0,0,0,0,0,0,0,0
0.687605,0,0,0,0,0,0,0,0
0.689006,0,0,0,0,0,0,0,0
0.690407,0,0,0,0,0,0,0,0
0.691889,0,0,0,0,0,0,0,0
0.693287,0,0,0,0,0,0,0,0
0.696994,0,0,0,0,0,0,0,0
0.698397,0,0,0,0,0,0,0,0
0.699837,0,0,0,0,0,0,0,0
0.701238,0,0,0,0,0,0,0,0
0.702660,0,0,0,0,0,0,0,0
0.704062,0,0,0,0,0,0,0,0
0.705472,0,0,0,0,0,0,0,0
0.706876,0,0,0,0,0,0,0,0
0.708285,0,0,0,0,0,0,0,0
0.709694,0,0,0,0,0,0,0,0
0.711104,0,0,0,0,0,0,0,0
0.712553,0,0,0,0,0,0,0,0
0.714092,0,0,0,0,0,0,0,0
0.715552,0,0,0,0,0,0,0,0
0.716969,0,0,0,0,0,0,0,0
0.718380,0,0,0,0,0,0,0,0
0.719790,0,0,0,0,0,0,0,0
0.721198,0,0,0,0,0,0,0,0
0.722610,0,0,0,0,0,0,0,0
0.724147,0,0,0,0,0,0,0,0
0.725606,0,0,0,0,0,0,0,0
0.727025,0,0,0,0,0,0,0,0
0.728526,0,0,0,0,0,0,0,0
0.729936,0,0,0,0,0,0,0,0
0.731347,0,0,0,0,0,0,0,0
0.732756,0,0,0,0,0,0,0,0
0.734293,0,0,0,0,0,0,0,0
0.735885,0,0,0,0,0,0,0,0
0.737459,0,0,0,0,0,0,0,0
0.739034,0,0,0,0,0,0,0,0
0.740608,0,0,0,0,0,0,0,0
0.742180,0,0,0,0,0,0,0,0
0.743814,0,0,0,0,0,0,0,0
0.745432,0,0,0,0,0,0,0,0
0.747021,0,0,0,0,0,0,0,0
0.748597,0,0,0,0,0,0,0,0
0.750170,0,0,0,0,0,0,0,0
0.751796,0,0,0,0,0,0,0,0
0.753370,0,0,0,0,0,0,0,0
0.754945,0,0,0,0,0,0,0,0
0.756519,0,0,0,0,0,0,0,0
0.757979,0,0,0,0,0,0,0,0
0.759393,0,0,0,0,0,0,0,0
0.760977,0,0,0,0,0,0,0,0
0.762613,0,0,0,0,0,0,0,0
0.764185,0,0,0,0,0,0,0,0
0.765757,0,0,0,0,0,0,0,0
0.767332,0,0,0,0,0,0,0,0
0.768910,0,0,0,0,0,0,0,0
0.770473,0,0,0,0,0,0,0,0
0.772023,0,0,0,0,0,0,0,0
0.773594,0,0,0,0,0,0,0,0
0.775167,0,0,0,0,0,0,0,0
0.776781,0,0,0,0,0,0,0,0
0.778291,0,0,0,0,0,0,0,0
0.779880,0,0,0,0,0,0,0,0
0.781451,0,0,0,0,0,0,0,0
0.783025,0,0,0,0,0,0,0,0
0.785419,0,0,0,0,0,0,0,0
0.786867,0,0,0,0,0,0,0,0
0.788277,0,0,0,0,0,0,0,0
0.789677,0,0,0,0,0,0,0,0
0.791089,0,0,0,0,0,0,0,0
0.792531,0,0,0,0,0,0,0,0
0.793930,0,0,0,0,0,0,0,0
0.795330,0,0,0,0,0,0,0,0
0.796730,0,0,0,0,0,0,0,0
0.798128,0,0,0,0,0,0,0,0
0.799530,0,0,0,0,0,0,0,0
0.800933,0,0,0,0,0,0,0,0
0.802343,0,0,0,0,0,0,0,0
0.803712,0,0,0,0,0,0,0,0
0.805109,0,0,0,0,0,0,0,0
0.806513,0,0,0,0,0,0,0,0
0.807996,0,0,0,0,0,0,0,0
0.809427,0,0,0,0,0,0,0,0
0.810803,0,0,0,0,0,0,0,0
0.812177,0,0,0,0,0,0,0,0
0.813558,0,0,0,0,0,0,0,0
0.814932,0,0,0,0,0,0,0,0
0.816304,0,0,0,0,0,0,0,0
0.817681,0,0,0,0,0,0,0,0
0.819058,0,0,0,0,0,0,0,0
0.820432,0,0,0,0,0,0,0,0
0.821805,0,0,0,0,0,0,0,0
0.823178,0,0,0,0,0,0,0,0
0.824597,0,0,0,0,0,0,0,0
0.826028,0,0,0,0,0,0,0,0
0.827453,0,0,0,0,0,0,0,0
0.828878,0,0,0,0,0,0,0,0
0.830304,0,0,0,0,0,0,0,0
0.831729,0,0,0,0,0,0,0,0
0.833154,0,0,0,0,0,0,0,0
0.834554,0,0,0,0,0,0,0,0
0.835836,0,0,0,0,0,0,0,0
0.837213,0,0,0,0,0,0,0,0
0.838590,0,0,0,0,0,0,0,0
0.839983,0,0,0,0,0,0,0,0
0.841416,0,0,0,0,0,0,0,0
0.842848,0,0,0,0,0,0,0,0
0.844263,0,0,0,0,0,0,0,0
0.845683,0,0,0,0,0,0,0,0
0.847052,0,0,0,0,0,0,0,0
0.848420,0,0,0,0,0,0,0,0
0.849781,0,0,0,0,0,0,0,0
0.851144,0,0,0,0,0,0,0,0
0.852637,0,0,0,0,0,0,0,0
0.854003,0,0,0,0,0,0,0,0
0.855366,0,0,0,0,0,0,0,0
0.856753,0,0,0,0,0,0,0,0
0.858169,0,0,0,0,0,0,0,0
0.859576,0,0,0,0,0,0,0,0
0.860984,0,0,0,0,0,0,0,0
0.862394,0,0,0,0,0,0,0,0
0.863826,0,0,0,0,0,0,0,0
0.865234,0,0,0,0,0,0,0,0
0.866666,0,0,0,0,0,0,0,0
0.868087,0,0,0,0,0,0,0,0
0.869493,0,0,0,0,0,0,0,0
0.872221,0,0,0,0,0,0,0,0
0.873623,0,0,0,0,0,0,0,0
0.875084,0,0,0,0,0,0,0,0
0.876491,0,0,0,0,0,0,0,0
0.877893,0,0,0,0,0,0,0,0
0.879305,0,0,0,0,0,0,0,0
0.880707,0,0,0,0,0,0,0,0
0.882108,0,0,0,0,0,0,0,0
0.886618,0,0,0,0,0,0,0,0
0.888108,0,0,0,0,0,0,0,0
0.889565,0,0,0,0,0,0,0,0
0.891009,0,0,0,0,0,0,0,0
0.892413,0,0,0,0,0,0,0,0
0.893777,0,0,0,0,0,0,0,0
0.895138,0,0,0,0,0,0,0,0
0.896498,0,0,0,0,0,0,0,0
0.897856,0,0,0,0,0,0,0,0
0.899260,0,0,0,0,0,0,0,0
0.900635,0,0,0,0,0,0,0,0
0.902035,0,0,0,0,0,0,0,0
0.903392,0,0,0,0,0,0,0,0
0.904766,0,0,0,0,0,0,0,0
0.906171,0,0,0,0,0,0,0,0
0.909118,0,0,0,0,0,0,0,0
0.910773,0,0,0,0,0,0,0,0
0.912237,0,0,0,0,0,0,0,0
0.913653,0,0,0,0,0,0,0,0
0.915064,0,0,0,0,0,0,0,0
0.916472,0,0,0,0,0,0,0,0
0.917879,0,0,0,0,0,0,0,0
0.919289,0,0,0,0,0,0,0,0
0.920827,0,0,0,0,0,0,0,0
0.922286,0,0,0,0,0,0,0,0
0.923705,0,0,0,0,0,0,0,0
0.925112,0,0,0,0,0,0,0,0
0.926518,0,0,0,0,0,0,0,0
0.927949,0,0,0,0,0,0,0,0
0.929355,0,0,0,0,0,0,0,0
0.930764,0,0,0,0,0,0,0,0
0.932171,0,0,0,0,0,0,0,0
0.933587,0,0,0,0,0,0,0,0
0.934996,0,0,0,0,0,0,0,0
0.936446,0,0,0,0,0,0,0,0
0.937853,0,0,0,0,0,0,0,0
0.939261,0,0,0,0,0,0,0,0
0.940667,0,0,0,0,0,0,0,0
